# Filename: 2Dvpt_K0cFind2_Plot_Op3341_K0.300_y1.000_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=4, OpC=1, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=10000, dataskipds=99999
# Option-dependent values: K=0.299999999999999988898, y=                    1, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.9472e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.29999999999999999	                1	0	0
1	0.29988841774082231	1.0000211541737072	1e-05	0.00011357
2	0.29977691609659834	1.0000423158035971	2e-05	0.000227062
3	0.29966549497924133	1.0000634848850614	3e-05	0.000340476
4	0.29955415430079335	1.0000846614134968	4e-05	0.000453813
5	0.29944289397342511	1.0001058453843057	5e-05	0.000567072
6	0.29933171390943564	1.0001270367928956	6e-05	0.000680253
7	0.29922061402125216	1.0001482356346789	7e-05	0.000793358
8	0.29910959422142985	1.0001694419050737	8e-05	0.000906385
9	0.2989986544226515	1.0001906555995033	9e-05	0.00101933
10	0.2988877945377274	1.0002118767133958	0.0001	0.00113221
10000	0.056067899074087268	1.3827487858897942	0.1	0.498778
20000	0.025890863748099749	2.0140542923651839	0.2	1.13097
30000	0.01446755658885536	2.9681299713844225	0.3	2.08512
40000	0.0087566786406528419	4.3965405410798084	0.4	3.51354
50000	0.0055225398543993559	6.5300908246434002	0.5	5.64709
60000	0.0035650780376089717	9.7144526200384345	0.6	8.83146
70000	0.0023337913382039709	14.465846054763633	0.7	13.5828
80000	0.0015409831975780326	21.55463736882303	0.8	20.6716
90000	0.0010230293292363573	32.130214127245694	0.9	31.2472
100000	0.00068151597437069247	47.907338750242857	1	47.0243
110000	0.00045501256193533889	71.44418255078925	1.1	70.5612
120000	0.00030421996437878559	106.55711722366718	1.2	105.674
130000	0.00020358681725847876	158.93951823662002	1.3	158.057
140000	0.00013632266794639134	237.08491511225765	1.4	236.202
150000	9.1317068294665665e-05	353.66417225575981	1.5	352.781
160000	6.1184657364645589e-05	527.58000282074772	1.6	526.697
170000	4.1001697547116229e-05	787.03194417095858	1.7	786.149
180000	2.7479281360611041e-05	1174.0887645648108	1.8	1173.21
190000	1.8417781735313262e-05	1751.5096927548266	1.9	1750.63
200000	1.2344897885834271e-05	2612.9204970168694	2	2612.04
210000	8.2746446555858023e-06	3897.9944113288125	2.1	3897.11
220000	5.5464954293191396e-06	5815.0994160793198	2.2	5814.22
230000	3.7178573167411951e-06	8675.0840108296088	2.3	8674.2
240000	2.4921248651666382e-06	12941.679664591476	2.4	12940.8
250000	1.6705088965825728e-06	19306.692436001191	2.5	19305.8
260000	1.1197704353128525e-06	28802.175689368349	2.6	28801.3
270000	7.5060242302197623e-07	42967.772122891452	2.7	42966.9
280000	5.0314296440325036e-07	64100.358739310097	2.8	64099.5
290000	3.3726645195017688e-07	95626.473378769704	2.9	95625.6
300000	2.2607631623580272e-07	142657.90981861195	3	142657
310000	1.5154342758977359e-07	212820.56826513167	3.1	212820
320000	1.0158257398423522e-07	317490.95498783025	3.2	317490
330000	6.8092826599681953e-08	473640.82301242085	3.3	473640
340000	4.5643983229459994e-08	706589.05266493151	3.4	706588
350000	3.0596075687015353e-08	1054106.9749323649	3.5	1.05411e+06
360000	2.0509162430180804e-08	1572542.7942439024	3.6	1.57254e+06
370000	1.3747702568264582e-08	2345958.1536347326	3.7	2.34596e+06
380000	9.2153605835388437e-09	3499758.2883090391	3.8	3.49976e+06
390000	6.1772409267008959e-09	5221025.8253580416	3.9	5.22102e+06
400000	4.140728425909028e-09	7788855.2483759401	4	7.78885e+06
410000	2.7756132730520876e-09	11619606.60096393	4.1	1.16196e+07
420000	1.8605492198255073e-09	17334416.07927737	4.2	1.73344e+07
430000	1.2471634404490059e-09	25859910.001339868	4.3	2.58599e+07
440000	8.3599865582433295e-10	38578452.393863045	4.4	3.85785e+07
450000	5.6038665800813334e-10	57552288.053026952	4.5	5.75523e+07
460000	3.7563841068461082e-10	85857924.698353857	4.6	8.58579e+07
470000	2.517979568931361e-10	128084972.52831261	4.7	1.28085e+08
480000	1.6878521813261441e-10	191080325.38952243	4.8	1.9108e+08
490000	1.1314011522704184e-10	285058348.6245026	4.9	2.85058e+08
500000	7.5840087266433568e-11	425257084.72195119	5	4.25257e+08
510000	5.0837130797102606e-11	634409021.81021607	5.1	6.34409e+08
520000	3.4077147860780412e-11	946427047.11799884	5.2	9.46427e+08
530000	2.2842595325005852e-11	1411903243.3814228	5.3	1.4119e+09
540000	1.5311849550894134e-11	2106312129.1313057	5.4	2.10631e+09
550000	1.0263839696356228e-11	3142248455.1545496	5.5	3.14225e+09
560000	6.8800574980078517e-12	4687683851.4997473	5.6	4.68768e+09
570000	4.611840458908619e-12	6993202544.3766479	5.7	6.9932e+09
580000	3.0914091087797866e-12	10432632271.283884	5.8	1.04326e+10
590000	2.0722334961383489e-12	15563658483.68577	5.9	1.55637e+10
600000	1.3890596525403788e-12	23218250111.591721	6	2.32183e+10
610000	9.3111453024291068e-13	34637558952.459969	6.1	3.46376e+10
620000	6.2414473477960775e-13	51673165911.260078	6.2	5.16732e+10
630000	4.1837672735165071e-13	77087305111.707794	6.3	7.70873e+10
640000	2.8044630713919792e-13	115000745640.22809	6.4	1.15001e+11
650000	1.8798878151235168e-13	171560952593.22903	6.5	1.71561e+11
660000	1.2601264867767409e-13	255938866229.41541	6.6	2.55939e+11
670000	8.4468804462753033e-14	381815921727.32483	6.7	3.81816e+11
680000	5.6621132896076494e-14	569602421985.46228	6.8	5.69602e+11
690000	3.7954280409501222e-14	849746960954.17078	6.9	8.49747e+11
700000	2.5441514991352676e-14	1267673503097.0186	7	1.26767e+12
710000	1.7053957500222668e-14	1891146640465.5278	7.1	1.89115e+12
720000	1.1431609576640433e-14	2821259265107.7505	7.2	2.82126e+12
730000	7.6628370576757091e-15	4208824250136.9614	7.3	4.20882e+12
740000	5.1365532892651244e-15	6278827964385.7695	7.4	6.27883e+12
750000	3.4431346373248764e-15	9366910629511.3496	7.5	9.36691e+12
760000	2.3080021685985567e-15	13973788617703.527	7.6	1.39738e+13
770000	1.54710011990537e-15	20846442979508.578	7.7	2.08464e+13
780000	1.0370522235967229e-15	31099238494801.57	7.8	3.10992e+13
790000	6.9515689426272705e-16	46394612064381.195	7.9	4.63946e+13
800000	4.6597760136418206e-16	69212628115129.289	8	6.92126e+13
810000	3.1235412719801821e-16	103253108010809.97	8.1	1.03253e+14
820000	2.0937723292279877e-16	154035536638748.06	8.2	1.54036e+14
830000	1.4034975641162517e-16	229794017872110.94	8.3	2.29794e+14
840000	9.4079255178930888e-17	342812391231833.25	8.4	3.42812e+14
850000	6.3063210662539903e-17	511415991897108.12	8.5	5.11416e+14
860000	4.227253427446928e-17	762943007480817.62	8.6	7.62943e+14
870000	2.8336127120905474e-17	1138177221452595.5	8.7	1.13818e+15
880000	1.8994274036157003e-17	1697960889255694.2	8.8	1.69796e+15
890000	1.2732242646330391e-17	2533059990220572.5	8.9	2.53306e+15
900000	8.5346774768251285e-18	3778881454017993.5	9	3.77888e+15
910000	5.720965399164752e-18	 5637428682562598	9.1	5.63743e+15
920000	3.8348777897364322e-18	 8410055339838193	9.2	8.41006e+15
930000	2.5705954565571868e-18	12546328264500460	9.3	1.25463e+16
940000	1.7231216647784105e-18	18716922369696504	9.4	1.87169e+16
950000	1.1550429936592688e-18	27922367054947480	9.5	2.79224e+16
960000	7.742484726828273e-19	41655276789175512	9.6	4.16553e+16
970000	5.1899427185177776e-19	62142370701174728	9.7	6.21424e+16
980000	3.4789226419991679e-19	92705523381992048	9.8	9.27055e+16
990000	2.3319915855392949e-19	1.3830038938901582e+17	9.9	1.383e+17
1000000	1.5631807069734237e-19	2.0631993658393856e+17	10	2.0632e+17
