# Filename: 2Dvpt_K0cFind2_Plot_Op3341_K0.637_y0.000_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=4, OpC=1, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=10000, dataskipds=99999
# Option-dependent values: K=0.636609772367581427943, y=1.0000000000000000818e-05, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.92459e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.63660977236758143	1.0000000000000001e-05	0	0
1	0.63660976734119112	1.0000000006284765e-05	1e-05	5.02639e-09
2	0.63660976231480093	1.0000000012572687e-05	2e-05	1.00528e-08
3	0.63660975728841074	1.0000000018863768e-05	3e-05	1.50792e-08
4	0.63660975226202066	1.0000000025158008e-05	4e-05	2.01056e-08
5	0.63660974723563069	1.0000000031455404e-05	5e-05	2.5132e-08
6	0.63660974220924083	1.0000000037755959e-05	6e-05	3.01583e-08
7	0.63660973718285097	1.0000000044059673e-05	7e-05	3.51847e-08
8	0.63660973215646122	1.0000000050366545e-05	8e-05	4.02111e-08
9	0.63660972713007158	1.0000000056676575e-05	9e-05	4.52375e-08
10	0.63660972210368194	1.0000000062989762e-05	0.0001	5.02639e-08
10000	0.63655951201014294	1.0000220735433581e-05	0.1	5.02604e-05
20000	0.63650925768562772	1.0000757270021122e-05	0.2	0.000100515
30000	0.63645900780644804	1.0001609621669117e-05	0.3	0.000150765
40000	0.63640876078582853	1.0002777848170137e-05	0.4	0.000201012
50000	0.63635851503760865	1.0004262047208517e-05	0.5	0.000251257
60000	0.63630826897604231	1.0006062356375819e-05	0.6	0.000301503
70000	0.63625802101558859	1.0008178953197939e-05	0.7	0.000351751
80000	0.63620776957071945	1.0010612055172311e-05	0.8	0.000402003
90000	0.636157513055712	1.0013361919816023e-05	0.9	0.000452259
100000	0.63610724988447065	1.0016428844724836e-05	1	0.000502522
110000	0.6360569784702963	1.0019813167642759e-05	1.1	0.000552794
120000	0.63600669722571002	1.0023515266542525e-05	1.2	0.000603075
130000	0.63595640456222369	1.0027535559716657e-05	1.3	0.000653368
140000	0.63590609889017802	1.0031874505879918e-05	1.4	0.000703673
150000	0.63585577861851661	1.0036532604282377e-05	1.5	0.000753994
160000	0.63580544215459245	1.0041510394833569e-05	1.6	0.00080433
170000	0.63575508790396429	1.0046808458236897e-05	1.7	0.000854684
180000	0.6357047142701896	1.0052427416136509e-05	1.8	0.000905058
190000	0.63565431965464414	1.0058367931274092e-05	1.9	0.000955453
200000	0.63560390245627563	1.006463070765762e-05	2	0.00100587
210000	0.63555346107144806	1.0071216490741052e-05	2.1	0.00105631
220000	0.63550299389370979	1.0078126067615319e-05	2.2	0.00110678
230000	0.63545249931359515	1.0085360267210926e-05	2.3	0.00115727
240000	0.6354019757184185	1.009291996051235e-05	2.4	0.0012078
250000	0.63535142149207247	1.0100806060783287e-05	2.5	0.00125835
260000	0.63530083501481682	1.0109019523804508e-05	2.6	0.00130894
270000	0.63525021466305831	1.0117561348122963e-05	2.7	0.00135956
280000	0.6351995588091609	1.0126432575313298e-05	2.8	0.00141021
290000	0.6351488658212292	1.0135634290250869e-05	2.9	0.00146091
300000	0.63509813406288818	1.0145167621397684e-05	3	0.00151164
310000	0.6350473618930863	1.0155033741099865e-05	3.1	0.00156241
320000	0.63499654766586866	1.0165233865898134e-05	3.2	0.00161322
330000	0.63494568973015186	1.0175769256850849e-05	3.3	0.00166408
340000	0.6348947864295621	1.0186641219869618e-05	3.4	0.00171499
350000	0.63484383610213935	1.0197851106067768e-05	3.5	0.00176594
360000	0.63479283708016476	1.0209400312122187e-05	3.6	0.00181694
370000	0.63474178768993827	1.0221290280648378e-05	3.7	0.00186798
380000	0.63469068625153913	1.0233522500588325e-05	3.8	0.00191909
390000	0.63463953107862259	1.0246098507612837e-05	3.9	0.00197024
400000	0.63458832047817548	1.0259019884537047e-05	4	0.00202145
410000	0.6345370527503007	1.0272288261750213e-05	4.1	0.00207272
420000	0.63448572618797783	1.0285905317659528e-05	4.2	0.00212405
430000	0.63443433907684776	1.0299872779148276e-05	4.3	0.00217543
440000	0.63438288969495882	1.031419242204883e-05	4.4	0.00222688
450000	0.63433137631254699	1.0328866071630201e-05	4.5	0.0022784
460000	0.63427979719180483	1.034389560310103e-05	4.6	0.00232998
470000	0.63422815058660342	1.0359282942127471e-05	4.7	0.00238162
480000	0.63417643474230045	1.0375030065366856e-05	4.8	0.00243334
490000	0.63412464789546386	1.0391139001017225e-05	4.9	0.00248512
500000	0.63407278827364266	1.0407611829382849e-05	5	0.00253698
510000	0.63402085409509668	1.0424450683456001e-05	5.1	0.00258892
520000	0.63396884356856753	1.0441657749515578e-05	5.2	0.00264093
530000	0.63391675489302202	1.0459235267742572e-05	5.3	0.00269302
540000	0.63386458625737618	1.0477185532852262e-05	5.4	0.00274519
550000	0.63381233584024443	1.0495510894745575e-05	5.5	0.00279744
560000	0.63376000180969649	1.0514213759176173e-05	5.6	0.00284977
570000	0.63370758232296087	1.0533296588437058e-05	5.7	0.00290219
580000	0.63365507552616374	1.055276190206562e-05	5.8	0.0029547
590000	0.6336024795540991	1.0572612277567237e-05	5.9	0.00300729
600000	0.63354979252988641	1.0592850351158267e-05	6	0.00305998
610000	0.63349701256473312	1.0613478818528778e-05	6.1	0.00311276
620000	0.63344413775764918	1.063450043562519e-05	6.2	0.00316563
630000	0.63339116619515101	1.0655918019453281e-05	6.3	0.00321861
640000	0.63333809595099166	1.0677734448902326e-05	6.4	0.00327168
650000	0.63328492508583756	1.069995266559026e-05	6.5	0.00332485
660000	0.63323165164700601	1.0722575674730206e-05	6.6	0.00337812
670000	0.63317827366815049	1.0745606546019853e-05	6.7	0.0034315
680000	0.63312478916894721	1.0769048414553103e-05	6.8	0.00348498
690000	0.63307119615479945	1.0792904481754846e-05	6.9	0.00353858
700000	0.63301749261652851	1.0817178016338592e-05	7	0.00359228
710000	0.63296367653003849	1.08418723552897e-05	7.1	0.0036461
720000	0.63290974585602477	1.086699090487179e-05	7.2	0.00370003
730000	0.63285569853961909	1.0892537141658717e-05	7.3	0.00375407
740000	0.63280153251007598	1.0918514613592982e-05	7.4	0.00380824
750000	0.63274724568043761	1.09449269410692e-05	7.5	0.00386253
760000	0.63269283594718173	1.0971777818045141e-05	7.6	0.00391694
770000	0.63263830118989839	1.0999071013180036e-05	7.7	0.00397147
780000	0.63258363927092576	1.1026810371000871e-05	7.8	0.00402613
790000	0.63252884803498499	1.1054999813097657e-05	7.9	0.00408092
800000	0.63247392530885538	1.1083643339347648e-05	8	0.00413585
810000	0.63241886890096077	1.111274502916972e-05	8.1	0.0041909
820000	0.63236367660104076	1.114230904281021e-05	8.2	0.0042461
830000	0.63230834617975451	1.1172339622658664e-05	8.3	0.00430143
840000	0.63225287538828867	1.1202841094597176e-05	8.4	0.0043569
850000	0.63219726195799775	1.1233817869382332e-05	8.5	0.00441251
860000	0.63214150359997157	1.1265274444060418e-05	8.6	0.00446827
870000	0.63208559800466468	1.1297215403417678e-05	8.7	0.00452417
880000	0.63202954284147328	1.1329645421465843e-05	8.8	0.00458023
890000	0.63197333575831915	1.1362569262963519e-05	8.9	0.00463644
900000	0.63191697438123418	1.139599178497551e-05	9	0.0046928
910000	0.63186045631393195	1.1429917938469261e-05	9.1	0.00474932
920000	0.63180377913736874	1.1464352769950837e-05	9.2	0.00480599
930000	0.63174694040929424	1.1499301423140756e-05	9.3	0.00486283
940000	0.63168993766381965	1.1534769140690631e-05	9.4	0.00491984
950000	0.63163276841093519	1.1570761265941568e-05	9.5	0.004977
960000	0.63157543013607365	1.1607283244726125e-05	9.6	0.00503434
970000	0.63151792029960252	1.1644340627213722e-05	9.7	0.00509185
980000	0.63146023633636672	1.1681939069801818e-05	9.8	0.00514954
990000	0.63140237565517809	1.1720084337053252e-05	9.9	0.0052074
1000000	0.6313443356383498	1.1758782303680501e-05	10	0.00526544
