# Filename: 2Dvpt_K0cFind2_Plot_Op3341_K0.637_y0.000_step4000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=4, OpC=1, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=10000, dataskipds=99999
# Option-dependent values: K=0.636619762367581332185, y=1.00000000000000002092e-08, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=4000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.93307e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.63661976236758133	            1e-08	0	0
1	0.63661976236590578	1.0000000000006283e-08	1e-05	1.67555e-12
2	0.63661976236423024	1.0000000000012568e-08	2e-05	3.3511e-12
3	0.63661976236255469	1.0000000000018855e-08	3e-05	5.02665e-12
4	0.63661976236087914	1.0000000000025142e-08	4e-05	6.70219e-12
5	0.63661976235920359	1.000000000003143e-08	5e-05	8.37774e-12
6	0.63661976235752804	1.0000000000037718e-08	6e-05	1.00533e-11
7	0.63661976235585249	1.0000000000044008e-08	7e-05	1.17288e-11
8	0.63661976235417694	1.0000000000050299e-08	8e-05	1.34044e-11
9	0.63661976235250139	1.0000000000056591e-08	9e-05	1.50799e-11
10	0.63661976235082585	1.0000000000062884e-08	0.0001	1.67555e-11
10000	0.63661974561209544	1.0000000115470653e-08	0.1	1.67555e-08
20000	0.63661972885660956	1.000000033621884e-08	0.2	3.3511e-08
30000	0.63661971210112367	1.0000000662245092e-08	0.3	5.02665e-08
40000	0.63661969534563778	1.0000001093549846e-08	0.4	6.70219e-08
50000	0.63661967859015189	1.0000001630132134e-08	0.5	8.37774e-08
60000	0.63661966183466601	1.0000002271991955e-08	0.6	1.00533e-07
70000	0.63661964507918012	1.0000003019129307e-08	0.7	1.17288e-07
80000	0.63661962832369423	1.000000387154563e-08	0.8	1.34044e-07
90000	0.63661961156820834	1.0000004829239553e-08	0.9	1.50799e-07
100000	0.63661959481272246	1.0000005892211006e-08	1	1.67555e-07
110000	0.63661957805723657	1.0000007060460771e-08	1.1	1.8431e-07
120000	0.63661956130175068	1.0000008333988795e-08	1.2	2.01066e-07
130000	0.63661954454626479	1.000000971279435e-08	1.3	2.17821e-07
140000	0.63661952779077891	1.0000011196878606e-08	1.4	2.34577e-07
150000	0.63661951103529302	1.0000012786240732e-08	1.5	2.51332e-07
160000	0.63661949427980713	1.0000014480881149e-08	1.6	2.68088e-07
170000	0.63661947752432124	1.0000016280799843e-08	1.7	2.84843e-07
180000	0.63661946076883535	1.0000018185996919e-08	1.8	3.01599e-07
190000	0.63661944401334947	1.0000020196472181e-08	1.9	3.18354e-07
200000	0.63661942725786358	1.0000022312226273e-08	2	3.3511e-07
210000	0.63661941050237769	1.0000024533258618e-08	2.1	3.51865e-07
220000	0.6366193937468918	1.0000026859569485e-08	2.2	3.68621e-07
230000	0.63661937699140592	1.0000029291159333e-08	2.3	3.85376e-07
240000	0.63661936023592003	1.0000031828027821e-08	2.4	4.02132e-07
250000	0.63661934348043414	1.0000034470175091e-08	2.5	4.18887e-07
260000	0.63661932672494825	1.0000037217601262e-08	2.6	4.35643e-07
270000	0.63661930996946237	1.0000040070306439e-08	2.7	4.52398e-07
280000	0.63661929321397648	1.0000043028290709e-08	2.8	4.69154e-07
290000	0.63661927645849059	1.0000046091554148e-08	2.9	4.85909e-07
300000	0.6366192597030047	1.0000049260096825e-08	3	5.02665e-07
310000	0.63661924294751882	1.0000052533918889e-08	3.1	5.1942e-07
320000	0.63661922619203293	1.0000055913020577e-08	3.2	5.36176e-07
330000	0.63661920943654704	1.0000059397401709e-08	3.3	5.52931e-07
340000	0.63661919268106115	1.0000062987062618e-08	3.4	5.69687e-07
350000	0.63661917592557526	1.0000066682003275e-08	3.5	5.86442e-07
360000	0.63661915917008938	1.0000070482223953e-08	3.6	6.03197e-07
370000	0.63661914241460349	1.0000074387724584e-08	3.7	6.19953e-07
380000	0.6366191256591176	1.0000078398505368e-08	3.8	6.36708e-07
390000	0.63661910890363171	1.0000082514566556e-08	3.9	6.53464e-07
400000	0.63661909214814583	1.000008673590814e-08	4	6.70219e-07
410000	0.63661907539265994	1.0000091062530263e-08	4.1	6.86975e-07
420000	0.63661905863717405	1.000009549443309e-08	4.2	7.0373e-07
430000	0.63661904188168816	1.0000100031616821e-08	4.3	7.20486e-07
440000	0.63661902512620228	1.0000104674081484e-08	4.4	7.37241e-07
450000	0.63661900837071639	1.0000109421827225e-08	4.5	7.53997e-07
460000	0.6366189916152305	1.0000114274854338e-08	4.6	7.70752e-07
470000	0.63661897485974461	1.0000119233162827e-08	4.7	7.87508e-07
480000	0.63661895810425873	1.000012429675287e-08	4.8	8.04263e-07
490000	0.63661894134877284	1.0000129465624731e-08	4.9	8.21019e-07
500000	0.63661892459328695	1.0000134739778489e-08	5	8.37774e-07
510000	0.63661890783780106	1.0000140119214304e-08	5.1	8.5453e-07
520000	0.63661889108231517	1.0000145603932394e-08	5.2	8.71285e-07
530000	0.63661887432682929	1.0000151193932927e-08	5.3	8.88041e-07
540000	0.6366188575713434	1.0000156889215999e-08	5.4	9.04796e-07
550000	0.63661884081585751	1.0000162689781903e-08	5.5	9.21552e-07
560000	0.63661882406037162	1.0000168595630707e-08	5.6	9.38307e-07
570000	0.63661880730488574	1.0000174606762704e-08	5.7	9.55063e-07
580000	0.63661879054939985	1.0000180723178039e-08	5.8	9.71818e-07
590000	0.63661877379391396	1.0000186944876889e-08	5.9	9.88574e-07
600000	0.63661875703842807	1.0000193271859457e-08	6	1.00533e-06
610000	0.63661874028294219	1.0000199704126003e-08	6.1	1.02208e-06
620000	0.6366187235274563	1.0000206241676633e-08	6.2	1.03884e-06
630000	0.63661870677197041	1.0000212884511629e-08	6.3	1.0556e-06
640000	0.63661869001648452	1.0000219632631139e-08	6.4	1.07235e-06
650000	0.63661867326099864	1.0000226486035411e-08	6.5	1.08911e-06
660000	0.63661865650551275	1.0000233444724678e-08	6.6	1.10586e-06
670000	0.63661863975002686	1.000024050869916e-08	6.7	1.12262e-06
680000	0.63661862299454097	1.0000247677959051e-08	6.8	1.13937e-06
690000	0.63661860623905508	1.0000254952504544e-08	6.9	1.15613e-06
700000	0.6366185894835692	1.0000262332335979e-08	7	1.17288e-06
710000	0.63661857272808331	1.000026981745349e-08	7.1	1.18964e-06
720000	0.63661855597259742	1.0000277407857347e-08	7.2	1.20639e-06
730000	0.63661853921711153	1.0000285103547791e-08	7.3	1.22315e-06
740000	0.63661852246162565	1.0000292904525056e-08	7.4	1.23991e-06
750000	0.63661850570613976	1.000030081078939e-08	7.5	1.25666e-06
760000	0.63661848895065387	1.0000308822341067e-08	7.6	1.27342e-06
770000	0.63661847219516798	1.0000316939180318e-08	7.7	1.29017e-06
780000	0.6366184554396821	1.0000325161307397e-08	7.8	1.30693e-06
