# Filename: 2Dvpt_K0cFind2_Plot_Op3341_K1.000_y1.000_step10000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=4, OpC=1, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=99999
# Option-dependent values: K=                    1, y=                    1, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=10000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.95007e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	                1	                1	0	0
1	0.99876129935747315	0.99997720733783901	1e-05	0.00123891
2	0.99752569175754013	0.99995449292426786	2e-05	0.00247473
3	0.9962931655343783	0.99993185656001615	3e-05	0.00370746
4	0.99506370908098851	0.99990929804658069	4e-05	0.00493712
5	0.99383731084882421	0.99988681718622119	5e-05	0.00616373
6	0.9926139593474228	0.99986441378195645	6e-05	0.00738729
7	0.99139364314404022	0.99984208763756055	7e-05	0.00860781
8	0.99017635086328837	0.99981983855755896	8e-05	0.0098253
9	0.9889620711867747	0.99979766634722478	9e-05	0.0110398
10	0.98775079285274492	0.99977557081257484	0.0001	0.0122513
100	0.88975984545750308	0.99807858157187845	0.001	0.110257
200	0.80153945854717334	0.99677826393965385	0.002	0.198487
300	0.72930390003915824	0.99597905483148297	0.003	0.270727
400	0.66904441102927148	0.99559310024982295	0.004	0.330988
500	0.61799276680007231	0.99555417035399518	0.005	0.382039
600	0.57417518589996352	0.99581111813233558	0.006	0.425858
700	0.53614598903207433	0.99632363617598951	0.007	0.463891
800	0.50282177486918056	0.99705940647190006	0.008	0.497223
900	0.47337444683728686	0.99799212838684093	0.009	0.526685
