# Filename: 2Dvpt_K0cFind2_Plot_Op3363_K-0.637_y-0.025_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=6, OpC=3, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=-0.636619772367581382433, y=-0.0250000000000000013878, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	-0.63661977236758138	-0.025000000000000001	0	0
1	-0.63661977236758138	-0.025000000000000001	2.07519e-317	0
2	-0.63660989854184624	-0.025001571486453062	7.85722e-06	9.9981e-06
3	-0.63660002472168142	-0.025003143008580708	1.57142e-05	1.99962e-05
4	-0.63659015090708737	-0.025004714566384333	2.35709e-05	2.99943e-05
5	-0.63658027709806431	-0.025006286159865335	3.14273e-05	3.99924e-05
6	-0.63657040329461267	-0.025007857789025104	3.92835e-05	4.99905e-05
7	-0.63656052949673281	-0.025009429453865036	4.71395e-05	5.99886e-05
8	-0.63655065570442504	-0.025011001154386526	5.49952e-05	6.99867e-05
9	-0.6365407819176897	-0.025012572890590966	6.28506e-05	7.99848e-05
10	-0.63653090813652724	-0.02501414466247975	7.07058e-05	8.99829e-05
999	-0.62676852514595738	-0.026586324991956851	0.00771986	0.00997816
1998	-0.61691333198278875	-0.028211255300539639	0.0152223	0.0199664
2997	-0.60706446392695779	-0.029874724520051934	0.0225249	0.0299548
3996	-0.59722235118305811	-0.031578320547794407	0.02965	0.0399433
4995	-0.58738746013108023	-0.033323719598203343	0.0366172	0.0499318
5994	-0.57756029687607147	-0.035112692051104705	0.0434441	0.0599205
6993	-0.56774141120084032	-0.036947108705985693	0.0501464	0.0699093
7992	-0.55793140096907901	-0.038828947464500642	0.0567381	0.0798982
8991	-0.5481309170324673	-0.040760300462335718	0.0632322	0.0898872
9990	-0.53834066870194086	-0.04274338166963617	0.0696404	0.0998763
10989	-0.52856142985080423	-0.044780534976184658	0.0759734	0.109865
11988	-0.51879404572521892	-0.046874242773096972	0.0822412	0.119855
12987	-0.50903944054640105	-0.049027135036580467	0.088453	0.129844
13986	-0.49929862599811053	-0.051241998910778956	0.0946175	0.139834
14985	-0.48957271070272401	-0.053521788775319094	0.100743	0.149823
15984	-0.47986291079937071	-0.055869636768131753	0.106836	0.159813
16983	-0.47017056174764554	-0.058288863714569913	0.112905	0.169802
17982	-0.46049713149010846	-0.060782990388709726	0.118957	0.179792
18981	-0.45084423511530503	-0.063355749000746031	0.124997	0.189782
19980	-0.44221995324229174	-0.065729343720980341	0.130401	0.198727
20979	-0.43741234270756985	-0.067084704197316866	0.133419	0.203722
21978	-0.43261100381883633	-0.068462186073397213	0.136438	0.208717
22977	-0.4278162104339851	-0.069862348205944794	0.139458	0.213712
23976	-0.42302825022903873	-0.071285765388512862	0.142481	0.218707
24975	-0.41824742543408533	-0.072733028656522272	0.145506	0.223702
25974	-0.41347405360444656	-0.074204745571764597	0.148536	0.228698
26973	-0.40870846842772524	-0.075701540482070118	0.151569	0.233693
27972	-0.40395102056718818	-0.077224054751342613	0.154608	0.238688
28971	-0.399202078541671	-0.078772946954624987	0.157652	0.243683
29970	-0.394462029641929	-0.080348893032284999	0.160703	0.248678
30969	-0.38973128088297004	-0.081952586396790761	0.16376	0.253673
31968	-0.38501025999151445	-0.083584737984885166	0.166825	0.258669
32967	-0.38029941642720616	-0.085246076247288652	0.169898	0.263664
33966	-0.37559922243562155	-0.086937347067316276	0.17298	0.268659
34965	-0.37091017413045912	-0.088659313599058945	0.176071	0.273654
35964	-0.36623279260150066	-0.090412756014995793	0.179172	0.278649
36963	-0.36156762504404055	-0.092198471152130007	0.182283	0.283645
37962	-0.3569152459044817	-0.094017272044959049	0.185405	0.28864
38961	-0.35227625803563473	-0.095869987332834278	0.188539	0.293635
39960	-0.34765129385397392	-0.09775746052854721	0.191684	0.298631
40959	-0.34304101648968421	-0.099680549134329527	0.194841	0.303626
41958	-0.3384461209187552	-0.10164012359088455	0.198012	0.308621
42957	-0.33386733506463195	-0.10363706604465207	0.201195	0.313617
43956	-0.32930542085509629	-0.1056722689182294	0.204392	0.318612
44955	-0.32476117521801839	-0.10774663326882458	0.207602	0.323607
45954	-0.32023543099751223	-0.10986106691982631	0.210827	0.328603
46953	-0.31572905776981075	-0.11201648235110123	0.214067	0.333598
47952	-0.31124296253589523	-0.11421379433453473	0.217321	0.338593
48951	-0.30677809026562775	-0.11645391730267057	0.22059	0.343589
49950	-0.30233542426589732	-0.11873776244016056	0.223874	0.348584
50949	-0.29791598634314792	-0.12106623449014138	0.227174	0.353579
51948	-0.29352083672877005	-0.12344022827071184	0.230489	0.358575
52947	-0.28915107373415594	-0.12586062490039276	0.233819	0.36357
53946	-0.28480783310110458	-0.12832828773591026	0.237165	0.368565
54945	-0.28049228701255896	-0.13084405803081486	0.240526	0.373561
55944	-0.27620564272875792	-0.13340875032938959	0.243903	0.378556
56943	-0.27194914081476895	-0.13602314761692652	0.247294	0.383551
57942	-0.26772405292727286	-0.13868799625475114	0.250701	0.388546
58941	-0.26353167913152137	-0.14140400073619408	0.254122	0.393542
59940	-0.25937334472369517	-0.14417181830792264	0.257558	0.398537
60939	-0.25525039653959214	-0.14699205350944905	0.261007	0.403532
61938	-0.25116419873768636	-0.14986525269195372	0.264469	0.408528
62937	-0.24711612805323782	-0.15279189858553494	0.267944	0.413523
63936	-0.243107568530085	-0.15577240499122669	0.271431	0.418518
64935	-0.23913990574809929	-0.1588071116803022	0.27493	0.423513
65934	-0.2352145205766428	-0.16189627958804975	0.278439	0.428508
66933	-0.23133278249755973	-0.165040086392027	0.281958	0.433504
67932	-0.22749604255483649	-0.16823862256538938	0.285485	0.438499
68931	-0.22370562600160682	-0.17149188799392764	0.289021	0.443494
69930	-0.2199628247281617	-0.17479978924075038	0.292563	0.448489
70929	-0.21626888956645579	-0.17816213753493174	0.29611	0.453484
71928	-0.2126250225766888	-0.18157864754998457	0.299663	0.458479
72927	-0.20903236942932946	-0.1850489370247892	0.303218	0.463474
73926	-0.20549201200090134	-0.18857252726399626	0.306775	0.468469
74925	-0.20045876181655078	-0.19376958994184587	0.311929	0.475704
75924	-0.19369779183741667	-0.20112349806095303	0.31904	0.485694
76923	-0.18716137416605133	-0.20867756709880522	0.326136	0.495684
77922	-0.18085410250556461	-0.21642386522293378	0.333205	0.505674
78921	-0.1747789583755745	-0.22435340549044949	0.340237	0.515663
79920	-0.1689372769395345	-0.23245636858862817	0.347222	0.525653
80919	-0.16332877195753515	-0.2407223407150095	0.354149	0.535642
81918	-0.15795161491044718	-0.24914055209795569	0.361011	0.545632
82917	-0.15280255950612784	-0.25770010318000419	0.367799	0.555621
83916	-0.14787710031881737	-0.26639016817045569	0.374507	0.56561
84915	-0.14316965335232867	-0.27520016896956856	0.381128	0.575599
85914	-0.13867374671192736	-0.28411991583072271	0.387657	0.585588
86913	-0.13438221099233427	-0.29313971412710521	0.394091	0.595577
87912	-0.13028736103712774	-0.30225043895753539	0.400426	0.605566
88911	-0.12638116301122571	-0.31144358095913488	0.406659	0.615554
89910	-0.12265538294361306	-0.32071126762147845	0.412791	0.625543
90909	-0.11910171483526909	-0.33004626473052529	0.418819	0.635532
91908	-0.11571188798085129	-0.33944196246109154	0.424744	0.64552
92907	-0.11247775429605504	-0.34889235023568088	0.430566	0.655509
93906	-0.10939135720470272	-0.35839198390666771	0.436286	0.665498
94905	-0.10644498407994905	-0.36793594819931513	0.441904	0.675486
95904	-0.10363120442338397	-0.37751981674519419	0.447422	0.685475
96903	-0.10094289597353218	-0.38713961148198545	0.452842	0.695463
97902	-0.098373260821830691	-0.39679176271813715	0.458165	0.705451
98901	-0.09591583342825695	-0.40647307076598449	0.463394	0.71544
99900	-0.093564482207009123	-0.4161806697321529	0.46853	0.725428
100899	-0.091313406120799537	-0.42591199381089118	0.473575	0.735416
101898	-0.089157127497373756	-0.43566474624420171	0.478533	0.745405
102897	-0.087090482074001552	-0.44543687098108437	0.483404	0.755393
103896	-0.085108607090159202	-0.45522652697664079	0.488192	0.765381
104895	-0.083206928087314364	-0.46503206501124345	0.492897	0.77537
105894	-0.08138114493735614	-0.47485200687267226	0.497524	0.785358
106893	-0.079627217506191936	-0.48468502672406716	0.502072	0.795346
107892	-0.077941351264088743	-0.49452993447268428	0.506546	0.805334
108891	-0.076319983076950232	-0.50438566095517712	0.510946	0.815323
109890	-0.074759767350357414	-0.51425124476143902	0.515275	0.825311
110889	-0.073257562648479949	-0.52412582052896906	0.519535	0.835299
111888	-0.071810418870747308	-0.53400860855162369	0.523727	0.845287
112887	-0.070415565038571035	-0.54389890555947273	0.527854	0.855275
113886	-0.069070397720817106	-0.55379607653954477	0.531917	0.865263
114885	-0.06777247010878526	-0.56369954747993423	0.535919	0.875252
115884	-0.066519481738022301	-0.57360879893189254	0.53986	0.88524
116883	-0.065309268844449084	-0.58352336029574858	0.543742	0.895228
117882	-0.064139795335246316	-0.59344280474698874	0.547567	0.905216
