# Filename: 2Dvpt_K0cFind2_Plot_Op3363_K-0.637_y0.025_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=6, OpC=3, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=-0.636619772367581382433, y=0.0250000000000000013878, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	-0.63661977236758138	0.025000000000000001	0	0
1	-0.63661977236758138	0.025000000000000001	2.07519e-317	0
2	-0.63662964267245603	0.025001570889544071	7.85417e-06	9.99453e-06
3	-0.6366395129827902	0.025003141743424943	1.57076e-05	1.99891e-05
4	-0.63664938329858367	0.025004712561644007	2.35603e-05	2.99836e-05
5	-0.63665925361983611	0.02500628334420266	3.14123e-05	3.99781e-05
6	-0.63666912394654707	0.025007854091102295	3.92635e-05	4.99726e-05
7	-0.63667899427871621	0.025009424802344304	4.7114e-05	5.99672e-05
8	-0.63668886461634322	0.025010995477930082	5.49638e-05	6.99617e-05
9	-0.63669873495942775	0.025012566117861023	6.28129e-05	7.99562e-05
10	-0.63670860530796947	0.025014136722138522	7.06612e-05	8.99508e-05
999	-0.64647299594699714	0.026550232469518431	0.00749179	0.00997443
1998	-0.65634120433567322	0.028067789550647728	0.0143604	0.0199587
2997	-0.66621421442259665	0.029552386091768055	0.0206811	0.0299427
3996	-0.67609173570627068	0.031005243352013497	0.0265219	0.0399265
4995	-0.6859734981869251	0.032427521973792783	0.0319396	0.0499101
5994	-0.69585925070968579	0.033820325614272159	0.0369816	0.0598934
6993	-0.70574875944964721	0.035184704330602702	0.0416883	0.0698766
7992	-0.71564180652823561	0.036521657737073658	0.0460939	0.0798596
8991	-0.72553818875015619	0.037832137950858137	0.0502281	0.0898424
9990	-0.7354377164504825	0.039117052341690987	0.0541165	0.099825
10989	-0.74534021244213067	0.040377266099638494	0.0577815	0.109807
11988	-0.75524551105459714	0.041613604634042768	0.0612426	0.119789
12987	-0.76515345725559447	0.042826855815742915	0.0645172	0.129771
13986	-0.77506390584796225	0.04401777207376948	0.0676205	0.139753
14985	-0.78497672073487901	0.045187072356872159	0.070566	0.149735
15984	-0.79489177424710356	0.046335443969469835	0.073366	0.159716
16983	-0.80480894652649482	0.04746354429089495	0.0760312	0.169697
17982	-0.81472812496071034	0.048572002386143898	0.0785715	0.179678
18981	-0.82464920366436467	0.049661420515731219	0.0809957	0.189659
19980	-0.83457208300246577	0.050732375551681974	0.0833117	0.199639
20979	-0.84449666915233412	0.051785420306170532	0.0855268	0.20962
21978	-0.85442287370053516	0.052821084778830504	0.0876475	0.2196
22977	-0.86435061327173601	0.053839877328315452	0.08968	0.22958
23976	-0.8742798091867019	0.054842285773274102	0.0916296	0.239559
24975	-0.88421038714683309	0.055828778427526461	0.0935015	0.249539
25974	-0.89414227694299497	0.056799805073870224	0.0953002	0.259518
26973	-0.90407541218654408	0.057755797880626764	0.09703	0.269497
27972	-0.9140097300606479	0.058697172264733935	0.0986948	0.279476
28971	-0.92394517109018137	0.059624327704915533	0.100298	0.289454
29970	-0.93388167892868867	0.060537648508202153	0.101844	0.299433
30969	-0.94381920016094412	0.061437504532843593	0.103334	0.309411
31968	-0.95375768411985984	0.062324251870433722	0.104773	0.319389
32967	-0.96369708271656507	0.063198233489866515	0.106162	0.329367
33966	-0.97363735028259102	0.064059779845559647	0.107505	0.339344
34965	-0.98357844342319989	0.064909209452207225	0.108803	0.349322
35964	-0.99352032088096232	0.065746829428165232	0.110058	0.359299
36963	-1.0034629434087876	0.066572936009427874	0.111274	0.369276
37962	-1.0134062736516694	0.067387815036015944	0.112451	0.379252
38961	-1.0233502760364661	0.068191742412473846	0.113591	0.389229
39960	-1.0332949166691177	0.068984984544054759	0.114697	0.399205
40959	-1.0432401632386834	0.069767798750068388	0.115769	0.409181
41958	-1.0531859849277923	0.070540433655762208	0.116809	0.419157
42957	-1.0631323523288956	0.071303129564019255	0.117819	0.429132
43956	-1.073079237366005	0.072056118808066311	0.1188	0.439108
44955	-1.0830266132214583	0.072799626086311478	0.119753	0.449083
45954	-1.0929744542673159	0.073533868780350037	0.120679	0.459058
46953	-1.10292273600116	0.074259057257118774	0.12158	0.469032
47952	-1.1128714349858655	0.074975395156104477	0.122455	0.479007
48951	-1.1228205287931516	0.075683079662463126	0.123308	0.488981
49950	-1.132769995950577	0.076382301766845545	0.124137	0.498955
50949	-1.1427198158917848	0.077073246512680285	0.124945	0.508929
51948	-1.1526699689097613	0.077756093231609313	0.125732	0.518902
52947	-1.1626204361128933	0.078431015767733384	0.126498	0.528876
53946	-1.1725711993836501	0.079098182691286517	0.127246	0.538849
54945	-1.182522241339693	0.079757757502311219	0.127974	0.548822
55944	-1.1924735452972637	0.080409898824878645	0.128685	0.558794
56943	-1.2024250952366924	0.081054760592363398	0.129378	0.568767
57942	-1.212376875769914	0.081692492224245961	0.130054	0.578739
58941	-1.222328872109792	0.082323238794898473	0.130715	0.588711
59940	-1.2322810700412261	0.082947141194769258	0.131359	0.598683
60939	-1.2422334558938595	0.08356433628436688	0.131989	0.608654
61938	-1.252186016516301	0.084174957041417212	0.132604	0.618625
62937	-1.2621387392517893	0.084779132701541124	0.133205	0.628596
63936	-1.2720916119151644	0.085376988892790551	0.133792	0.638567
64935	-1.2820446227711311	0.08596864776434851	0.134367	0.648538
65934	-1.2919977605136455	0.086554228109690268	0.134929	0.658508
66933	-1.3019510142464412	0.087133845484483385	0.135478	0.668478
67932	-1.3119043734645934	0.087707612319486358	0.136015	0.678448
68931	-1.321857828037013	0.088275638028692857	0.136541	0.688418
69930	-1.3318113681898947	0.088838029112955963	0.137056	0.698387
70929	-1.3417649844910307	0.089394889259311189	0.13756	0.708356
71928	-1.3517186678348867	0.089946319436207511	0.138053	0.718325
72927	-1.3616724094284773	0.090492417984839355	0.138537	0.728294
73926	-1.3716262007779481	0.091033280706771344	0.13901	0.738263
74925	-1.3815800336758408	0.091569000948025517	0.139474	0.748231
75924	-1.3915339001889842	0.092099669679800364	0.139929	0.758199
76923	-1.4014877926469846	0.092625375575978872	0.140374	0.768167
77922	-1.4114417036312923	0.093146205087574097	0.140811	0.778134
78921	-1.4213956259648008	0.093662242514253785	0.141239	0.788101
79920	-1.4313495527019446	0.094173570073077764	0.141659	0.798068
80919	-1.4413034771192663	0.09468026796457378	0.142071	0.808035
81918	-1.4512573927064811	0.095182414436273094	0.142476	0.818002
82917	-1.4612112931578922	0.095680085843821927	0.142872	0.827968
83916	-1.4711651723642736	0.096173356709771896	0.143261	0.837934
84915	-1.4811190244051085	0.096662299780156766	0.143643	0.8479
85914	-1.491072843541178	0.097146986078950906	0.144018	0.857866
86913	-1.5010266242075112	0.097627484960502622	0.144387	0.867831
87912	-1.5109803610066577	0.098103864160031654	0.144748	0.877796
88911	-1.520934048702252	0.098576189842270456	0.145103	0.887761
89910	-1.5308876822128776	0.09904452664833438	0.145452	0.897726
90909	-1.5408412566062126	0.099508937740892381	0.145795	0.90769
91908	-1.5507947670934221	0.099969484847711676	0.146132	0.917654
92907	-1.5607482090238243	0.10042622830364417	0.146462	0.927618
93906	-1.5707015778797624	0.10087922709112254	0.146788	0.937582
94905	-1.5806548692717042	0.10132853887922223	0.147107	0.947545
95904	-1.5906080789335881	0.10177422006135585	0.147422	0.957509
96903	-1.6005612027183318	0.10221632579165106	0.147731	0.967471
97902	-1.6105142365935294	0.10265491002006731	0.148035	0.977434
98901	-1.6204671766373959	0.10309002552630232	0.148334	0.987397
99900	-1.6304200190348055	0.10352172395253889	0.148628	0.997359
100899	-1.6403727600735267	0.10395005583507556	0.148917	1.00732
101898	-1.6503253961406354	0.1043750706348887	0.149201	1.01728
102897	-1.6602779237190419	0.10479681676716551	0.149481	1.02724
103896	-1.670230339384188	0.10521534162985083	0.149757	1.03721
104895	-1.6801826398008561	0.10563069163124594	0.150028	1.04717
105894	-1.6901348217201395	0.10604291221669403	0.150295	1.05713
106893	-1.7000868819765091	0.10645204789439283	0.150558	1.06709
107892	-1.7100388174850043	0.10685814226035997	0.150817	1.07705
108891	-1.7199906252385455	0.10726123802259348	0.151072	1.08701
109890	-1.7299423023053286	0.10766137702444877	0.151323	1.09697
110889	-1.7398938458263655	0.10805860026726845	0.15157	1.10693
111888	-1.7498452530130664	0.10845294793228887	0.151813	1.11689
112887	-1.7597965211449835	0.10884445940185367	0.152053	1.12684
113886	-1.7697476475675664	0.10923317327995617	0.152289	1.1368
114885	-1.7796986296900639	0.10961912741214079	0.152522	1.14676
115884	-1.7896494649834835	0.11000235890478141	0.152752	1.15672
116883	-1.7996001509786212	0.11038290414376485	0.152978	1.16668
117882	-1.8095506852641889	0.11076079881259572	0.1532	1.17664
118881	-1.8195010654849761	0.11113607790994857	0.15342	1.18659
119880	-1.8294512893401214	0.11150877576668468	0.153637	1.19655
120879	-1.8394013545814174	0.11187892606235045	0.15385	1.20651
121878	-1.8493512590117063	0.11224656184118292	0.15406	1.21646
