# Filename: 2Dvpt_K0cFind2_Plot_Op3363_K-2.546_y0.125_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=6, OpC=3, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=-2.54647908947032552973, y=                0.125, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	-2.5464790894703255	            0.125	0	0
1	-2.5464790894703255	            0.125	2.07519e-317	0
2	-2.5464890369726172	0.12500024737350787	9.89492e-08	9.95058e-06
3	-2.5464989844746739	0.12500049474585032	1.97897e-07	1.99012e-05
4	-2.5465089319764957	0.12500074211702733	2.96845e-07	2.98517e-05
5	-2.5465188794780826	0.12500098948703894	3.95791e-07	3.98023e-05
6	-2.5465288269794342	0.12500123685588513	4.94736e-07	4.97529e-05
7	-2.5465387744805508	0.12500148422356594	5.9368e-07	5.97035e-05
8	-2.5465487219814325	0.12500173159008135	6.92624e-07	6.9654e-05
9	-2.5465586694820788	0.12500197895543139	7.91566e-07	7.96046e-05
10	-2.5465686169824902	0.12500222631961608	8.90507e-07	8.95552e-05
999	-2.5564065797114921	0.12524630070290521	9.82704e-05	0.00993055
1998	-2.56634378224051	0.12549169617314709	0.000195684	0.0198708
2997	-2.5762807489331725	0.12573594943043745	0.000292156	0.0298107
3996	-2.5862174791756583	0.12597907073203898	0.000387698	0.0397504
4995	-2.5961539723618521	0.12622107020045481	0.000482325	0.0496899
5994	-2.6060902278931559	0.12646195782574127	0.000576048	0.0596291
6993	-2.6160262451783787	0.12670174346777621	0.00066888	0.069568
7992	-2.6259620236335386	0.12694043685846884	0.000760834	0.0795066
8991	-2.6358975626817993	0.12717804760393669	0.000851922	0.089445
9990	-2.6458328617532412	0.12741458518662696	0.000942155	0.0993831
10989	-2.6557679202847928	0.12765005896739884	0.00103154	0.109321
11988	-2.6657027377200597	0.12788447818756171	0.0011201	0.119259
12987	-2.6756373135092093	0.12811785197086989	0.00120784	0.129196
13986	-2.6855716471088389	0.1283501893254794	0.00129477	0.139133
14985	-2.6955057379818617	0.12858149914586214	0.0013809	0.14907
15984	-2.7054395855973681	0.12881179021468173	0.00146624	0.159006
16983	-2.7153731894305446	0.12904107120463112	0.00155081	0.168942
17982	-2.7253065489625081	0.12926935068023468	0.0016346	0.178878
18981	-2.7352396636802414	0.12949663709961132	0.00171764	0.188814
19980	-2.7451725330764551	0.1297229388162052	0.00179994	0.19875
20979	-2.7551051566494906	0.12994826408047896	0.00188149	0.208685
21978	-2.7650375339032158	0.13017262104157556	0.00196232	0.21862
22977	-2.7749696643469086	0.1303960177489448	0.00204243	0.228554
