# Filename: 2Dvpt_K0cFind2_Plot_Op3363_K0.637_y-0.050_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=6, OpC=3, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.636619772367581382433, y=-0.0500000000000000027756, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.63661977236758138	-0.050000000000000003	0	0
1	0.63661977236758138	-0.050000000000000003	2.07519e-317	0
2	0.6366297685769593	-0.049999999993754873	3.9773e-06	9.99621e-06
3	0.63663976478630269	-0.049999999975019999	7.95448e-06	1.99924e-05
4	0.63664976099561166	-0.04999999994379617	1.19315e-05	2.99886e-05
5	0.6366597572048861	-0.04999999990008417	1.59085e-05	3.99848e-05
6	0.63666975341412602	-0.049999999843884785	1.98853e-05	4.9981e-05
7	0.63667974962333129	-0.049999999775198797	2.38619e-05	5.99773e-05
8	0.63668974583250204	-0.049999999694026992	2.78385e-05	6.99735e-05
9	0.63669974204163826	-0.049999999600370146	3.18149e-05	7.99697e-05
10	0.63670973825073984	-0.04999999949422905	3.57912e-05	8.99659e-05
999	0.64659596989712464	-0.049993907431314717	0.00390832	0.0099762
1998	0.65658211642248421	-0.049976099801615374	0.0077025	0.0199624
2997	0.66656820516360615	-0.049947282126242595	0.0113847	0.0299485
3996	0.67655422767423967	-0.049908112563233777	0.0149606	0.0399346
4995	0.68654017732054196	-0.049859206033531701	0.0184355	0.0499207
5994	0.69652604901362225	-0.049801137524960987	0.0218144	0.0599067
6993	0.70651183898001413	-0.049734445106034912	0.0251019	0.0698927
7992	0.71649754456460091	-0.049659632678324621	0.0283022	0.0798787
8991	0.72648316406127755	-0.049577172492972173	0.0314195	0.0898647
9990	0.73646869656740122	-0.049487507454158093	0.0344575	0.0998506
10989	0.74645414185861514	-0.049391053229886059	0.0374197	0.109837
11988	0.75643950028118234	-0.049288200188291324	0.0403096	0.119822
12987	0.76642477265936415	-0.049179315175766049	0.0431301	0.129808
13986	0.77640996021575648	-0.049064743151506933	0.0458844	0.139794
14985	0.78639506450276087	-0.048944808691590548	0.0485751	0.14978
15984	0.7963800873436826	-0.048819817374351752	0.0512049	0.159766
16983	0.80636503078209898	-0.048690057057659122	0.0537762	0.169752
17982	0.81634989703839766	-0.048555799057625887	0.0562915	0.179737
18981	0.82633468847249536	-0.048417299237361482	0.0587528	0.189723
19980	0.83631940755188283	-0.048274799013530885	0.0611623	0.199709
20979	0.84630405682430732	-0.048128526287738463	0.063522	0.209695
21978	0.85628863889443396	-0.047978696309091379	0.0658338	0.21968
22977	0.86627315640396785	-0.047825512473694209	0.0680994	0.229666
23976	0.87625761201475705	-0.047669167066290395	0.0703205	0.239652
24975	0.8862420083944953	-0.047509841948788829	0.0724988	0.249637
25974	0.89622634820464953	-0.04734770919997814	0.0746357	0.259623
26973	0.90621063409033253	-0.047182931710341477	0.0767328	0.269609
27972	0.91619486867184019	-0.047015663735538074	0.0787914	0.279594
28971	0.92617905453763505	-0.046846051411798408	0.0808128	0.28958
29970	0.93616319423859318	-0.046674233236197571	0.0827983	0.299565
30969	0.9461472902833129	-0.046500340514513405	0.0847492	0.309551
31968	0.95613134513436149	-0.046324497779140369	0.0866664	0.319537
32967	0.96611536120532182	-0.046146823179325031	0.0885513	0.329522
33966	0.97609934085852157	-0.045967428845793377	0.0904047	0.339508
34965	0.98608328640336829	-0.045786421231668741	0.0922277	0.349493
35964	0.99606720009516758	-0.045603901431422421	0.0940212	0.359479
36963	1.0060510841343966	-0.045419965479456335	0.0957862	0.369465
37962	1.0160349406663285	-0.045234704629784933	0.0975236	0.37945
38961	1.0260187717809777	-0.045048205618168358	0.0992342	0.389436
39960	1.0360025795133101	-0.044860550907940056	0.100919	0.399421
40959	1.0459863658436643	-0.044671818920672485	0.102578	0.409407
41958	1.0559701326983826	-0.04448208425273599	0.104213	0.419392
42957	1.0659538819505587	-0.044291417878724558	0.105824	0.429378
43956	1.0759376154209541	-0.044099887342646867	0.107412	0.439364
