# Filename: 2Dvpt_K0cFind2_Plot_Op3363_K0.637_y-0.125_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=6, OpC=3, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.636619772367581382433, y=               -0.125, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.63661977236758138	           -0.125	0	0
1	0.63661977236758138	           -0.125	2.07519e-317	0
2	0.63662976265539961	-0.12499999999376227	1.58998e-06	9.99029e-06
3	0.63663975294309094	-0.12499999997504958	3.17991e-06	1.99806e-05
4	0.63664974323065526	-0.12499999994386274	4.76979e-06	2.99709e-05
5	0.63665973351809269	-0.12499999990020251	6.35962e-06	3.99612e-05
6	0.6366697238054031	-0.12499999984406969	7.94939e-06	4.99514e-05
7	0.6366797140925865	-0.12499999977546505	9.53912e-06	5.99417e-05
8	0.6366897043796429	-0.12499999969438938	1.11288e-05	6.9932e-05
9	0.63669969466657228	-0.12499999960084346	1.27184e-05	7.99223e-05
10	0.63670968495337465	-0.12499999949482808	1.4308e-05	8.99126e-05
999	0.64659001419426232	-0.12499391462873191	0.00156237	0.00997024
1998	0.65657010685512385	-0.12497612796652381	0.00307891	0.0199504
2997	0.66655004950200547	-0.12494734410564966	0.00455029	0.0299303
3996	0.67652983369511355	-0.12490822035322588	0.00597862	0.0399102
4995	0.68650945280379305	-0.1248593708449397	0.00736589	0.0498899
5994	0.69648890173962041	-0.12480136984319526	0.00871396	0.0598696
6993	0.70646817672739182	-0.12473475474567494	0.0100246	0.0698491
7992	0.71644727510844375	-0.12466002883298223	0.0112994	0.0798284
8991	0.72642619517167228	-0.1245776637808895	0.0125399	0.0898077
9990	0.7364049360082574	-0.12448810195995476	0.0137477	0.0997868
10989	0.74638349738674725	-0.12439175854282115	0.014924	0.109766
11988	0.75636187964557977	-0.12428902343737011	0.0160701	0.119745
12987	0.76634008360065797	-0.12418026306198578	0.0171874	0.129724
13986	0.77631811046580435	-0.12406582197750449	0.0182768	0.139702
14985	0.78629596178437544	-0.1239460243889311	0.0193397	0.149681
15984	0.79627363937043749	-0.1238211755286673	0.0203768	0.159659
16983	0.80625114525824071	-0.1236915629318318	0.0213894	0.169638
17982	0.81622848165881867	-0.12355745761318732	0.0223782	0.179616
18981	0.82620565092275267	-0.12341911515426279	0.0233442	0.189594
19980	0.83618265550828852	-0.12327677670842394	0.0242882	0.199572
20979	 0.84615949795403	-0.1231306699308955	0.025211	0.20955
