# Filename: 2Dvpt_K0cFind2_Plot_Op3363_K0.637_y0.125_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=6, OpC=3, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.636619772367581382433, y=                0.125, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.63661977236758138	            0.125	0	0
1	0.63661977236758138	            0.125	2.07519e-317	0
2	0.63661476747245904	0.12500000000156558	7.9656e-07	5.0049e-06
3	0.63660976257738366	0.12500000000626238	1.59313e-06	1.00098e-05
4	0.63660475768235536	0.12500000001409051	2.38972e-06	1.50147e-05
5	0.63659975278737402	0.12500000002505005	3.18632e-06	2.00196e-05
6	0.63659474789243975	0.12500000003914111	3.98293e-06	2.50245e-05
7	0.63658974299755244	0.12500000005636377	4.77955e-06	3.00294e-05
8	0.63658473810271221	0.12500000007671816	5.57618e-06	3.50343e-05
9	0.63657973320791905	0.12500000010020434	6.37283e-06	4.00392e-05
10	0.63657472831317286	0.12500000012682244	7.16949e-06	4.50441e-05
999	0.63162491074168237	0.12500157574742984	0.00080124	0.00499486
1998	0.62662509309553616	0.12500637638928661	0.00161605	0.00999468
2997	0.62162532645801483	0.12501450537825398	0.00244391	0.0149945
3996	0.6166256131777168	0.12502606992856319	0.00328512	0.0199942
4995	0.61162595583574197	0.12504118118042462	0.00413999	0.0249939
5994	0.60662635726474046	0.12505995437114817	0.00500881	0.0299935
6993	0.6016268205695442	0.12508250901499851	0.00589193	0.0349931
7992	0.59662734914952287	0.12510896909228905	0.00678965	0.0399926
8991	0.59162794672278551	0.125139463248261	0.00770232	0.0449921
9990	0.58662861735244742	0.12517412500232672	0.0086303	0.0499916
10989	0.58162936547508848	0.12521309296828836	0.00957394	0.054991
11988	0.57663019593163567	0.12525651108619307	0.0105336	0.0599903
12987	0.5716311140008844	0.12530452886651935	0.0115097	0.0649896
13986	0.5666321254358706	0.12535730164744727	0.0125026	0.0699889
14985	0.56163323650340646	0.12541499086600269	0.0135127	0.0749881
15984	0.55663445402700884	0.12547776434393201	0.0145404	0.0799873
16983	0.55163578543359071	0.12554579658920392	0.0155862	0.0849864
17982	0.54663723880422654	0.1256192691141175	0.0166504	0.0899855
18981	0.54163882292938581	0.12569837077104198	0.0177337	0.0949846
19980	0.53664054736906708	0.12578329810689806	0.0188363	0.0999836
20979	0.53164242251828375	0.12587425573755348	0.0199589	0.104983
21978	0.52664445967841067	0.12597145674339832	0.0211019	0.109981
