# Filename: 2Dvpt_K0cFind2_Plot_Op3374_K-2.546_y-0.075_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=7, OpC=4, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=-2.54647908947032552973, y=-0.0749999999999999972244, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	-2.5464790894703255	-0.074999999999999997	0	0
1	-2.5464790894703255	-0.074999999999999997	2.07519e-317	0
2	-2.5464890727378897	-0.074999751737086937	-1.65509e-07	9.98635e-06
3	-2.5464990560054996	-0.074999503475340679	-3.31016e-07	1.99727e-05
4	-2.5465090392731553	-0.074999255214761223	-4.96524e-07	2.99591e-05
5	-2.5465190225408567	-0.074999006955348557	-6.6203e-07	3.99454e-05
6	-2.5465290058086039	-0.074998758697102666	-8.27536e-07	4.99318e-05
7	-2.5465389890763968	-0.074998510440023536	-9.93041e-07	5.99181e-05
8	-2.5465489723442354	-0.074998262184111167	-1.15854e-06	6.99045e-05
9	-2.5465589556121198	-0.074998013929365531	-1.32405e-06	7.98908e-05
10	-2.5465689388800499	-0.074997765675786629	-1.48955e-06	8.98772e-05
999	-2.5564424132437811	-0.074752812347625056	-0.000164806	0.00996639
1998	-2.5664157658116666	-0.074506530377962926	-0.000329038	0.0199428
2997	-2.5763891637624576	-0.074261391933427442	-0.000492537	0.0299192
3996	-2.5863626069581382	-0.074017386729974669	-0.000655311	0.0398956
4995	-2.5963360952665191	-0.073774504618809467	-0.000817368	0.0498721
5994	-2.6063096285611138	-0.073532735584061176	-0.000978714	0.0598485
6993	-2.6162832067210053	-0.073292069740509086	-0.00113936	0.069825
7992	-2.6262568296306852	-0.073052497331356187	-0.0012993	0.0798015
8991	-2.6362304971799642	-0.072814008726048776	-0.00145856	0.089778
9990	-2.6462042092638081	-0.072576594418141474	-0.00161714	0.0997546
10989	-2.6561779657822391	-0.072340245023207378	-0.00177503	0.109731
11988	-2.6661517666401902	-0.072104951276791021	-0.00193226	0.119708
12987	-2.6761256117474481	-0.071870704032403809	-0.00208883	0.129684
13986	-2.6860995010184525	-0.071637494259559301	-0.00224474	0.139661
14985	-2.6960734343722499	-0.071405313041851382	-0.00240001	0.149638
15984	-2.7060474117323534	-0.071174151575068623	-0.00255463	0.159614
16983	-2.716021433026651	-0.07094400116534956	-0.00270861	0.169591
17982	-2.7259954981873178	-0.07071485322737317	-0.00286196	0.179568
18981	-2.7359696071506803	-0.070486699282587231	-0.00301469	0.189544
19980	-2.7459437598571377	-0.070259530957471686	-0.0031668	0.199521
20979	-2.7559179562510741	-0.070033339981837014	-0.0033183	0.209498
21978	-2.7658921962807641	-0.069808118187155432	-0.00346919	0.219475
22977	-2.775866479898256	-0.069583857504927543	-0.00361948	0.229451
23976	-2.7858408070593303	-0.069360549965078427	-0.00376917	0.239428
24975	-2.7958151777233731	-0.069138187694387551	-0.00391828	0.249405
25974	-2.8057895918533191	-0.06891676291494897	-0.0040668	0.259382
26973	-2.8157640494155207	-0.06869626794266126	-0.00421475	0.269359
27972	-2.8257385503797585	-0.068476695185745881	-0.00436212	0.279336
28971	-2.8357130947190865	-0.068258037143297534	-0.00450892	0.289313
29970	-2.8456876824097832	-0.068040286403858841	-0.00465517	0.29929
30969	-2.8556623134312704	-0.067823435644025154	-0.00480085	0.309267
31968	-2.8656369877660564	-0.067607477627074725	-0.00494599	0.319244
32967	-2.8756117053996575	-0.06739240520162515	-0.00509058	0.329221
33966	-2.8855864663205137	-0.0671782113003173	-0.00523463	0.339198
34965	-2.8955612705199525	-0.066964888938520692	-0.00537814	0.349175
35964	-2.905536117992098	-0.066752431213067731	-0.00552112	0.359152
