# Filename: 2Dvpt_K0cFind2_Plot_Op3374_K-2.546_y-0.125_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=7, OpC=4, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=-2.54647908947032552973, y=               -0.125, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	-2.5464790894703255	           -0.125	0	0
1	-2.5464790894703255	           -0.125	2.07519e-317	0
2	-2.5464890569679577	-0.12499975212925113	-9.91482e-08	9.97058e-06
3	-2.5464990244655734	-0.12499950425966692	-1.98296e-07	1.99412e-05
4	-2.5465089919631732	-0.12499925639124737	-2.97443e-07	2.99117e-05
5	-2.5465189594607569	-0.12499900852399246	-3.96589e-07	3.98823e-05
6	-2.5465289269583242	-0.12499876065790216	-4.95735e-07	4.98529e-05
7	-2.5465388944558756	-0.1249985127929765	-5.94881e-07	5.98235e-05
8	-2.5465488619534105	-0.12499826492921544	-6.94026e-07	6.97941e-05
9	-2.5465588294509294	-0.12499801706661898	-7.9317e-07	7.97646e-05
10	-2.5465687969484323	-0.1249977692051871	-8.92313e-07	8.97352e-05
999	-2.5564266440523458	-0.12475320266388047	-9.86625e-05	0.00995062
1998	-2.5663841498760114	-0.12450730928787893	-0.000196851	0.0199112
2997	-2.5763416393007623	-0.12426255735021592	-0.000294473	0.0298717
3996	-2.5862991121896504	-0.12401893659433813	-0.000391534	0.0398321
4995	-2.596256568411524	-0.12377643689846751	-0.000488039	0.0497925
5994	-2.6062140078408969	-0.12353504827328776	-0.000583993	0.0597529
6993	-2.616171430357829	-0.12329476085967936	-0.000679403	0.0697132
7992	-2.6261288358477533	-0.12305556492650233	-0.000774274	0.0796735
8991	-2.6360862242013803	-0.12281745086842569	-0.00086861	0.0896337
9990	-2.6460435953145662	-0.12258040920380185	-0.000962418	0.0995939
10989	-2.6560009490881713	-0.12234443057258428	-0.0010557	0.109554
11988	-2.6659582854279735	-0.12210950573429015	-0.00114847	0.119514
12987	-2.6759156042445245	-0.12187562556600409	-0.00124072	0.129474
13986	-2.6858729054530439	-0.12164278106042124	-0.00133246	0.139434
14985	-2.6958301889733085	-0.12141096332393371	-0.0014237	0.149394
15984	-2.7057874547295686	-0.12118016357475279	-0.00151444	0.159354
16983	-2.7157447026503956	-0.12095037314107139	-0.00160469	0.169314
17982	-2.7257019326686112	-0.12072158345926237	-0.00169444	0.179274
18981	-2.7356591447212026	-0.12049378607211474	-0.00178371	0.189234
19980	-2.7456163387491834	-0.12026697262710212	-0.00187251	0.199194
20979	-2.7555735146975318	-0.12004113487468979	-0.00196082	0.209153
