# Filename: 2Dvpt_K0cFind2_Plot_Op3374_K-2.546_y0.075_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=7, OpC=4, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=-2.54647908947032552973, y=0.0749999999999999972244, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	-2.5464790894703255	0.074999999999999997	0	0
1	-2.5464790894703255	0.074999999999999997	2.07519e-317	0
2	-2.5464740741972647	0.074999875280243461	-8.31466e-08	5.01682e-06
3	-2.546469058924262	0.074999750560193604	-1.66294e-07	1.00336e-05
4	-2.5464640436513175	0.07499962583985044	-2.49441e-07	1.50505e-05
5	-2.5464590283784312	0.074999501119213954	-3.32589e-07	2.00673e-05
6	-2.546454013105603	0.074999376398284148	-4.15738e-07	2.50841e-05
7	-2.5464489978328331	0.074999251677061021	-4.98887e-07	3.01009e-05
8	-2.5464439825601213	0.074999126955544573	-5.82036e-07	3.51178e-05
9	-2.5464389672874681	0.074999002233734804	-6.65186e-07	4.01346e-05
10	-2.5464339520148731	0.074998877511631715	-7.48336e-07	4.51514e-05
999	-2.5414738759322124	0.074875383535853365	-8.32122e-05	0.00500676
1998	-2.5364637052620123	0.07475034828182156	-0.000166975	0.0100185
2997	-2.5314535927527437	0.074625017603980437	-0.00025121	0.0150302
3996	-2.5264435384247168	0.074499390139780533	-0.00033592	0.0200418
4995	-2.5214335422986558	0.074373464517428198	-0.000421109	0.0250534
5994	-2.5164236043957109	0.07424723935580442	-0.000506782	0.0300649
6993	-2.5114137247374617	0.074120713264379204	-0.000592942	0.0350764
7992	-2.5064039033459258	0.073993884843130034	-0.000679593	0.0400878
8991	-2.5013941402435287	0.073866752682455392	-0.00076674	0.0450992
9990	-2.4963844354531739	0.073739315363088337	-0.000854387	0.0501105
10989	-2.4913747889981979	0.073611571456009578	-0.000942537	0.0551218
11988	-2.4863652009024064	0.073483519522360471	-0.0010312	0.060133
12987	-2.4813556711900455	0.073355158113352886	-0.00112037	0.0651442
13986	-2.4763461998858394	0.073226485770179539	-0.00121005	0.0701553
14985	-2.471336787014986	0.073097501023922942	-0.00130026	0.0751664
15984	-2.4663274326031601	0.07296820239546345	-0.001391	0.0801774
16983	-2.4613181366765384	0.072838588395386622	-0.00148226	0.0851884
17982	-2.4563088992617224	0.072708657523887943	-0.00157406	0.0901993
18981	-2.4512997203858822	0.072578408270678893	-0.0016664	0.0952102
19980	-2.4462906000766624	0.072447839114889945	-0.00175928	0.100221
20979	-2.4412815383622237	0.07231694852497314	-0.00185271	0.105232
21978	-2.4362725352712427	0.0721857349586041	-0.00194669	0.110242
22977	-2.4312635908329052	0.072054196862582298	-0.00204124	0.115253
23976	-2.4262547050769401	0.071922332672730127	-0.00213634	0.120264
24975	-2.4212458780336079	0.071790140813791453	-0.00223201	0.125274
25974	-2.4162371097337156	0.071657619699328032	-0.00232826	0.130285
26973	-2.4112284002086155	0.071524767731615466	-0.00242508	0.135295
27972	-2.406219749490214	0.071391583301538247	-0.00252249	0.140306
28971	-2.4012111576109838	0.071258064788482428	-0.00262048	0.145316
29970	-2.3962026246039771	0.071124210560228177	-0.00271907	0.150326
30969	-2.3911941505028174	0.070990018972840574	-0.00281826	0.155337
31968	-2.3861857353416998	0.070855488370558689	-0.00291804	0.160347
32967	-2.3811773791554582	0.070720617085685236	-0.00301844	0.165357
33966	-2.3761690819794872	0.070585403438472319	-0.00311946	0.170367
34965	-2.3711608438497991	0.070449845737007147	-0.00322109	0.175377
35964	-2.3661526648030331	0.070313942277097571	-0.00332335	0.180387
36963	-2.3611445448764399	0.070177691342153944	-0.00342624	0.185397
