# Filename: 2Dvpt_K0cFind2_Plot_Op3374_K0.318_y-0.500_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=7, OpC=4, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.318309886183790691216, y=                 -0.5, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.31830988618379069	             -0.5	0	0
1	0.31830988618379069	             -0.5	2.07519e-317	0
2	0.31830493853355291	-0.49999921253864821	-7.87456e-07	5.00992e-06
3	0.31829999088919847	-0.4999984250415121	-1.57494e-06	1.00198e-05
4	0.31829504325072788	-0.49999763750859	-2.36244e-06	1.50298e-05
5	0.3182900956181417	-0.49999684993988019	-3.14997e-06	2.00397e-05
6	0.31828514799144048	-0.49999606233538102	-3.93753e-06	2.50496e-05
7	0.31828020037062471	-0.49999527469509081	-4.72511e-06	3.00595e-05
8	0.31827525275569496	-0.49999448701900784	-5.51271e-06	3.50695e-05
9	0.31827030514665178	-0.49999369930713039	-6.30034e-06	4.00794e-05
10	0.31826535754349566	-0.49999291155945685	-7.08799e-06	4.50893e-05
999	0.31337514891782875	-0.49919602864181278	-0.000798396	0.00499981
1998	0.30844190033387991	-0.49835382815752965	-0.00162345	0.0100044
2997	0.30351570727602079	-0.4974723710741622	-0.00247555	0.0150089
3996	0.29859725264685832	-0.49654974923755923	-0.00335596	0.0200131
4995	0.29368728964770524	-0.49558395803626459	-0.00426599	0.0250172
5994	0.28878664896165906	-0.49457289356564366	-0.00520703	0.0300211
6993	0.28389624655804951	-0.49351435029333018	-0.00618052	0.0350248
7992	0.2790170921299977	-0.49240601938808487	-0.00718799	0.0400282
8991	0.2741502981619105	-0.4912454879040104	-0.00823103	0.0450315
9990	0.26929708960331639	-0.4900302390449115	-0.00931131	0.0500346
10989	0.2644588140983864	-0.4887576537687397	-0.0104306	0.0550375
11988	0.25963695268545012	-0.48742501402865268	-0.0115906	0.0600401
12987	0.25483313083665388	-0.48602950798355232	-0.0127934	0.0650426
13986	0.25004912965318249	-0.48456823754464501	-0.0140407	0.0700448
14985	0.24528689696562184	-0.48303822865239793	-0.0153347	0.0750468
15984	0.24054855801155392	-0.48143644469574964	-0.0166774	0.0800486
16983	0.23583642527408363	-0.47975980348713443	-0.0180709	0.0850502
17982	0.23115300696779123	-0.47800519818596471	-0.0195174	0.0900516
18981	0.22650101355642302	-0.47616952251214828	-0.021019	0.0950527
19980	0.22188336158595931	-0.47424970050162457	-0.022578	0.100054
20979	0.21730317402677093	-0.47224272092010144	-0.0241964	0.105054
21978	0.21276377625189416	-0.47014567626262438	-0.0258765	0.110055
22977	0.20826868675041588	-0.46795580602231607	-0.0276202	0.115055
23976	0.20382160170325014	-0.46567054361370824	-0.0294297	0.120055
24975	0.19942637265133292	-0.46328756599405091	-0.0313067	0.125055
25974	0.19508697667954036	-0.46080484465879462	-0.0332531	0.130054
26973	0.19080747883377938	-0.4582206963241815	-0.0352703	0.135054
27972	0.18659198688426193	-0.45553383128944036	-0.0373598	0.140053
28971	0.18244459903162175	-0.45274339723908524	-0.0395228	0.145052
29970	0.1783693456944849	-0.449849016149373	-0.0417602	0.15005
30969	0.17437012707068561	-0.44685081204282595	-0.0440725	0.155049
31968	0.17045064866949208	-0.4437494276165137	-0.0464603	0.160047
32967	0.16661435740259783	-0.44054602825545358	-0.0489236	0.165045
33966	0.16286438103520109	-0.43724229260556013	-0.0514624	0.170043
34965	0.15920347378947658	-0.43384038966513955	-0.0540762	0.17504
35964	0.15563397064212176	-0.43034294318165073	-0.0567644	0.180038
36963	0.15215775237953111	-0.42675298492108715	-0.0595263	0.185035
37962	0.1487762228154845	-0.42307389902476844	-0.0623608	0.190032
38961	0.14549029880972217	-0.4193093601144624	-0.0652668	0.195029
39960	0.14230041293742143	-0.41546326801352812	-0.0682432	0.200026
40959	0.13920652793374139	-0.41153968191492679	-0.0712886	0.205023
41958	0.13620816144348782	-0.40754275657469174	-0.0744019	0.21002
42957	0.13330441918834138	-0.4034766826935216	-0.0775817	0.215016
43956	0.13049403443966304	-0.39934563313381927	-0.0808268	0.220013
44955	0.12777541164459399	-0.39515371606979893	-0.0841362	0.225009
45954	0.12514667216814931	-0.39090493564051454	-0.0875086	0.230006
46953	0.12260570034406064	-0.38660316021155655	-0.0909433	0.235002
47952	0.12015018832855369	-0.38225209797593152	-0.0944394	0.239998
48951	0.11777767858351734	-0.37785527934789637	-0.0979963	0.244994
49950	0.11548560314527598	-0.37341604542258433	-0.101613	0.24999
50949	0.11327131913829476	-0.36893754167804493	-0.105291	0.254986
51948	0.11113214025465264	-0.36442271606897658	-0.109027	0.259982
52947	0.10906536413302707	-0.35987432068596281	-0.112824	0.264978
53946	0.10706829573445416	-0.35529491621402448	-0.11668	0.269974
54945	0.10513826692969297	-0.35068687850575997	-0.120596	0.27497
55944	0.10327265259054612	-0.34605240667592713	-0.124573	0.279966
56943	0.10146888352202457	-0.34139353221768393	-0.128611	0.284962
57942	0.099724456590906382	-0.33671212873005812	-0.13271	0.289958
58941	0.098036942405628463	-0.33200992192790457	-0.136873	0.294954
59940	0.096403990888301483	-0.32728849967781948	-0.141099	0.29995
60939	0.094823335056621244	-0.32254932186547469	-0.14539	0.304946
61938	0.093292793305304059	-0.31779372995176941	-0.149747	0.309942
62937	0.091810270446158651	-0.31302295611783165	-0.154171	0.314937
63936	0.090373757735035976	-0.30823813193314453	-0.158665	0.319933
64935	0.08898133208406396	-0.30344029650807663	-0.16323	0.324929
65934	0.087631154629634292	-0.2986304041129289	-0.167868	0.329925
66933	0.086321468801070389	-0.29380933126134129	-0.172581	0.334921
67932	0.085050598012002765	-0.28897788326748408	-0.177371	0.339916
68931	0.083816943076255715	-0.28413680029466942	-0.18224	0.344912
69930	0.08261897943239746	-0.27928676291860538	-0.187192	0.349908
70929	0.081455254245884831	-0.27442839723206647	-0.192228	0.354904
71928	0.080324383444711656	-0.26956227951970024	-0.197351	0.3599
72927	0.079225048733431336	-0.26468894053248865	-0.202566	0.364895
73926	0.078155994621132541	-0.25980886939132203	-0.207874	0.369891
74925	0.077116025491174509	-0.25492251714841224	-0.21328	0.374887
75924	0.076104002734040013	-0.25003030003419541	-0.218787	0.379883
76923	0.075118841959336616	-0.2451326024159419	-0.224399	0.384879
77922	0.074159510298611245	-0.24022977949273966	-0.230121	0.389874
78921	0.073225023807092351	-0.23532215974986437	-0.235957	0.39487
79920	0.072314444969598449	-0.23041004719388392	-0.241911	0.399866
80919	0.071426880313544272	-0.22549372338818491	-0.247989	0.404862
81918	0.070561478130150748	-0.22057344930703515	-0.254197	0.409858
82917	0.069717426303523664	-0.2156494670247503	-0.26054	0.414854
83916	0.068893950246150984	-0.21072200125512452	-0.267024	0.419849
84915	0.068090310938519624	-0.20579126075491949	-0.273657	0.424845
85914	0.067305803069915862	-0.20085743960398447	-0.280446	0.429841
86913	0.066539753277020955	-0.19592071837341477	-0.287398	0.434837
87912	0.065791518476589442	-0.19098126519211261	-0.294522	0.439833
88911	0.065060484288305256	-0.18603923672113815	-0.301827	0.444828
89910	0.064346063543788259	-0.18109477904436666	-0.309323	0.449824
90909	0.063647694877692784	-0.17614802848315886	-0.317021	0.45482
91908	0.062964841396849977	-0.17119911234203217	-0.324932	0.459816
92907	0.062296989423466648	-0.16624814959165357	-0.333069	0.464812
93906	0.061643647308484484	-0.16129525149488322	-0.341445	0.469807
94905	0.061004344311318369	-0.15634052218106265	-0.350077	0.474803
95904	0.060378629542327013	-0.15138405917324887	-0.35898	0.479799
96903	0.059766070964511572	-0.14642595387267326	-0.368172	0.484795
97902	0.059166254451093352	-0.14146629200429933	-0.377674	0.489791
98901	0.058578782895774111	-0.1365051540270216	-0.387508	0.494786
99900	0.058003275372645005	-0.13154261551172308	-0.397699	0.499782
100899	0.057439366342862529	-0.12657874749015458	-0.408275	0.504778
101898	0.056886704905369775	-0.12161361677734336	-0.419266	0.509774
102897	0.056344954089089211	-0.11664728627006266	-0.430706	0.51477
103896	0.055813790184163603	-0.11167981522371064	-0.442637	0.519765
104895	0.055292902109967734	-0.10671125950983831	-0.455102	0.524761
105894	0.054781990817747393	-0.10174167185649283	-0.468153	0.529757
