# Filename: 2Dvpt_K0cFind2_Plot_Op3374_K0.637_y0.025_step1000000.dat
# Source: 2Dvpt_K0cFind2_Plot.c
# Source version: 1 (2012 Jun 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=7, OpC=4, B=124.025106721199264825, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.636619772367581382433, y=0.0250000000000000013878, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.63661977236758138	0.025000000000000001	0	0
1	0.63661977236758138	0.025000000000000001	2.07519e-317	0
2	0.63662977055054948	0.025000000006247601	-7.95618e-06	9.99818e-06
3	0.63663976873345507	0.025000000024989873	-1.59121e-05	1.99964e-05
4	0.63664976691629815	0.025000000056226032	-2.38678e-05	2.99945e-05
5	0.63665976509907873	0.025000000099955292	-3.18232e-05	3.99927e-05
6	0.63666976328179681	0.025000000156176871	-3.97784e-05	4.99909e-05
7	0.63667976146445227	0.025000000224889983	-4.77333e-05	5.99891e-05
8	0.63668975964704522	0.025000000306093843	-5.5688e-05	6.99873e-05
9	0.63669975782957555	0.025000000399787663	-6.36424e-05	7.99855e-05
10	0.63670975601204327	0.025000000505970663	-7.15966e-05	8.99836e-05
999	0.6465979252454116	0.025006094932615665	-0.00781719	0.00997816
1998	0.65658599896092851	0.025023909307141771	-0.0154006	0.0199662
2997	0.66657398260700829	0.025052737603844123	-0.0227498	0.0299543
3996	0.6765618656279816	0.025091921198632849	-0.0298722	0.0399422
4995	0.68654963932272339	0.025140844739682405	-0.0367752	0.0499301
5994	0.69653729657538466	0.025198932840575124	-0.0434659	0.059918
6993	0.70652483162421609	0.025265647063877714	-0.0499513	0.0699057
7992	0.71651223986291801	0.025340483166392872	-0.0562382	0.0798934
8991	0.7264995176698521	0.025422968580479561	-0.0623331	0.089881
9990	0.73648666226108139	0.025512660108611113	-0.0682427	0.0998686
10989	0.74647367156391042	0.025609141810788879	-0.0739731	0.109856
11988	0.75646054410797614	0.02571202306658895	-0.0795304	0.119843
12987	0.76644727893147302	0.025820936795532289	-0.0849206	0.129831
13986	0.77643387550037513	0.025935537821160756	-0.0901493	0.139818
14985	0.78642033363886354	0.026055501365701058	-0.0952222	0.149805
15984	0.79640665346943063	0.026180521663529677	-0.100145	0.159792
16983	0.80639283536131789	0.026310310682837679	-0.104922	0.169779
17982	0.81637887988614599	0.026444596945944383	-0.109559	0.179766
18981	0.82636478777978639	0.026583124439649917	-0.11406	0.189753
19980	0.83635055990960239	0.02672565160785275	-0.118431	0.19974
20979	0.84633619724634845	0.026871950419405335	-0.122675	0.209727
21978	0.85632170084010406	0.027021805504852031	-0.126798	0.219713
22977	0.86630707179968836	0.027175013356289905	-0.130803	0.2297
23976	0.87629231127510776	0.02733138158513038	-0.134695	0.239686
24975	0.88627742044260815	0.027490728233023381	-0.138477	0.249673
25974	0.89626240049199835	0.027652881131634631	-0.142153	0.259659
26973	0.90624725261593631	0.027817677307360286	-0.145726	0.269645
27972	0.91623197800091594	0.027984962427409988	-0.149201	0.279631
28971	0.92621657781972144	0.028154590284008352	-0.152581	0.289617
29970	0.93620105322515046	0.028326422313747449	-0.155869	0.299603
30969	0.94618540534485795	0.028500327149382838	-0.159067	0.309589
31968	0.95616963527711485	0.028676180201596894	-0.16218	0.319575
32967	0.96615374408742694	0.028853863268464893	-0.165209	0.329561
33966	0.97613773280582361	0.029033264170550098	-0.168158	0.339546
34965	0.98612160242478286	0.029214276409727444	-0.17103	0.349532
35964	0.99610535389766075	0.029396798849992523	-0.173826	0.359517
36963	1.0060889881375921	0.029580735418655833	-0.17655	0.369502
37962	1.016072506016733	0.029765994826452653	-0.179204	0.379488
38961	 1.02605590836588	0.029952490305215296	-0.18179	0.389473
39960	1.0360391959743291	0.030140139361865059	-0.18431	0.399458
40959	1.0460223695899846	0.030328863547578057	-0.186766	0.409443
41958	1.0560054299196653	0.030518588241068477	-0.189162	0.419428
42957	1.0659883776295789	0.030709242445015727	-0.191497	0.429413
43956	1.075971213345932	0.030900758594736958	-0.193775	0.439397
44955	1.0859539376556264	0.031093072378273821	-0.195998	0.449382
45954	1.095936551107106	0.031286122567126852	-0.198166	0.459366
46953	1.1059190542112221	0.031479850856926894	-0.200282	0.469351
47952	1.1159014474421953	0.031674201717387156	-0.202348	0.479335
48951	1.1258837312385905	0.031869122250926613	-0.204364	0.489319
49950	1.1358659060043359	0.032064562059401093	-0.206333	0.499303
50949	1.1458479721097792	0.032260473118418606	-0.208256	0.509287
51948	1.1558299298927519	0.032456809658753853	-0.210134	0.519271
52947	1.1658117796596223	0.032653528054410574	-0.211968	0.529255
53946	1.175793521686366	0.032850586716912586	-0.213761	0.539239
54945	1.1857751562196301	0.033047945995434924	-0.215513	0.549222
55944	1.1957566834777869	0.033245568082411754	-0.217225	0.559206
56943	1.2057381036519712	0.033443416924285117	-0.218899	0.569189
57942	1.2157194169071117	0.033641458137077598	-0.220536	0.579172
58941	1.2257006233829157	0.033839658926500253	-0.222137	0.589155
59940	1.2356817231948838	0.034037988012318596	-0.223703	0.599139
60939	1.2456627164352418	0.034236415556725283	-0.225234	0.609121
61938	1.255643603173906	0.034434913096480099	-0.226733	0.619104
62937	1.2656243834593781	0.034633453478594776	-0.228199	0.629087
63936	1.2756050573196465	0.034832010799357209	-0.229634	0.63907
64935	1.2855856247630415	0.035030560346499609	-0.231039	0.649052
65934	1.2955660857790774	0.035229078544329072	-0.232414	0.659035
66933	1.3055464403392596	0.035427542901651746	-0.233761	0.669017
67932	1.3155266883978691	0.035625931962331291	-0.23508	0.678999
68931	1.3255068298927284	0.035824225258332287	-0.236371	0.688981
69930	1.3354868647459199	0.036022403265109575	-0.237637	0.698963
70929	1.345466792864507	0.036220447359213426	-0.238877	0.708945
71928	1.3554466141412083	0.036418339777985399	-0.240091	0.718927
72927	1.3654263284550612	0.036616063581233017	-0.241282	0.728909
73926	1.3754059356720503	0.036813602614772498	-0.242449	0.73889
74925	1.3853854356457249	0.037010941475739481	-0.243593	0.748872
75924	1.3953648282177669	0.037208065479571735	-0.244715	0.758853
76923	1.4053441132185889	0.037404960628574208	-0.245815	0.768834
77922	1.4153232904678439	0.037601613581982267	-0.246893	0.778815
78921	1.4253023597749621	0.037798011627443916	-0.247951	0.788796
79920	1.4352813209396544	0.037994142653845035	-0.248989	0.798777
80919	1.4452601737523885	0.03818999512540984	-0.250007	0.808758
81918	1.4552389179948622	0.038385558057007413	-0.251006	0.818739
82917	1.4652175534404279	0.038580820990603698	-0.251987	0.828719
83916	1.4751960798545345	0.038775773972799986	-0.252949	0.8387
84915	1.4851744969951348	0.038970407533401835	-0.253894	0.84868
85914	1.4951528046130669	0.039164712664965878	-0.254821	0.85866
86913	1.5051310024524427	0.039358680803275953	-0.255732	0.86864
87912	1.5151090902510032	0.039552303808701374	-0.256626	0.87862
88911	1.5250870677404598	0.039745573948393294	-0.257504	0.8886
89910	1.5350649346468304	0.039938483879278099	-0.258367	0.89858
90909	1.5450426906907562	0.040131026631806808	-0.259214	0.908559
91908	1.5550203355878034	0.040323195594425688	-0.260047	0.918539
92907	1.5649978690487607	0.040514984498731435	-0.260864	0.928518
93906	1.5749752907798997	0.040706387405278086	-0.261668	0.938498
94905	1.5849526004832688	0.04089739869000341	-0.262458	0.948477
95904	1.5949297978569337	0.041088013031245853	-0.263234	0.958456
96903	1.6049068825952124	0.041278225397324439	-0.263997	0.968435
97902	1.6148838543889321	0.041468031034652915	-0.264748	0.978413
98901	1.6248607129256287	0.041657425456364645	-0.265485	0.988392
99900	1.6348374578897877	0.041846404431423338	-0.26621	0.998371
100899	1.6448140889630243	0.042034963974196662	-0.266924	1.00835
101898	1.6547906058242883	0.04222310033447238	-0.267625	1.01833
102897	1.6647670081500654	0.042410809987895148	-0.268315	1.02831
103896	1.6747432956145338	0.042598089626804822	-0.268994	1.03828
104895	1.6847194678897515	0.042784936151459042	-0.269662	1.04826
105894	1.6946955246458189	0.042971346661620967	-0.270319	1.05824
106893	1.7046714655510256	0.043157318448496282	-0.270965	1.06822
107892	1.7146472902720029	0.043342848987003926	-0.271602	1.07819
108891	1.7246229984738914	0.043527935928364785	-0.272228	1.08817
109890	1.7345985898204286	0.043712577092995135	-0.272844	1.09815
110889	1.7445740639741338	0.043896770463689748	-0.273451	1.10813
111888	1.7545494205963854	0.044080514179084193	-0.274048	1.1181
112887	1.7645246593475821	0.044263806527380441	-0.274636	1.12808
113886	1.7744997798872169	0.044446645940328024	-0.275216	1.13806
114885	1.7844747818740245	0.04462903098744693	-0.275786	1.14803
115884	1.7944496649660535	0.044810960370482801	-0.276347	1.15801
116883	 1.80442442882078	0.044992432918083872	-0.276901	1.16799
117882	1.8143990730952064	0.045173447580690709	-0.277446	1.17796
118881	1.824373597445937	0.045354003425628571	-0.277982	1.18794
119880	1.8343480015292757	0.045534099632394499	-0.278511	1.19792
120879	1.8443222850013068	0.045713735488131603	-0.279032	1.20789
121878	1.8542964475179631	0.04589291038327982	-0.279546	1.21787
