l	K	y

# DK0 = 2.5	(data set 1)
0	5	1.92404e-11

# DK0 = 0.0390625	(data set 2)
0	1.17188	0.00307955
0.0333	1.12677	0.00284928
0.0666	1.09137	0.00267108
0.0999	1.06293	0.00253028
0.1332	1.03965	0.00241727
0.1665	1.0203	0.00232547
0.1998	1.00402	0.00225025
0.2331	0.990171	0.00218644
0.2664	0.978361	0.00212752
0.2997	0.968322	0.00207259
0.333	0.959832	0.0020211
0.3663	0.952712	0.00197259
0.3996	0.946812	0.00192664
0.4329	0.942008	0.00188291
0.4662	0.938196	0.00184108
0.4995	0.935291	0.00180088
0.5328	0.933219	0.00176207
0.5661	0.93192	0.00172443
0.5994	0.931342	0.00168778
0.6327	0.931443	0.00165196
0.666	0.932188	0.00161682
0.6993	0.933546	0.00158222
0.7326	0.935495	0.00154807
0.7659	0.938014	0.00151426
0.7992	0.94109	0.00148071
0.8325	0.94471	0.00144735
0.8658	0.948867	0.0014141
0.8991	0.953557	0.00138094
0.9324	0.958776	0.0013478
0.9657	0.964526	0.00131465
0.999	0.970809	0.00128148
1.0323	0.97763	0.00124826
1.0656	0.984996	0.00121498
1.0989	0.992916	0.00118165
1.1322	1.0014	0.00114823
1.1655	1.01047	0.0011133
1.1988	1.0202	0.00107611
1.2321	1.03063	0.00103672
1.2654	1.04186	0.000995223
1.2987	1.05393	0.00095174
1.332	1.06695	0.000906414
1.3653	1.08098	0.000859422
1.3986	1.0961	0.000810972
1.4319	1.11242	0.000761313
1.4652	1.13001	0.000710725
1.4985	1.14897	0.000659528
1.5318	1.16939	0.000608071
1.5651	1.19139	0.000556736
1.5984	1.21504	0.000505927
1.6317	1.24046	0.000456063
1.665	1.26773	0.000407571
1.6983	1.29696	0.00036087
1.7316	1.32823	0.00031636
1.7649	1.36162	0.000274409
1.7982	1.39722	0.000235338
1.8315	1.43509	0.000199408
1.8648	1.47529	0.000166811
1.8981	1.51786	0.000137657
1.9314	1.56285	0.000111976
1.9647	1.61028	8.97129e-05
1.998	1.66017	7.07359e-05
2.0313	1.71253	5.48438e-05
2.0646	1.76736	4.17798e-05
2.0979	1.82466	3.12465e-05
2.1312	1.88444	2.29235e-05
2.1645	1.94669	1.64836e-05
2.1978	2.01142	1.16081e-05
2.2311	2.07865	7.99929e-06
2.2644	2.1484	5.38973e-06
2.2977	2.22069	3.5477e-06
2.331	2.29556	2.27942e-06
2.3643	2.37308	1.42833e-06
2.3976	2.45329	8.72115e-07
2.4309	2.53626	5.18412e-07
2.4642	2.62209	2.99731e-07
2.4975	2.71084	1.68395e-07
2.5308	2.80261	9.18427e-08
2.5641	2.89749	4.85781e-08
2.5974	2.9956	2.48923e-08
2.6307	3.09703	1.23438e-08
2.664	3.20189	5.91716e-09
2.6973	3.31031	2.73878e-09
2.7306	3.4224	1.22255e-09
2.7639	3.53828	5.25661e-10
2.7972	3.65809	2.17434e-10
2.8305	3.78196	8.6409e-11
2.8638	3.91002	3.29469e-11
2.8971	4.04241	1.2036e-11
2.9304	4.17929	4.20664e-12
2.9637	4.3208	1.4045e-12
2.997	4.46711	4.4727e-13
3.0303	4.61837	1.35639e-13
3.0636	4.77475	3.9106e-14
3.0969	4.93642	1.07006e-14

# DK0 = 0.000610352	(data set 3)
0	1.15112	0.00341163
0.0333	1.09972	0.00318152
0.0666	1.05882	0.00301195
0.0999	1.02527	0.00288631
0.1332	0.99704	0.00279391
0.1665	0.972805	0.00271848
0.1998	0.951808	0.00265151
0.2331	0.933498	0.00259189
0.2664	0.917439	0.00253869
0.2997	0.903284	0.00249112
0.333	0.890752	0.0024485
0.3663	0.879612	0.00241023
0.3996	0.869675	0.00237581
0.4329	0.860782	0.00234482
0.4662	0.852801	0.00231688
0.4995	0.845619	0.00229165
0.5328	0.839141	0.00226885
0.5661	0.833285	0.00224823
0.5994	0.82798	0.00222957
0.6327	0.823165	0.00221268
0.666	0.818787	0.00219739
0.6993	0.814799	0.00218354
0.7326	0.81116	0.002171
0.7659	0.807835	0.00215965
0.7992	0.804792	0.00214938
0.8325	0.802001	0.00214011
0.8658	0.799439	0.00213173
0.8991	0.797082	0.00212418
0.9324	0.794911	0.00211739
0.9657	0.792906	0.0021113
0.999	0.791053	0.00210585
1.0323	0.789336	0.002101
1.0656	0.787742	0.00209669
