l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.66237e-24

# DK0 = 0.0390625	(data set 2)
0	0.234375	0.0785117
0.0333	0.236058	0.0829801
0.0666	0.23736	0.0876483
0.0999	0.238265	0.0925367
0.1332	0.23876	0.0976693
0.1665	0.238833	0.103074
0.1998	0.238475	0.108785
0.2331	0.237679	0.11484
0.2664	0.236441	0.121282
0.2997	0.234757	0.128164
0.333	0.232628	0.135544
0.3663	0.230055	0.143491
0.3996	0.227042	0.152082
0.4329	0.223593	0.161408
0.4662	0.219718	0.171575
0.4995	0.215424	0.182703
0.5328	0.210724	0.194933
0.5661	0.20563	0.208429
0.5994	0.200158	0.223383
0.6327	0.194326	0.240017
0.666	0.188152	0.258595
0.6993	0.181659	0.279426
0.7326	0.17487	0.302875
0.7659	0.167813	0.329375
0.7992	0.160518	0.359438
0.8325	0.153015	0.393677
0.8658	0.145342	0.432823
0.8991	0.137534	0.477752
0.9324	0.129633	0.529516
0.9657	0.121682	0.58938
0.999	0.113725	0.658873
1.0323	0.105809	0.739844
1.0656	0.0979819	0.834533
1.0989	0.0902911	0.945658
1.1322	0.0827839	1.07653
1.1655	0.075506	1.23116
1.1988	0.0685004	1.41448
1.2321	0.061806	1.63245
1.2654	0.0554574	1.8924
1.2987	0.0494831	2.20325
1.332	0.0439053	2.57591
1.3653	0.0387392	3.02372
1.3986	0.0339927	3.563
1.4319	0.0296665	4.21368
1.4652	0.0257546	5.00015
1.4985	0.0222449	5.9522
1.5318	0.0191199	7.10627
1.5651	0.0163577	8.50687
1.5984	0.0139333	10.2084
1.6317	0.0118196	12.2773
1.665	0.00998845	14.7949
1.6983	0.0084113	17.8602
1.7316	0.00706036	21.5945
1.7649	0.00590902	26.1457
1.7982	0.00493231	31.6944
1.8315	0.00410721	38.4615
1.8648	0.00341283	46.7165
1.8981	0.00283045	56.7884
1.9314	0.0023435	69.0791
1.9647	0.00193744	84.0796
1.998	0.00159965	102.389
2.0313	0.00131924	124.739
2.0646	0.0010869	152.025
2.0979	0.000894709	185.336
2.1312	0.000735947	226.006
2.1645	0.000604963	275.663
2.1978	0.000497014	336.294
2.2311	0.000408131	410.327
2.2644	0.000335004	500.724
2.2977	0.000274883	611.106
2.331	0.000225483	745.891
2.3643	0.000184913	910.478
2.3976	0.000151609	1111.46
2.4309	0.00012428	1356.88
2.4642	0.000101861	1656.57
2.4975	8.34747e-05	2022.53
2.5308	6.83994e-05	2469.41
2.5641	5.60413e-05	3015.13
2.5974	4.59122e-05	3681.52
2.6307	3.76112e-05	4495.29
2.664	3.08092e-05	5489.02
2.6973	2.52361e-05	6702.51
2.7306	2.06703e-05	8184.37
2.7639	1.69299e-05	9993.96
2.7972	1.3866e-05	12203.7
2.8305	1.13563e-05	14902.2
2.8638	9.30061e-06	18197.5
2.8971	7.61692e-06	22221.5
2.9304	6.23794e-06	27135.5
2.9637	5.10854e-06	33136.2
2.997	4.18358e-06	40464.1
3.0303	3.42607e-06	49412.5
3.0636	2.80569e-06	60340
3.0969	2.29764e-06	73684.1
3.1302	1.88157e-06	89979.5
3.1635	1.54084e-06	109879
3.1968	1.26181e-06	134179
3.2301	1.03331e-06	163853
3.2634	8.4618e-07	200090
3.2967	6.9294e-07	244341
3.33	5.6745e-07	298378
3.3633	4.64685e-07	364366
3.3966	3.8053e-07	444949
3.4299	3.11616e-07	543352
3.4632	2.55182e-07	663518
3.4965	2.08968e-07	810261
3.5298	1.71123e-07	989456
3.5631	1.40132e-07	1.20828e+06
3.5964	1.14754e-07	1.4755e+06
3.6297	9.39712e-08	1.80182e+06
3.663	7.69526e-08	2.20031e+06
3.6963	6.30161e-08	2.68693e+06
3.7296	5.16036e-08	3.28116e+06
3.7629	4.2258e-08	4.00682e+06
3.7962	3.46048e-08	4.89296e+06
3.8295	2.83377e-08	5.97508e+06
3.8628	2.32056e-08	7.29652e+06
3.8961	1.9003e-08	8.91021e+06
3.9294	1.55614e-08	1.08808e+07
3.9627	1.27432e-08	1.32871e+07
3.996	1.04353e-08	1.62257e+07
4.0293	8.54542e-09	1.98142e+07
4.0626	6.9978e-09	2.41962e+07
4.0959	5.73046e-09	2.95474e+07
4.1292	4.69264e-09	3.60821e+07
4.1625	3.84278e-09	4.4062e+07
4.1958	3.14683e-09	5.38066e+07
