# Filename: 3Dvlt_K0cFind3_Plot_2114Op_Cc1.10.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=2, OpAa=1, OpB=1, OpC=4, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-17, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387508189712343409372, y=0.0624210054576019024442, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=-2.48878567955778740028, initialKdir=-1, flowdir=-1, Max_steps=100000
# Initialized values: Deltas=0.110177, Deltal=-3.94362, count_steps=0, count_loops=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=1.1
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.38750818971234341	0.062421005457601902	-3.94362	0.110177
1	0.38749846543818617	0.062418673400116684	-3.94362	0.110187
2	0.38749846301781865	0.062418672819662506	-3.94372	0.110187
3	0.38749846059684873	0.06241867223906386	-3.94382	0.110187
4	0.38749845817527623	0.062418671658320705	-3.94392	0.110187
5	0.38749845575310105	0.062418671077433006	-3.94402	0.110187
6	0.38749845333032301	0.062418670496400729	-3.94412	0.110187
7	0.38749845090694196	0.062418669915223837	-3.94422	0.110187
8	0.38749844848295772	0.062418669333902298	-3.94432	0.110187
9	0.38749844605837019	0.062418668752436075	-3.94442	0.110187
10	0.3874984436331792	0.062418668170825128	-3.94452	0.110187
999	0.38749572383698871	0.062418015907000787	-4.04342	0.11019
1998	0.3874922053537041	0.06241717209971577	-4.14332	0.110193
2997	0.38748769385798121	0.062416090143739736	-4.24322	0.110198
3996	0.38748190914560604	0.062414702836849058	-4.34312	0.110204
4995	0.38747449197816414	0.062412924020317638	-4.44302	0.110211
5994	0.38746498181178779	0.062410643236148346	-4.54292	0.110221
6993	0.38745278826360846	0.062407718881386791	-4.64282	0.110234
7992	0.38743715456380751	0.062403969438620165	-4.74272	0.11025
8991	0.38741711075656954	0.062399162245095591	-4.84262	0.11027
9990	0.38739141379831116	0.06239299911467279	-4.94252	0.110297
10989	0.38735847092352549	0.062385097939013687	-5.04242	0.110331
11988	0.38731624166817663	0.062374969157289878	-5.14232	0.110374
12987	0.38726211271161476	0.062361985685686523	-5.24222	0.11043
13986	0.38719273816826227	0.062345344525775268	-5.34212	0.110501
14985	0.38710383607407733	0.062324017809767075	-5.44202	0.110593
15984	0.3869899295167778	0.062296690475894333	-5.54192	0.11071
16983	0.38684401811416286	0.062261681086059062	-5.64182	0.11086
17982	0.38665716234838471	0.062216841494469183	-5.74172	0.111052
18981	0.38641795968626635	0.062159430158971664	-5.84162	0.111298
19980	0.38611188766354693	0.062085952893275266	-5.94152	0.111613
20979	0.38572048562962052	0.06199196387623454	-6.04142	0.112015
21978	0.38522034448227582	0.061871818938909771	-6.14132	0.11253
22977	0.38458187395012972	0.061718372859137199	-6.24122	0.113186
23976	0.383767822264451	0.061522613150379053	-6.34112	0.114023
24975	0.38273153729182224	0.061273225521590369	-6.44102	0.115089
25974	0.38141498721049882	0.060956092182273131	-6.54092	0.116444
26973	0.37974661081240174	0.060553735496420895	-6.64082	0.11816
27972	0.37763915301427059	0.060044738933467103	-6.74072	0.120328
28971	0.37498777163510699	0.059403208267698938	-6.84062	0.123056
29970	0.37166888530952502	0.058598382041384255	-6.94052	0.126471
30969	0.36754046604750323	0.057594563368968177	-7.04042	0.130719
31968	0.36244473260772891	0.056351622261484588	-7.14032	0.135965
32967	0.35621439278093281	0.054826395310383143	-7.24022	0.142379
33966	0.34868356502685915	0.05297535629231364	-7.34012	0.150134
34965	0.33985002592331953	0.05079499176798264	-7.43852	0.159233
35964	0.3345590954275911	0.049485009104692279	-7.49068	0.164683
36963	0.32832100192827063	0.047937316216340356	-7.54733	0.17111
37962	0.32095588556127275	0.046106505164500676	-7.60888	0.1787
38961	0.31227617851811224	0.043945770150772202	-7.67571	0.187644
39960	0.30637941956690695	0.042477026014601509	-7.71833	0.193721
40959	0.30102525567433652	0.041143660121681455	-7.75545	0.199239
41757	0.29646935649143541	0.040009482431402718	-7.78604	0.20394
