# Filename: 3Dvlt_K0cFind3_Plot_2114Op_Cc1.20.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=2, OpAa=1, OpB=1, OpC=4, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-17, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387508189712343409372, y=0.0624210054576019024442, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=-2.48878567955778740028, initialKdir=0, flowdir=0, Max_steps=100000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_loops=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=1.2
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.38750818971234341	0.062421005457601902	0	0
1	0.38749846543818617	0.062418673400116684	0	1e-05
2	0.38749846301781865	0.062418672819662506	-0.0001	1.00025e-05
3	0.38749846059684873	0.06241867223906386	-0.0002	1.0005e-05
4	0.38749845817527623	0.062418671658320705	-0.0003	1.00075e-05
5	0.38749845575310105	0.062418671077433006	-0.0004	1.001e-05
6	0.38749845333032301	0.062418670496400729	-0.0005	1.00125e-05
7	0.38749845090694196	0.062418669915223837	-0.0006	1.00149e-05
8	0.38749844848295772	0.062418669333902298	-0.0007	1.00174e-05
9	0.38749844605837019	0.062418668752436075	-0.0008	1.00199e-05
10	0.3874984436331792	0.062418668170825128	-0.0009	1.00224e-05
999	0.38749572383698871	0.062418015907000787	-0.0998	1.28193e-05
1998	0.3874922053537041	0.06241717209971577	-0.1997	1.64376e-05
2997	0.38748769385798121	0.062416090143739736	-0.2996	2.1077e-05
3996	0.38748190914560604	0.062414702836849058	-0.3995	2.70258e-05
4995	0.38747449197816414	0.062412924020317638	-0.4994	3.46532e-05
5994	0.38746498181178779	0.062410643236148346	-0.5993	4.44331e-05
6993	0.38745278826360846	0.062407718881386791	-0.6992	5.69724e-05
7992	0.38743715456380751	0.062403969438620165	-0.7991	7.30494e-05
8991	0.38741711075656954	0.062399162245095591	-0.899	9.36616e-05
9990	0.38739141379831116	0.06239299911467279	-0.9989	0.000120087
10989	0.38735847092352549	0.062385097939013687	-1.0988	0.000153964
11988	0.38731624166817663	0.062374969157289878	-1.1987	0.000197391
12987	0.38726211271161476	0.062361985685686523	-1.2986	0.000253056
13986	0.38719273816826227	0.062345344525775268	-1.3985	0.000324398
14985	0.38710383607407733	0.062324017809767075	-1.4984	0.000415823
15984	0.3869899295167778	0.062296690475894333	-1.5983	0.000532961
16983	0.38684401811416286	0.062261681086059062	-1.6982	0.000683014
17982	0.38665716234838471	0.062216841494469183	-1.7981	0.000875175
18981	0.38641795968626635	0.062159430158971664	-1.898	0.00112117
19980	0.38611188766354693	0.062085952893275266	-1.9979	0.00143594
20979	0.38572048562962052	0.06199196387623454	-2.0978	0.00183847
21978	0.38522034448227582	0.061871818938909771	-2.1977	0.00235284
22977	0.38458187395012972	0.061718372859137199	-2.2976	0.00300949
23976	0.383767822264451	0.061522613150379053	-2.3975	0.00384675
24975	0.38273153729182224	0.061273225521590369	-2.4974	0.00491262
25974	0.38141498721049882	0.060956092182273131	-2.5973	0.00626682
26973	0.37974661081240174	0.060553735496420895	-2.6972	0.00798303
27972	0.37763915301427059	0.060044738933467103	-2.7971	0.0101511
28971	0.37498777163510699	0.059403208267698938	-2.897	0.012879
29970	0.37166888530952502	0.058598382041384255	-2.9969	0.0162941
30969	0.36754046604750323	0.057594563368968177	-3.0968	0.0205428
31968	0.36244473260772891	0.056351622261484588	-3.1967	0.0257879
32967	0.35621439278093281	0.054826395310383143	-3.2966	0.0322022
33966	0.34868356502685915	0.05297535629231364	-3.3965	0.0399572
34965	0.33985002592331953	0.05079499176798264	-3.4949	0.0490558
35964	0.3345590954275911	0.049485009104692279	-3.54707	0.0545065
36963	0.32832100192827063	0.047937316216340356	-3.60371	0.0609337
37962	0.32095588556127275	0.046106505164500676	-3.66526	0.068523
38961	0.31227617851811224	0.043945770150772202	-3.73209	0.0774676
39960	0.30637941956690695	0.042477026014601509	-3.77471	0.0835445
40959	0.30102525567433652	0.041143660121681455	-3.81183	0.0890622
41958	0.29527022582770629	0.039711483587396373	-3.85032	0.0949928
42957	0.28911256679198782	0.038181244376800996	-3.89012	0.101338
43956	0.28256042137195281	0.036556651700385752	-3.93118	0.108088
44254	0.28054495134375529	0.036057470026268593	-3.94362	0.110177
