# Filename: 3Dvlt_K0cFind3_Plot_3341Op.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=4, OpC=1, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-17, dataskipdl=100, dataskipds=999
# Option-dependent values: K=                  7.5, y=0.00200000000000000004163, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=10000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_loops=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.95298e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	              7.5	            0.002	0	0
1	7.5000284855584338	0.0020004293743129588	1e-05	2.84888e-05
2	7.5000569610621914	0.0020008588453567684	2e-05	5.69675e-05
3	7.5000854265088934	0.0020012884131525551	3e-05	8.54362e-05
4	7.5001138818961621	0.0020017180777214491	4e-05	0.000113895
5	7.5001423272216172	0.0020021478390845845	5e-05	0.000142343
6	7.5001707624828784	0.002002577697263099	6e-05	0.000170782
7	7.5001991876775662	0.0020030076522781345	7e-05	0.00019921
8	7.5002276028032995	0.002003437704150836	8e-05	0.000227629
9	7.5002560078576961	0.0020038678529023528	9e-05	0.000256037
10	7.5002844028383757	0.0020042980985538381	0.0001	0.000284435
100	7.5027983987943978	0.0020434196799731801	0.001	0.00279874
200	7.5054938700642904	0.0020878277985562927	0.002	0.00549457
300	7.5080839671078259	0.0021332460441841434	0.003	0.00808507
400	7.5105661969134356	0.0021796964845690724	0.004	0.0105677
500	7.5129380198427143	0.0022272015669978339	0.005	0.01294
600	7.5151968493479639	0.0022757841181780944	0.006	0.0151994
700	7.5173400517269737	0.0023254673436052123	0.007	0.0173432
800	7.5193649459177925	0.0023762748264187701	0.008	0.0193687
900	7.5212688033362785	0.0024282305257173138	0.009	0.0212733
1000	7.5230488477593793	0.0024813587742986407	0.01	0.0230541
1100	7.5247022552571439	0.0025356842757918801	0.011	0.0247084
1200	7.5262261541766078	0.0025912321011465908	0.012	0.0262333
1300	7.5276176251808362	0.00264802768444299	0.013	0.0276259
1400	7.5288737013463836	0.002706096817986467	0.014	0.0288834
1500	7.529991368322702	0.0027654656466484856	0.015	0.0300026
1600	7.530967564556982	0.0028261606614150693	0.016	0.0309807
1700	7.5317991815880569	0.0028882086921031146	0.017	0.0318146
1800	7.5324830644132117	0.0029516368992039336	0.018	0.0325015
1900	7.5330160119315108	0.0030164727648126152	0.019	0.0330384
2000	7.5333947774677847	0.0030827440826011127	0.02	0.033423
2100	7.5336160693810363	0.0031504789467921993	0.021	0.0336548
2200	7.5336765517614639	0.0032197057400910247	0.022	0.0337543
2300	7.5335728452201671	0.0032904531205304043	0.023	0.0338831
2400	7.5333015277756443	0.0033627500071856755	0.024	0.0341642
2500	7.5328591358413775	0.0034366255647147602	0.025	0.0346128
2600	7.5322421653186789	0.0035121091866789017	0.026	0.0352344
2700	7.5314470727990841	0.0035892304775996101	0.027	0.0360332
2800	7.530470276880596	0.0036680192337076221	0.028	0.0370132
2900	7.5293081596019782	0.0037485054223399643	0.029	0.0381781
3000	7.5279570679994059	0.0038307191599418425	0.03	0.0395317
3100	7.5264133157896485	0.0039146906886308478	0.031	0.0410777
3200	7.5246731851839748	0.0040004503512818925	0.032	0.04282
3300	7.5227329288368203	0.0040880285650926086	0.033	0.0447622
3400	 7.52058877193324	0.0041774557935902951	0.034	0.0469082
3500	7.5182369144190178	0.0042687625170433202	0.035	0.0492619
3600	7.5156735333771625	0.0043619792012417977	0.036	0.0518269
3700	7.5128947855543755	0.0044571362646147221	0.037	0.0546073
3800	7.5098968100408525	0.004554264043653289	0.038	0.0576069
3900	7.5066757311066459	0.0046533927566130735	0.039	0.0608295
4000	7.5032276611974762	0.0047545524654709886	0.04	0.064279
4100	7.4995487040926738	0.0048577730361165162	0.041	0.0679594
4200	7.4956349582276189	0.0049630840967606884	0.042	0.0718746
4300	7.4914825201826778	0.0050705149945506466	0.043	0.0760284
4400	7.4870874883403422	0.0051800947503822126	0.044	0.0804248
4500	7.4824459667118086	0.0052918520119080896	0.045	0.0850677
4600	7.4775540689338644	0.0054058150047448733	0.046	0.0899609
4700	7.4724079224363713	0.0055220114818877166	0.047	0.0951084
4800	7.4670036727803613	0.0056404686713480267	0.048	0.100514
4900	7.4613374881659036	0.0057612132220361554	0.049	0.106181
5000	7.455405564108661	0.0058842711479181456	0.05	0.112115
5100	7.4492041282831929	0.0060096677704832135	0.051	0.118317
5200	7.4427294455305839	0.0061374276595663555	0.052	0.124793
5300	7.435977823027212	0.006267574572578931	0.053	0.131546
5400	7.4289456156108526	0.0064001313922086552	0.054	0.13858
5500	7.4216292312594359	0.0065351200626593406	0.055	0.145897
5600	7.4140251367172194	0.0066725615245102118	0.056	0.153503
5700	7.406129863262124	0.0068124756482841418	0.057	0.161399
5800	7.3979400126073527	0.0069548811668240229	0.058	0.16959
5900	7.3894522629294084	0.0070997956065867738	0.059	0.178079
6000	7.380663375013917	0.0072472352179746274	0.06	0.186869
6100	7.3715701985096533	0.0073972149048340107	0.061	0.195964
6200	7.3621696782804129	0.0075497481532627603	0.062	0.205365
6300	7.3524588608433179	0.0077048469598772753	0.063	0.215077
6400	7.3424349008813943	0.0078625217597016323	0.064	0.225103
6500	7.3320950678172885	0.0080227813538514634	0.065	0.235444
6600	7.3214367524340966	0.0081856328371958664	0.066	0.246103
6700	7.310457473528376	0.0083510815261905458	0.067	0.257084
6800	7.2991548845796643	0.0085191308870860311	0.068	0.268388
6900	7.2875267804198209	0.0086897824647236954	0.069	0.280017
7000	7.2755711038848405	0.0088630358121420932	0.07	0.291974
7100	7.2632859524309294	0.0090388884212245935	0.071	0.30426
7200	7.2506695846959675	0.0092173356546272709	0.072	0.316878
7300	7.2377204269867512	0.0093983706792337626	0.073	0.329828
7400	7.2244370796718576	0.0095819844013901295	0.074	0.343113
7500	7.2108183234593213	0.0097681654041785245	0.075	0.356733
7600	7.1968631255379814	0.0099568998869936417	0.076	0.37069
7700	7.1825706455607268	0.010148171607689275	0.077	0.384983
7800	7.1679402414478943	0.01034196182756528	0.078	0.399615
7900	7.1529714749884228	0.010538249259466559	0.079	0.414585
8000	7.1376641172166515	0.010737010019265926	0.08	0.429894
8100	7.1220181535423039	0.010938217581001542	0.081	0.445541
8200	7.1060337886115486	0.011141842735937022	0.082	0.461527
8300	7.0897114508769787	0.011347853555808439	0.083	0.47785
8400	7.0730517968549238	0.011556215360516464	0.084	0.494511
8500	7.0560557150487311	0.011766890690515484	0.085	0.511509
8600	7.0387243295173372	0.011979839284141954	0.086	0.528841
8700	7.0210590030691291	0.012195018060114813	0.087	0.546508
8800	7.0030613400618842	0.012412381105428166	0.088	0.564507
8900	6.9847331887905124	0.012631879668843325	0.089	0.582836
9000	6.9660766434454118	0.012853462160171971	0.09	0.601494
9100	6.9470940456254899	0.013077074155525692	0.091	0.620478
9200	6.9277879853910402	0.013302658408688724	0.092	0.639786
9300	6.9081613018433066	0.013530154868751303	0.093	0.659414
9400	6.8882170832189367	0.013759500704119841	0.094	0.679359
9500	6.8679586664892254	0.013990630332997947	0.095	0.699619
9600	6.8473896364557847	0.014223475460408749	0.096	0.720189
9700	6.8265138243360655	0.014457965121804252	0.097	0.741066
9800	6.8053353058340331	0.014694025733282304	0.098	0.762246
9900	6.7838583986933614	0.014931581148404949	0.099	0.783724
10000	6.7620876597323365	0.015170552721585394	0.1	0.805496
