# Filename: 3Dvlt_K0cFind3_Plot_Op2112_Cc0.50.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=2, OpAa=1, OpB=1, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-08, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387508189712343409372, y=0.0624210054576019024442, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=-2.48878567955778740028, initialKdir=1, flowdir=-1, Max_steps=3
# Initialized values: Deltas=4.50627, Deltal=-24.2996, count_steps=0, count_loops=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0.5
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.38750818971234341	0.062421005457601902	-24.2996	4.50627
1	0.38751791398650065	0.062423337515087121	-24.2996	4.50628
2	0.38751791640706235	0.06242333809557566	-24.2997	4.50628
3	0.38751791882822662	0.062423338676208695	-24.2998	4.50628
4	0.38751792124999357	0.062423339256986267	-24.2999	4.50628
5	0.38751792367236337	0.062423339837908411	-24.3	4.50628
6	0.3875179260953362	0.062423340418975161	-24.3001	4.50628
7	0.38751792851891215	0.062423341000186552	-24.3002	4.50628
8	0.38751793094309139	0.062423341581542627	-24.3003	4.50628
9	0.3875179333678741	0.062423342163043419	-24.3004	4.50628
10	0.38751793579326038	0.062423342744688956	-24.3005	4.50628
100	0.38751815656872712	0.062423395690094141	-24.3095	4.50628
200	0.38751840774547769	0.062423455926195463	-24.3195	4.50628
300	0.38751866525241802	0.062423517680367344	-24.3295	4.50628
400	0.3875189292490957	0.062423580990870892	-24.3395	4.50628
500	0.38751919989908001	0.062423645896931661	-24.3495	4.50628
600	0.38751947737006442	0.06242371243876401	-24.3595	4.50628
700	0.38751976183396941	0.062423780657596004	-24.3695	4.50628
800	0.38752005346704865	0.062423850595695038	-24.3795	4.50628
900	0.38752035245000033	0.062423922296393895	-24.3895	4.50628
1000	0.38752065896807714	0.062423995804117831	-24.3995	4.50628
1100	0.38752097321120221	0.062424071164411961	-24.4095	4.50628
1200	0.38752129537408636	0.062424148423969414	-24.4195	4.50628
1300	0.3875216256563499	0.062424227630660641	-24.4295	4.50628
1400	0.38752196426264457	0.062424308833562765	-24.4395	4.50628
1500	0.3875223114027822	0.062424392082990103	-24.4495	4.50628
1600	0.38752266729186452	0.062424477430525427	-24.4595	4.50629
1700	0.387523032150415	0.062424564929051941	-24.4695	4.50629
1800	0.38752340620451786	0.062424654632785993	-24.4795	4.50629
1900	0.38752378968595746	0.062424746597310822	-24.4895	4.50629
2000	0.38752418283236117	0.062424840879610956	-24.4995	4.50629
2100	0.38752458588734823	0.062424937538107496	-24.5095	4.50629
2200	0.38752499910068022	0.062425036632694483	-24.5195	4.50629
2300	0.38752542272841495	0.062425138224776064	-24.5295	4.50629
2400	0.38752585703306819	0.062425242377304409	-24.5395	4.50629
2500	0.38752630228377277	0.06242534915481885	-24.5495	4.50629
2600	0.38752675875644854	0.062425458623486009	-24.5595	4.50629
2700	0.38752722673397222	0.062425570851140685	-24.5695	4.50629
2800	0.38752770650635349	0.062425685907328061	-24.5795	4.50629
2900	0.38752819837091412	0.062425803863346729	-24.5895	4.50629
3000	0.38752870263247391	0.062425924792293135	-24.5995	4.50629
3100	0.38752921960353798	0.062426048769106679	-24.6095	4.50629
3200	0.38752974960449249	0.06242617587061635	-24.6195	4.50629
3300	0.38753029296380193	0.062426306175588413	-24.6295	4.50629
3400	0.38753085001821536	0.062426439764775299	-24.6395	4.50629
3500	0.38753142111297184	0.062426576720965528	-24.6495	4.50629
3600	0.38753200660201731	0.062426717129035428	-24.6595	4.50629
3700	0.38753260684822449	0.062426861076001407	-24.6695	4.5063
3800	0.38753322222361675	0.062427008651074312	-24.6795	4.5063
3900	0.3875338531095997	0.062427159945714586	-24.6895	4.5063
4000	0.38753449989719818	0.062427315053689106	-24.6995	4.5063
4100	0.38753516298729879	0.062427474071129446	-24.7095	4.5063
4200	0.38753584279089864	0.062427637096591451	-24.7195	4.5063
4300	0.38753653972936086	0.062427804231116428	-24.7295	4.5063
4400	0.38753725423467639	0.062427975578293965	-24.7395	4.5063
4500	0.38753798674973228	0.062428151244326172	-24.7495	4.5063
4600	0.3875387377285861	0.062428331338093716	-24.7595	4.5063
4700	0.3875395076367486	0.062428515971223258	-24.7695	4.5063
4800	0.38754029695147313	0.062428705258156941	-24.7795	4.5063
4900	0.3875411061620509	0.06242889931622337	-24.7895	4.5063
5000	0.38754193577011636	0.062429098265710505	-24.7995	4.50631
5100	0.38754278628995809	0.062429302229940482	-24.8095	4.50631
5200	0.38754365824883857	0.062429511335345939	-24.8195	4.50631
5300	0.3875445521873222	0.062429725711548804	-24.8295	4.50631
