# Filename: 3Dvlt_K0cFind3_Plot_Op2112_Cc0.80.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=2, OpAa=1, OpB=1, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-08, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387508189712343409372, y=0.0624210054576019024442, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=-2.48878567955778740028, initialKdir=-1, flowdir=-1, Max_steps=3
# Initialized values: Deltas=3.91514, Deltal=-15.0212, count_steps=0, count_loops=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0.8
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.38750818971234341	0.062421005457601902	-15.0212	3.91514
1	0.38749846543818617	0.062418673400116684	-15.0212	3.91515
2	0.38749846301781865	0.062418672819662506	-15.0213	3.91515
3	0.38749846059684873	0.06241867223906386	-15.0214	3.91515
4	0.38749845817527623	0.062418671658320705	-15.0215	3.91515
5	0.38749845575310105	0.062418671077433006	-15.0216	3.91515
6	0.38749845333032301	0.062418670496400729	-15.0217	3.91515
7	0.38749845090694196	0.062418669915223837	-15.0218	3.91515
8	0.38749844848295772	0.062418669333902298	-15.0219	3.91515
9	0.38749844605837019	0.062418668752436075	-15.022	3.91515
10	0.3874984436331792	0.062418668170825128	-15.0221	3.91515
100	0.38749822287586427	0.062418615228653357	-15.0311	3.91515
200	0.38749797172066736	0.062418554996433936	-15.0411	3.91515
300	0.38749771423682206	0.062418493246465992	-15.0511	3.91515
400	0.38749745026487126	0.062418429940507475	-15.0611	3.91515
500	0.38749717964134145	0.062418365039352976	-15.0711	3.91515
600	0.38749690219864064	0.062418298502809423	-15.0811	3.91515
700	0.38749661776495464	0.062418230289671167	-15.0911	3.91515
800	0.38749632616414154	0.062418160357694479	-15.1011	3.91515
900	0.38749602721562243	0.062418088663571479	-15.1111	3.91515
1000	0.38749572073426841	0.062418015162903191	-15.1211	3.91515
1100	0.38749540653028824	0.062417939810172234	-15.1311	3.91515
1200	0.38749508440910924	0.062417862558714649	-15.1411	3.91515
1300	0.38749475417125734	0.062417783360690829	-15.1511	3.91515
1400	0.3874944156122338	0.062417702167056055	-15.1611	3.91515
1500	0.38749406852238921	0.062417618927530234	-15.1711	3.91515
1600	0.38749371268679239	0.06241753359056669	-15.1811	3.91516
1700	0.38749334788509904	0.062417446103320187	-15.1911	3.91516
1800	0.38749297389141402	0.062417356411614375	-15.2011	3.91516
1900	0.38749259047415258	0.062417264459908237	-15.2111	3.91516
2000	0.38749219739589696	0.06241717019126166	-15.2211	3.91516
2100	0.38749179441324894	0.062417073547300306	-15.2311	3.91516
2200	0.38749138127668004	0.062416974468179398	-15.2411	3.91516
2300	0.38749095773037684	0.062416872892546861	-15.2511	3.91516
