# Filename: 3Dvlt_K0cFind3_Plot_Op2122_K0.388_y0.062_step4000000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=2, OpAa=1, OpB=2, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387508189712343409372, y=0.0624210054576019024442, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=-2.48878567955778740028, initialKdir=-1, flowdir=0, Max_steps=4000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.38750818971234341	0.062421005457601902	0	0
1	0.38749846543818617	0.062418673400116684	0	1e-05
2	0.38749846519617653	0.062418673342077763	-1e-05	1.00002e-05
3	0.38749846495416085	0.062418673284037399	-2e-05	1.00005e-05
4	0.38749846471213917	0.062418673225995591	-3e-05	1.00007e-05
5	0.38749846447011144	0.06241867316795234	-4e-05	1.0001e-05
6	0.38749846422807771	0.062418673109907646	-5e-05	1.00012e-05
7	0.38749846398603793	0.062418673051861509	-6e-05	1.00015e-05
8	0.38749846374399216	0.062418672993813921	-7e-05	1.00017e-05
9	0.38749846350194034	0.062418672935764891	-8e-05	1.0002e-05
10	0.38749846325988252	0.062418672877714416	-9e-05	1.00022e-05
100	0.3874984414499914	0.062418667647251493	-0.00099	1.00247e-05
200	0.38749841715941857	0.062418661821869732	-0.00199	1.00496e-05
300	0.38749839280832088	0.062418655981972847	-0.00299	1.00747e-05
400	0.38749836839654739	0.062418650127524608	-0.00399	1.00998e-05
500	0.38749834392394727	0.062418644258488774	-0.00499	1.0125e-05
600	0.38749831939036877	0.062418638374828979	-0.00599	1.01502e-05
700	0.38749829479565995	0.062418632476508834	-0.00699	1.01755e-05
800	0.38749827013966864	0.062418626563491841	-0.00799	1.02008e-05
900	0.38749824542224209	0.062418620635741294	-0.00899	1.02263e-05
1000	0.38749822064322659	0.062418614693220548	-0.00999	1.02517e-05
1100	0.38749819580246986	0.062418608735892792	-0.01099	1.02773e-05
1200	0.38749817089981747	0.062418602763721111	-0.01199	1.03029e-05
1300	0.38749814593511489	0.062418596776668528	-0.01299	1.03286e-05
1400	0.38749812090820845	0.062418590774697982	-0.01399	1.03543e-05
1500	0.38749809581894262	0.06241858475777224	-0.01499	1.03801e-05
1600	0.38749807066716191	0.062418578725854122	-0.01599	1.0406e-05
1700	0.3874980454527106	0.062418572678906249	-0.01699	1.04319e-05
1800	0.38749802017543283	0.062418566616891179	-0.01799	1.04579e-05
1900	0.38749799483517178	0.062418560539771371	-0.01899	1.04839e-05
2000	0.38749796943177078	0.062418554447509149	-0.01999	1.05101e-05
2100	0.38749794396507198	0.06241854834006684	-0.02099	1.05363e-05
2200	0.38749791843491832	0.062418542217406586	-0.02199	1.05625e-05
2300	0.38749789284115127	0.06241853607949048	-0.02299	1.05888e-05
2400	0.3874978671836124	0.062418529926280511	-0.02399	1.06152e-05
2500	0.38749784146214311	0.062418523757738612	-0.02499	1.06417e-05
2600	0.38749781567658398	0.062418517573826521	-0.02599	1.06682e-05
2700	0.38749778982677546	0.062418511374505985	-0.02699	1.06948e-05
2800	0.38749776391255697	0.06241850515973859	-0.02799	1.07214e-05
2900	0.38749773793376846	0.062418498929485852	-0.02899	1.07481e-05
3000	0.38749771189024895	0.062418492683709213	-0.02999	1.07749e-05
3100	0.38749768578183746	0.062418486422369988	-0.03099	1.08018e-05
3200	0.38749765960837163	0.062418480145429354	-0.03199	1.08287e-05
3300	0.38749763336969001	0.062418473852848502	-0.03299	1.08557e-05
3400	0.38749760706562991	0.062418467544588484	-0.03399	1.08827e-05
3500	0.38749758069602841	0.062418461220610157	-0.03499	1.09098e-05
3600	0.38749755426072213	0.062418454880874386	-0.03599	1.0937e-05
3700	0.38749752775954743	0.06241844852534191	-0.03699	1.09643e-05
3800	0.38749750119234044	0.062418442153973387	-0.03799	1.09916e-05
3900	0.38749747455893635	0.062418435766729348	-0.03899	1.1019e-05
4000	0.38749744785917012	0.062418429363570255	-0.03999	1.10464e-05
4100	0.38749742109287616	0.062418422944456445	-0.04099	1.1074e-05
4200	0.38749739425988972	0.062418416509348151	-0.04199	1.11016e-05
4300	0.38749736736004398	0.062418410058205531	-0.04299	1.11292e-05
4400	0.38749734039317274	0.062418403590988665	-0.04399	1.11569e-05
4500	0.38749731335910848	0.062418397107657488	-0.04499	1.11847e-05
