# Filename: 3Dvlt_K0cFind3_Plot_Op2132_K0.388_y0.062_step2000000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=2, OpAa=1, OpB=3, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-12, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387508189712343409372, y=0.0624210054576019024442, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=-2.48878567955778740028, initialKdir=1, flowdir=0, Max_steps=2000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.38750818971234341	0.062421005457601902	0	0
1	0.38751791398650065	0.062423337515087121	0	1e-05
2	0.38751791422852971	0.062423337573129477	-1e-05	1.00002e-05
3	0.38751791447056477	0.062423337631173276	-2e-05	1.00005e-05
4	0.38751791471260588	0.062423337689218518	-3e-05	1.00007e-05
5	0.38751791495465304	0.062423337747265203	-4e-05	1.0001e-05
6	0.3875179151967062	0.062423337805313332	-5e-05	1.00012e-05
7	0.3875179154387654	0.062423337863362911	-6e-05	1.00015e-05
8	0.3875179156808306	0.062423337921413934	-7e-05	1.00017e-05
9	0.38751791592290186	0.062423337979466399	-8e-05	1.0002e-05
10	0.3875179161649791	0.062423338037520308	-9e-05	1.00022e-05
100	0.3875179379766242	0.062423343268293761	-0.00099	1.00247e-05
200	0.38751796226915869	0.06242334909402323	-0.00199	1.00497e-05
300	0.38751798662223214	0.062423354934270786	-0.00299	1.00747e-05
400	0.38751801103599515	0.06242336078907261	-0.00399	1.00998e-05
500	0.38751803551059893	0.062423366658464957	-0.00499	1.0125e-05
600	0.38751806004619521	0.06242337254248416	-0.00599	1.01502e-05
700	0.38751808464293608	0.062423378441166709	-0.00699	1.01755e-05
800	0.3875181093009738	0.062423384354549152	-0.00799	1.02009e-05
900	0.38751813402046131	0.062423390282668127	-0.00899	1.02263e-05
1000	0.38751815880155133	0.062423396225560326	-0.00999	1.02518e-05
1100	0.38751818364439783	0.062423402183262609	-0.01099	1.02773e-05
1200	0.38751820854915453	0.062423408155811835	-0.01199	1.03029e-05
1300	0.3875182335159757	0.062423414143245058	-0.01299	1.03286e-05
1400	0.3875182585450162	0.062423420145599359	-0.01399	1.03543e-05
1500	0.38751828363643126	0.062423426162911917	-0.01499	1.03801e-05
1600	0.3875183087903758	0.062423432195220001	-0.01599	1.0406e-05
1700	0.38751833400700592	0.06242343824256099	-0.01699	1.04319e-05
1800	0.38751835928647776	0.062423444304972327	-0.01799	1.04579e-05
1900	0.38751838462894811	0.062423450382491592	-0.01899	1.0484e-05
2000	0.38751841003457355	0.062423456475156465	-0.01999	1.05101e-05
2100	0.38751843550351223	0.062423462583004671	-0.02099	1.05363e-05
2200	0.38751846103592141	0.062423468706074035	-0.02199	1.05626e-05
2300	0.38751848663195948	0.062423474844402506	-0.02299	1.05889e-05
2400	0.38751851229178469	0.062423480998028108	-0.02399	1.06153e-05
2500	0.38751853801555647	0.062423487166988999	-0.02499	1.06417e-05
2600	0.38751856380343408	0.062423493351323342	-0.02599	1.06682e-05
2700	0.38751858965557767	0.062423499551069503	-0.02699	1.06948e-05
2800	0.38751861557214651	0.062423505766265867	-0.02799	1.07215e-05
2900	0.38751864155330162	0.062423511996950926	-0.02899	1.07482e-05
3000	0.38751866759920384	0.062423518243163265	-0.02999	1.0775e-05
3100	0.38751869371001474	0.062423524504941645	-0.03099	1.08018e-05
3200	0.38751871988589615	0.062423530782324814	-0.03199	1.08287e-05
3300	0.38751874612700993	0.062423537075351698	-0.03299	1.08557e-05
3400	0.38751877243351907	0.06242354338406126	-0.03399	1.08828e-05
3500	0.3875187988055861	0.062423549708492572	-0.03499	1.09099e-05
3600	0.38751882524337444	0.062423556048684839	-0.03599	1.09371e-05
3700	0.3875188517470482	0.062423562404677314	-0.03699	1.09643e-05
3800	0.38751887831677123	0.062423568776509397	-0.03799	1.09917e-05
3900	0.38751890495270863	0.062423575164220611	-0.03899	1.10191e-05
4000	0.38751893165502527	0.062423581567850453	-0.03999	1.10465e-05
4100	0.38751895842388623	0.062423587987438633	-0.04099	1.10741e-05
4200	0.38751898525945777	0.062423594423024892	-0.04199	1.11016e-05
4300	0.38751901216190604	0.062423600874649134	-0.04299	1.11293e-05
4400	0.38751903913139746	0.062423607342351341	-0.04399	1.1157e-05
4500	0.38751906616809945	0.062423613826171571	-0.04499	1.11849e-05
4600	0.38751909327217943	0.062423620326149953	-0.04599	1.12127e-05
4700	0.38751912044380527	0.062423626842326808	-0.04699	1.12407e-05
