# Filename: 3Dvlt_K0cFind3_Plot_Op3341_K0.000_y0.000_step800000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=4, OpC=1, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=1.00000000000000003037e-13, y=1.00000000000000003643e-10, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=800000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.92847e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	            1e-13	            1e-10	0	0
1	1.0000100000500001e-13	1.0000600018000359e-10	1e-05	6.00018e-15
2	1.0000200002000013e-13	1.0001200072002878e-10	2e-05	1.20007e-14
3	1.0000300004500044e-13	1.0001800162009716e-10	3e-05	1.80016e-14
4	1.0000400008000106e-13	1.0002400288023035e-10	4e-05	2.40029e-14
5	1.0000500012500208e-13	1.0003000450044995e-10	5e-05	3.00045e-14
6	1.0000600018000359e-13	1.0003600648077757e-10	6e-05	3.60065e-14
7	1.0000700024500571e-13	1.0004200882123481e-10	7e-05	4.20088e-14
8	1.0000800032000853e-13	1.0004801152184328e-10	8e-05	4.80115e-14
9	1.0000900040501216e-13	1.000540145826246e-10	9e-05	5.40146e-14
10	1.0001000050001668e-13	1.0006001800360037e-10	0.0001	6.0018e-14
100	1.0010005001667085e-13	1.0060180360540464e-10	0.001	6.01804e-13
200	1.0020020013340002e-13	1.0120722888660407e-10	0.002	1.20723e-12
300	1.0030045045033774e-13	1.018162976389738e-10	0.003	1.8163e-12
400	1.0040080106773418e-13	1.0242903178905466e-10	0.004	2.42903e-12
500	1.0050125208594005e-13	1.0304545339534226e-10	0.005	3.04545e-12
600	1.0060180360540646e-13	1.0366558464908087e-10	0.006	3.66558e-12
700	1.0070245572668484e-13	1.0428944787506285e-10	0.007	4.28945e-12
800	1.0080320855042734e-13	1.0491706553243154e-10	0.008	4.91707e-12
900	1.0090406217738674e-13	1.0554846021549036e-10	0.009	5.54846e-12
1000	1.0100501670841676e-13	1.061836546545162e-10	0.01	6.18365e-12
1100	1.0110607224447192e-13	1.0682267171657742e-10	0.011	6.82267e-12
1200	1.0120722888660774e-13	1.0746553440635727e-10	0.012	7.46553e-12
1300	1.0130848673598086e-13	1.0811226586698198e-10	0.013	8.11227e-12
1400	1.0140984589384917e-13	1.0876288938085409e-10	0.014	8.76289e-12
1500	1.0151130646157187e-13	1.0941742837049033e-10	0.015	9.41743e-12
1600	1.0161286854060945e-13	1.1007590639936497e-10	0.016	1.00759e-11
1700	1.0171453223252403e-13	1.1073834717275801e-10	0.017	1.07383e-11
1800	1.0181629763897931e-13	1.1140477453860909e-10	0.018	1.14048e-11
1900	1.0191816486174081e-13	1.1207521248837531e-10	0.019	1.20752e-11
2000	1.0202013400267562e-13	1.1274968515789519e-10	0.02	1.27497e-11
2100	1.0212220516375291e-13	1.1342821682825775e-10	0.021	1.34282e-11
2200	1.0222437844704384e-13	1.1411083192667633e-10	0.022	1.41108e-11
2300	1.0232665395472172e-13	1.1479755502736819e-10	0.023	1.47976e-11
2400	1.0242903178906214e-13	1.1548841085243923e-10	0.024	1.54884e-11
2500	1.0253151205244285e-13	1.1618342427277363e-10	0.025	1.61834e-11
2600	1.0263409484734416e-13	1.168826203089297e-10	0.026	1.68826e-11
2700	1.0273678027634899e-13	1.1758602413204032e-10	0.027	1.7586e-11
2800	1.0283956844214252e-13	1.1829366106471879e-10	0.028	1.82937e-11
2900	1.029424594475131e-13	1.1900555658197133e-10	0.029	1.90056e-11
3000	1.0304545339535167e-13	1.1972173631211333e-10	0.03	1.97217e-11
3100	1.0314855038865225e-13	1.2044222603769238e-10	0.031	2.04422e-11
3200	1.0325175053051183e-13	1.2116705169641674e-10	0.032	2.11671e-11
3300	1.0335505392413063e-13	1.2189623938208824e-10	0.033	2.18962e-11
3400	1.0345846067281195e-13	1.2262981534554216e-10	0.034	2.26298e-11
3500	1.0356197087996248e-13	1.2336780599559252e-10	0.035	2.33678e-11
3600	1.036655846490925e-13	1.2411023789998246e-10	0.036	2.41102e-11
3700	1.0376930208381589e-13	1.2485713778634073e-10	0.037	2.48571e-11
3800	1.0387312328784993e-13	1.2560853254314393e-10	0.038	2.56085e-11
3900	1.0397704836501595e-13	1.2636444922068421e-10	0.039	2.63644e-11
4000	1.04081077419239e-13	1.2712491503204384e-10	0.04	2.71249e-11
4100	1.0418521055454816e-13	1.278899573540741e-10	0.041	2.789e-11
4200	1.0428944787507652e-13	1.2865960372838116e-10	0.042	2.86596e-11
4300	1.0439378948506151e-13	1.2943388186231774e-10	0.043	2.94339e-11
4400	1.0449823548884466e-13	1.3021281962998028e-10	0.044	3.02128e-11
4500	1.04602785990872e-13	1.3099644507321254e-10	0.045	3.09964e-11
4600	1.0470744109569404e-13	1.317847864026147e-10	0.046	3.17848e-11
4700	1.0481220090796587e-13	1.3257787199856025e-10	0.047	3.25779e-11
4800	1.0491706553244735e-13	1.3337573041221598e-10	0.048	3.33757e-11
4900	1.050220350740031e-13	1.3417839036657128e-10	0.049	3.41784e-11
5000	1.0512710963760271e-13	1.3498588075747086e-10	0.05	3.49859e-11
5100	1.0523228932832086e-13	1.3579823065465636e-10	0.051	3.57982e-11
5200	1.0533757425133691e-13	1.3661546930281152e-10	0.052	3.66155e-11
5300	1.0544296451193598e-13	1.3743762612261599e-10	0.053	3.74376e-11
5400	1.0554846021550837e-13	1.3826473071180432e-10	0.054	3.82647e-11
5500	1.0565406146754975e-13	1.390968128462309e-10	0.055	3.90968e-11
5600	1.0575976837366147e-13	1.3993390248094227e-10	0.056	3.99339e-11
5700	1.0586558103955038e-13	1.4077602975125575e-10	0.057	4.0776e-11
5800	1.0597149957102909e-13	1.416232249738441e-10	0.058	4.16232e-11
5900	1.0607752407401625e-13	1.4247551864782683e-10	0.059	4.24755e-11
6000	1.0618365465453634e-13	1.4333294145586812e-10	0.06	4.33329e-11
6100	1.0628989141871994e-13	1.4419552426528195e-10	0.061	4.41955e-11
6200	1.063962344728038e-13	1.4506329812914227e-10	0.062	4.50633e-11
6300	1.0650268392313095e-13	1.4593629428740205e-10	0.063	4.59363e-11
6400	1.0660923987615093e-13	1.4681454416801744e-10	0.064	4.68145e-11
6500	1.0671590243841964e-13	1.4769807938807866e-10	0.065	4.76981e-11
6600	1.0682267171659963e-13	1.4858693175494936e-10	0.066	4.85869e-11
6700	1.0692954781746034e-13	1.4948113326741047e-10	0.067	4.94811e-11
6800	1.0703653084787771e-13	1.5038071611681328e-10	0.068	5.03807e-11
6900	1.0714362091483491e-13	1.5128571268823741e-10	0.069	5.12857e-11
7000	1.0725081812542189e-13	1.5219615556165707e-10	0.07	5.21962e-11
7100	1.0735812258683604e-13	1.5311207751311418e-10	0.071	5.31121e-11
7200	1.0746553440638165e-13	1.5403351151589771e-10	0.072	5.40335e-11
7300	1.075730536914706e-13	1.549604907417316e-10	0.073	5.49605e-11
7400	1.0768068054962228e-13	1.5589304856196779e-10	0.074	5.5893e-11
7500	1.0778841508846339e-13	1.568312185487888e-10	0.075	5.68312e-11
7600	1.0789625741572864e-13	1.5777503447641518e-10	0.076	5.7775e-11
7700	1.0800420763926025e-13	1.5872453032232234e-10	0.077	5.87245e-11
7800	1.0811226586700855e-13	1.5967974026846345e-10	0.078	5.96797e-11
7900	1.0822043220703165e-13	1.6064069870249968e-10	0.079	6.06407e-11
8000	1.0832870676749609e-13	1.6160744021903817e-10	0.08	6.16074e-11
8100	1.0843708965667622e-13	1.6257999962087823e-10	0.081	6.258e-11
8200	1.0854558098295508e-13	1.6355841192026324e-10	0.082	6.35584e-11
8300	1.0865418085482397e-13	1.6454271234014158e-10	0.083	6.45427e-11
8400	1.0876288938088281e-13	1.6553293631543476e-10	0.084	6.55329e-11
8500	1.0887170666984006e-13	1.6652911949431288e-10	0.085	6.65291e-11
8600	1.0898063283051302e-13	1.6753129773947789e-10	0.086	6.75313e-11
8700	1.0908966797182791e-13	1.6853950712945498e-10	0.087	6.85395e-11
8800	1.0919881220281989e-13	1.6955378395989093e-10	0.088	6.95538e-11
8900	1.0930806563263313e-13	1.7057416474486116e-10	0.089	7.05742e-11
9000	1.0941742837052109e-13	1.7160068621818432e-10	0.09	7.16007e-11
9100	1.0952690052584661e-13	1.7263338533474395e-10	0.091	7.26334e-11
9200	1.0963648220808173e-13	1.7367229927182015e-10	0.092	7.36723e-11
9300	1.0974617352680822e-13	1.7471746543042666e-10	0.093	7.47175e-11
9400	1.0985597459171741e-13	1.7576892143665812e-10	0.094	7.57689e-11
9500	1.0996588551261034e-13	1.7682670514304445e-10	0.095	7.68267e-11
9600	1.1007590639939798e-13	1.7789085462991317e-10	0.096	7.78909e-11
9700	1.1018603736210111e-13	1.7896140820676078e-10	0.097	7.89614e-11
9800	1.1029627851085082e-13	1.800384044136316e-10	0.098	8.00384e-11
9900	1.1040662995588827e-13	1.811218820225055e-10	0.099	8.11219e-11
10000	1.1051709180756483e-13	1.8221188003869319e-10	0.1	8.22119e-11
10100	1.1062766417634242e-13	1.8330843770224137e-10	0.101	8.33084e-11
10200	1.1073834717279342e-13	1.8441159448934401e-10	0.102	8.44116e-11
10300	1.1084914090760076e-13	1.8552139011376464e-10	0.103	8.55214e-11
10400	1.1096004549155835e-13	1.8663786452826571e-10	0.104	8.66379e-11
10500	1.1107106103557053e-13	1.877610579260466e-10	0.105	8.77611e-11
10600	1.111821876506531e-13	1.8889101074219091e-10	0.106	8.8891e-11
10700	1.1129342544793256e-13	1.9002776365512229e-10	0.107	9.00278e-11
10800	1.1140477453864674e-13	1.9117135758806813e-10	0.108	9.11714e-11
10900	1.1151623503414476e-13	1.9232183371053365e-10	0.109	9.23218e-11
11000	1.1162780704588717e-13	1.9347923343978335e-10	0.11	9.34792e-11
11100	1.1173949068544584e-13	1.9464359844233275e-10	0.111	9.46436e-11
11200	1.1185128606450451e-13	1.9581497063544755e-10	0.112	9.5815e-11
11300	1.1196319329485861e-13	1.969933921886532e-10	0.113	9.69934e-11
11400	1.1207521248841531e-13	1.9817890552525301e-10	0.114	9.81789e-11
11500	1.1218734375719379e-13	1.9937155332385493e-10	0.115	9.93716e-11
11600	1.1229958721332545e-13	2.005713785199087e-10	0.116	1.00571e-10
11700	1.1241194296905374e-13	2.0177842430725073e-10	0.117	1.01778e-10
11800	1.1252441113673427e-13	2.0299273413965991e-10	0.118	1.02993e-10
11900	1.1263699182883533e-13	2.042143517324212e-10	0.119	1.04214e-10
12000	1.127496851579376e-13	2.054433210639001e-10	0.12	1.05443e-10
12100	1.1286249123673445e-13	2.066796863771252e-10	0.121	1.0668e-10
12200	1.1297541017803188e-13	2.0792349218138105e-10	0.122	1.07923e-10
12300	1.1308844209474898e-13	2.0917478325381131e-10	0.123	1.09175e-10
12400	1.1320158709991757e-13	2.1043360464102949e-10	0.124	1.10434e-10
12500	1.1331484530668262e-13	2.1170000166074156e-10	0.125	1.117e-10
12600	1.1342821682830247e-13	2.1297401990337702e-10	0.126	1.12974e-10
12700	1.1354170177814863e-13	2.1425570523373011e-10	0.127	1.14256e-10
12800	1.1365530026970606e-13	2.1554510379261125e-10	0.128	1.15545e-10
12900	1.1376901241657319e-13	2.1684226199850766e-10	0.129	1.16842e-10
13000	1.1388283833246221e-13	2.1814722654925514e-10	0.13	1.18147e-10
13100	1.1399677813119898e-13	2.1946004442371813e-10	0.131	1.1946e-10
13200	1.1411083192672344e-13	2.2078076288348212e-10	0.132	1.20781e-10
13300	1.1422499983308945e-13	2.2210942947455416e-10	0.133	1.22109e-10
13400	1.1433928196446474e-13	2.2344609202907517e-10	0.134	1.23446e-10
13500	1.144536784351314e-13	2.2479079866704123e-10	0.135	1.24791e-10
13600	1.1456818935948609e-13	2.2614359779803664e-10	0.136	1.26144e-10
13700	1.1468281485203968e-13	2.2750453812297628e-10	0.137	1.27505e-10
13800	1.1479755502741762e-13	2.2887366863585889e-10	0.138	1.28874e-10
13900	1.149124100003603e-13	2.3025103862553073e-10	0.139	1.30251e-10
14000	1.1502737988572246e-13	2.3163669767746019e-10	0.14	1.31637e-10
14100	1.1514246479847414e-13	2.330306956755227e-10	0.141	1.33031e-10
14200	1.1525766485370032e-13	2.3443308280379704e-10	0.142	1.34433e-10
14300	1.1537298016660095e-13	2.3584390954837089e-10	0.143	1.35844e-10
14400	1.1548841085249123e-13	2.3726322669915937e-10	0.144	1.37263e-10
14500	1.1560395702680185e-13	2.3869108535173364e-10	0.145	1.38691e-10
14600	1.1571961880507932e-13	2.4012753690915912e-10	0.146	1.40128e-10
14700	1.1583539630298528e-13	2.4157263308384715e-10	0.147	1.41573e-10
14800	1.1595128963629714e-13	2.4302642589941544e-10	0.148	1.43026e-10
14900	1.1606729892090837e-13	2.444889676925632e-10	0.149	1.44489e-10
15000	1.1618342427282819e-13	2.4596031111495249e-10	0.15	1.4596e-10
15100	1.1629966580818189e-13	2.4744050913510602e-10	0.151	1.47441e-10
15200	1.1641602364321109e-13	2.4892961504031154e-10	0.152	1.4893e-10
15300	1.1653249789427358e-13	2.5042768243854306e-10	0.153	1.50428e-10
15400	1.1664908867784379e-13	2.5193476526038871e-10	0.154	1.51935e-10
15500	1.1676579611051244e-13	2.5345091776099233e-10	0.155	1.53451e-10
15600	1.1688262030898683e-13	2.5497619452200861e-10	0.156	1.54976e-10
15700	1.1699956139009134e-13	2.5651065045356487e-10	0.157	1.56511e-10
15800	1.1711661947076691e-13	2.5805434079624023e-10	0.158	1.58054e-10
15900	1.1723379466807179e-13	2.5960732112305407e-10	0.159	1.59607e-10
