# Filename: 3Dvlt_K0cFind3_Plot_Op3341_K0.150_y0.060_step300000_cut.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=4, OpC=1, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.149999999999999994449, y=0.0599999999999999977796, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=300000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.91176e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
274200	7.9647873864692632e-06	21250.660803195777	2.742	21250.6
274300	7.9171624907920286e-06	21378.534564682344	2.743	21378.5
274400	7.8698222555804068e-06	21507.177869019873	2.744	21507.1
274500	7.8227649806015597e-06	21636.595347345086	2.745	21636.5
274600	7.7759889757642644e-06	21766.791658665079	2.746	21766.7
274700	7.7294925610586112e-06	21897.771490024967	2.747	21897.7
274800	7.6832740664959796e-06	22029.539556676704	2.748	22029.5
274900	7.6373318320494244e-06	22162.100602248844	2.749	22162
275000	7.591664207594396e-06	22295.459398917166	2.75	22295.4
275100	7.5462695528498169e-06	22429.620747576635	2.751	22429.6
275200	7.5011462373194915e-06	22564.589478014172	2.752	22564.5
275300	7.4562926402339154e-06	22700.370449082529	2.753	22700.3
275400	7.4117071504923333e-06	22836.968548875226	2.754	22836.9
275500	7.3673881666052597e-06	22974.388694902464	2.755	22974.3
275600	7.3233340966372253e-06	23112.635834268225	2.756	23112.6
275700	7.2795433581499387e-06	23251.714943848299	2.757	23251.7
275800	7.2360143781457711e-06	23391.631030469554	2.758	23391.6
275900	7.1927455930115462e-06	23532.389131090113	2.759	23532.3
276000	7.1497354484626953e-06	23673.994312980642	2.76	23673.9
276100	7.1069823994877174e-06	23816.451673906904	2.761	23816.4
276200	7.0644849102930145e-06	23959.766342313109	2.762	23959.7
276300	7.0222414542479783e-06	24103.943477506687	2.763	24103.9
276400	6.9802505138304788e-06	24248.988269843969	2.764	24248.9
276500	6.9385105805726362e-06	24394.905940917026	2.765	24394.9
276600	6.8970201550069064e-06	24541.701743741647	2.766	24541.7
276700	6.855777746612515e-06	24689.380962946459	2.767	24689.3
276800	6.8147818737621994e-06	24837.948914963174	2.768	24837.9
276900	6.7740310636692411e-06	24987.410948217999	2.769	24987.4
277000	6.7335238523348555e-06	25137.772443324131	2.77	25137.7
277100	6.6932587844958577e-06	25289.038813275558	2.771	25289
277200	6.6532344135726496e-06	25441.215503641768	2.772	25441.2
277300	6.6134493016175311e-06	25594.307992763941	2.773	25594.3
277400	6.5739020192632948e-06	25748.321791952112	2.774	25748.3
277500	6.5345911456721304e-06	25903.262445683558	2.775	25903.2
277600	6.4955152684848482e-06	26059.135531802403	2.776	26059.1
277700	6.4566729837703861e-06	26215.946661720482	2.777	26215.9
277800	6.4180628959756305e-06	26373.701480619271	2.778	26373.6
277900	6.3796836178755079e-06	26532.40566765322	2.779	26532.4
278000	6.3415337705234076e-06	26692.064936154005	2.78	26692
278100	6.3036119832018827e-06	26852.685033836471	2.781	26852.6
278200	6.2659168933736311e-06	27014.271743005342	2.782	27014.2
278300	6.2284471466327862e-06	27176.830880763478	2.783	27176.8
278400	6.1912013966565002e-06	27340.368299221314	2.784	27340.3
278500	6.1541783051567831e-06	27504.889885707373	2.785	27504.8
278600	6.1173765418326677e-06	27670.401562980478	2.786	27670.3
