# Filename: 3Dvlt_K0cFind3_Plot_Op3341_K25.000_y0.000_step1000000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=4, OpC=1, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=                   25, y=9.99999999999999929293e-41, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.9248e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
344500	0.00099879677915944739	165.70578216286401	3.445	206.671
344600	0.00099297814218929532	166.69457206835662	3.446	207.66
344700	0.00098719268313841499	167.68930590415502	3.447	208.655
344800	0.00098144022017046788	168.69001944295928	3.448	209.656
344900	0.00097572057237189675	169.6967486727473	3.449	210.662
345000	0.00097003355974798486	170.70952979807024	3.45	211.675
345100	0.00096437900321890975	171.72839924135607	3.451	212.694
345200	0.00095875672461581359	172.75339364422092	3.452	213.719
345300	0.00095316654667688397	173.78454986878731	3.453	214.75
345400	0.00094760829304344092	174.8219049990123	3.454	215.787
345500	0.00094208178825603542	175.8654963420216	3.455	216.831
345600	0.00093658685775055948	176.91536142945307	3.456	217.881
345700	0.00093112332785436156	177.97153801880782	3.457	218.937
345800	0.00092569102578237859	179.03406409480903	3.458	220
345900	0.00092028977963327116	180.10297787076988	3.459	221.069
346000	0.00091491941838557167	181.17831778996887	3.46	222.144
346100	0.00090957977189384353	182.26012252703421	3.461	223.226
346200	0.00090427067088485222	183.34843098933499	3.462	224.314
346300	0.00089899194695373724	184.44328231838327	3.463	225.409
346400	0.00089374343256020804	185.54471589124208	3.464	226.51
346500	0.000888524961024738	186.65277132194339	3.465	227.618
346600	0.00088333636652477632	187.76748846291454	3.466	228.733
346700	0.00087817748409096746	188.88890740641193	3.467	229.854
346800	0.0008730481496033813	190.01706848596521	3.468	230.983
346900	0.00086794819978775167	191.15201227782879	3.469	232.118
347000	0.00086287747221173116	192.29377960244258	3.47	233.259
347100	0.0008578358052811491	 193.442411525902	3.471	234.408
347200	0.00085282303823628518	194.59794936143567	3.472	235.564
347300	0.00084783901114815117	195.76043467089298	3.473	236.726
347400	0.00084288356491478769	196.92990926624037	3.474	237.895
347500	0.00083795654125756139	198.10641521106618	3.475	239.072
347600	0.00083305778271748588	199.28999482209545	3.476	240.256
347700	0.00082818713265154326	200.4806906707129	3.477	241.446
347800	0.00082334443522902171	201.67854558449537	3.478	242.644
347900	0.00081852953542786244	202.88360264875402	3.479	243.849
348000	0.00081374227903101585	204.09590520808533	3.48	245.061
348100	0.00080898251262280973	205.31549686793065	3.481	246.281
348200	0.00080425008358533067	206.54242149614737	3.482	247.508
348300	0.00079954484009481372	207.77672322458713	3.483	248.742
348400	0.00079486663111804062	209.01844645068454	3.484	249.984
348500	0.00079021530640875593	 210.267635839056	3.485	251.233
348600	0.0007855907165040853	211.52433632310712	3.486	252.49
348700	0.00078099271272097338	212.78859310665095	3.487	253.754
348800	0.00077642114715262799	214.06045166553452	3.488	255.026
348900	0.00077187587266497402	215.3399577492761	3.489	256.306
349000	0.00076735674289312176	216.62715738271271	3.49	257.593
349100	0.0007628636122378454	217.92209686765665	3.491	258.888
349200	0.00075839633586207193	219.22482278456204	3.492	260.19
