# Filename: 3Dvlt_K0cFind3_Plot_Op3341_K32.600_y0.190_step1000000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=4, OpC=1, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=32.6000000000000014211, y=0.19000000000000000222, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.94459e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	32.600000000000001	             0.19	0	0
1	32.516910796374709	0.190677991261548	1e-05	0.083092
2	32.433950078197121	0.19135575336397717	2e-05	0.166055
3	32.351119219578884	0.19203327324163424	3e-05	0.248889
4	32.26841957816697	0.19271053790061324	4e-05	0.331592
5	32.185852495132501	0.19338753441952275	5e-05	0.414161
6	32.103419295162546	0.19406424995023527	6e-05	0.496597
7	32.021121286454836	0.19474067171861889	7e-05	0.578898
8	31.938959760715395	0.19541678702525106	8e-05	0.661062
9	31.856935993159027	0.19609258324611475	9e-05	0.743089
10	31.775051242512653	0.19676804783327692	0.0001	0.824977
100	25.086808763136645	0.25487108807298176	0.001	7.51347
200	19.410117268679254	0.30922769897594887	0.002	13.1904
300	 15.3485706231069	0.35112406251111572	0.003	17.2522
400	12.457808404790335	0.382161332986444	0.004	20.1431
500	10.365500752808261	0.40474941628349298	0.005	22.2355
600	8.8138982204050329	0.42103479885590367	0.006	23.7872
700	7.6338474955454449	0.43267413148921058	0.007	24.9673
800	6.7148831015414645	0.44088407409334612	0.008	25.8863
900	5.9838533905987381	0.44654538458337339	0.009	26.6174
1000	5.3912927080143449	0.4502961223849174	0.01	27.21
1100	4.9029810216083689	0.45260196156937921	0.011	27.6983
1200	4.4947078774894695	0.45380624241590306	0.012	28.1066
1300	4.1489781982194875	0.45416492503629097	0.013	28.4523
1400	3.8529000099404507	0.45387093954044583	0.014	28.7484
1500	3.5968018924635028	0.45307124034542112	0.015	29.0045
1600	3.3733092851474469	0.45187885929884619	0.016	29.228
1700	3.1767150491368232	0.45038151598477366	0.017	29.4246
1800	3.0025424759679749	0.44864783847580203	0.018	29.5987
1900	2.847236573047379	0.44673190873599905	0.019	29.7541
2000	2.7079424116104076	0.44467662054987683	0.02	29.8934
2100	2.5823435775385248	0.44251618640728196	0.021	30.019
2200	2.4685427790491703	0.44027802776513453	0.022	30.1328
2300	2.364972466120109	0.43798421379012026	0.023	30.2364
2400	 2.27032711334141	0.4356525661168566	0.024	30.3311
2500	2.1835113432757778	0.43329751417180157	0.025	30.4179
2600	2.1035997728382969	0.43093076250297779	0.026	30.4979
2700	2.0298056335325452	0.42856181519655956	0.027	30.5717
2800	1.961456027631197	0.42619839076509458	0.028	30.6401
2900	1.8979722528989067	0.42384675244858666	0.029	30.7036
3000	1.8388540344894102	0.42151197271767921	0.03	30.7628
3100	1.7836667948958651	0.41919814624596013	0.031	30.818
3200	1.7320313054237104	0.41690856226605955	0.032	30.8697
3300	1.6836152188546145	0.41464584471902166	0.033	30.9182
3400	1.638126098824759	0.4124120667199449	0.034	30.9637
3500	1.5953056481410675	0.41020884443189809	0.035	31.0066
3600	1.554924903691056	0.40803741434713192	0.036	31.047
3700	1.5167802153790484	0.40589869713423565	0.037	31.0852
3800	1.4806898646767799	0.40379335055969545	0.038	31.1214
3900	1.4464912078342198	0.40172181348625341	0.039	31.1557
4000	 1.41403825169509	0.39968434255431928	0.04	31.1882
4100	1.3831995879773467	0.39768104284092426	0.041	31.2191
4200	1.3538566259830698	0.39571189354405994	0.042	31.2485
4300	1.3259020748711703	0.39377676954416463	0.043	31.2765
4400	1.2992386355207708	0.3918754595378976	0.044	31.3032
4500	1.2737778691342991	0.39000768131367408	0.045	31.3288
4600	1.2494392154600436	0.38817309463717159	0.046	31.3532
4700	1.2261491381483887	0.38637131213309195	0.047	31.3765
4800	1.2038403785213805	0.38460190848290943	0.048	31.3989
4900	1.1824513021085294	0.38286442820407801	0.049	31.4204
