# Filename: 3Dvlt_K0cFind3_Plot_Op3341_K32.800_y-0.010_step10000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=4, OpC=1, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=32.7999999999999971578, y=-0.0100000000000000002082, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=10000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.90475e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	32.799999999999997	            -0.01	0	0
1	32.804784400913618	-0.010036092597358425	1e-05	0.00478454
2	32.809586242910584	-0.010072323535533917	2e-05	0.00958652
3	32.814405602250638	-0.010108693402099651	3e-05	0.014406
4	32.819242555587643	-0.010145202787543842	4e-05	0.0192431
5	32.824097179972078	-0.010181852285287321	5e-05	0.0240979
6	32.828969552853543	-0.010218642491701234	6e-05	0.0289704
7	32.833859752083292	-0.010255574006124864	7e-05	0.0338607
8	32.838767855916771	-0.010292647430883603	8e-05	0.038769
9	32.843693943016198	-0.010329863371307037	9e-05	0.0436952
10	32.848638092453143	-0.010367222435747177	0.0001	0.0486395
100	33.378863526678103	-0.014401985128002701	0.001	0.57888
200	34.23803455263517	-0.020990386724672589	0.002	1.43808
300	35.566323162695362	-0.031155439883441247	0.003	2.7664
400	37.750539083604536	-0.047626200618897586	0.004	4.95068
500	41.742038129957294	-0.076705977517583263	0.005	8.94229
600	50.812878276887034	-0.13794470960316529	0.006	18.0133
700	93.907568623880422	-0.36485844740829071	0.007	61.1086
800	              inf	             -inf	0.008	-nan
900	              inf	             -inf	0.009	-nan
1000	              inf	             -inf	0.01	-nan
1100	              inf	             -inf	0.011	-nan
1200	              inf	             -inf	0.012	-nan
1300	              inf	             -inf	0.013	-nan
1400	              inf	             -inf	0.014	-nan
1500	              inf	             -inf	0.015	-nan
1600	              inf	             -inf	0.016	-nan
1700	              inf	             -inf	0.017	-nan
1800	              inf	             -inf	0.018	-nan
1900	              inf	             -inf	0.019	-nan
2000	              inf	             -inf	0.02	-nan
2100	              inf	             -inf	0.021	-nan
2200	              inf	             -inf	0.022	-nan
2300	              inf	             -inf	0.023	-nan
2400	              inf	             -inf	0.024	-nan
2500	              inf	             -inf	0.025	-nan
2600	              inf	             -inf	0.026	-nan
2700	              inf	             -inf	0.027	-nan
2800	              inf	             -inf	0.028	-nan
2900	              inf	             -inf	0.029	-nan
3000	              inf	             -inf	0.03	-nan
3100	              inf	             -inf	0.031	-nan
3200	              inf	             -inf	0.032	-nan
3300	              inf	             -inf	0.033	-nan
3400	              inf	             -inf	0.034	-nan
3500	              inf	             -inf	0.035	-nan
