# Filename: 3Dvlt_K0cFind3_Plot_Op3341_K40.000_y0.000_step200000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=4, OpC=1, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=                   40, y=9.99999999999999929293e-41, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=200000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.91959e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	               40	9.9999999999999993e-41	0	0
1	40.000400002000006	1.0048618420341005e-40	1e-05	0.000400002
2	40.000800008000056	1.0097473938622217e-40	2e-05	0.000800008
3	40.001200018000183	1.014656771461506e-40	3e-05	0.00120002
4	40.001600032000432	1.0195900913781141e-40	4e-05	0.00160003
5	40.002000050000838	1.0245474707300258e-40	5e-05	0.00200005
6	40.002400072001443	1.0295290272098531e-40	6e-05	0.00240007
7	40.00280009800229	1.0345348790876689e-40	7e-05	0.0028001
8	40.003200128003414	1.0395651452138481e-40	8e-05	0.00320013
9	40.003600162004858	1.0446199450219242e-40	9e-05	0.00360016
10	40.004000200006665	1.0496993985314584e-40	0.0001	0.0040002
100	40.04002000666835	1.6247608907803415e-40	0.001	0.04002
200	40.080080053360035	2.6417409435931656e-40	0.002	0.0800801
300	40.120180180135115	4.2983594064605645e-40	0.003	0.12018
400	40.16032042709368	6.9988610007982669e-40	0.004	0.16032
500	40.200500834376058	1.1404193292587937e-39	0.005	0.200501
600	40.240721442162624	1.8595794835471399e-39	0.006	0.240721
700	40.280982290673968	3.0344383197017837e-39	0.007	0.280982
800	40.321283420170978	4.9551372814308287e-39	0.008	0.321283
900	40.361624870954735	8.0974317187298177e-39	0.009	0.361625
1000	40.402006683366743	1.3241998754674899e-38	0.01	0.402007
1100	40.442428897788808	2.1670795521545692e-38	0.011	0.442429
1200	40.482891554643111	3.5490461647476176e-38	0.012	0.482892
1300	40.523394694392373	5.8165349925711726e-38	0.013	0.523395
1400	40.563938357539691	9.5396702814907341e-38	0.014	0.563938
1500	40.604522584628761	1.5657381275994039e-37	0.015	0.604523
1600	40.645147416243795	2.5717103629869984e-37	0.016	0.645147
1700	40.685812893009626	4.2271004591853323e-37	0.017	0.685813
1800	40.726519055591723	6.9531418987893695e-37	0.018	0.726519
1900	40.767265944696291	1.1445586391266014e-36	0.019	0.767266
2000	40.808053601070171	1.8854449576229888e-36	0.02	0.808054
2100	40.848882065501087	3.1081999451872478e-36	0.021	0.848882
2200	40.889751378817472	5.1277133866042304e-36	0.022	0.889751
2300	40.930661581888607	8.4656179500606751e-36	0.023	0.930662
2400	40.971612715624801	1.3986664006526816e-35	0.024	0.971613
2500	41.012604820977117	2.3125471693719031e-35	0.025	1.0126
2600	41.053637938937641	3.8263832317019437e-35	0.026	1.05364
2700	41.094712110539533	6.3358978059006092e-35	0.027	1.09471
2800	41.135827376856959	1.0499052919968098e-34	0.028	1.13583
2900	41.176983779005141	1.7410641614467874e-34	0.029	1.17698
3000	41.21818135814059	2.889365920725027e-34	0.03	1.21818
3100	41.259420155460823	4.7985924286487948e-34	0.031	1.25942
3200	41.300700212204674	7.9753391569124698e-34	0.032	1.3007
3300	41.342021569652154	1.3265049213312704e-33	0.033	1.34202
3400	41.383384269124683	2.2079712268252163e-33	0.034	1.38338
3500	41.424788351984887	3.6779280101402951e-33	0.035	1.42479
3600	41.466233859636922	6.1311048295769507e-33	0.036	1.46623
3700	41.507720833526221	1.0228227857205847e-32	0.037	1.50772
3800	41.549249315139903	1.7076097082004884e-32	0.038	1.54925
3900	41.590819346006334	2.853013573660715e-32	0.039	1.59082
4000	41.632430967695534	4.770308833464126e-32	0.04	1.63243
4100	41.674084221819186	7.9820974529018793e-32	0.041	1.67408
4200	41.715779150030542	1.336644331121838e-31	0.042	1.71578
4300	41.757515794024506	2.2399763731035098e-31	0.043	1.75752
4400	41.799294195537755	3.7566453072908729e-31	0.044	1.79929
4500	41.841114396348701	6.3050213470708798e-31	0.045	1.84111
4600	41.882976438277481	1.0590171242888014e-30	0.046	1.88298
4700	41.924880363186226	1.7801225188660529e-30	0.047	1.92488
4800	41.966826212978809	2.9945235582457134e-30	0.048	1.96683
4900	42.008814029601112	5.0412349858191106e-30	0.049	2.00881
5000	42.05084385504091	8.4933291723651807e-30	0.05	2.05084
5100	42.092915731328084	1.4320270382954209e-29	0.051	2.09292
5200	42.135029700534517	2.4163351289697794e-29	0.052	2.13503
5300	42.177185804774119	4.0803390026167816e-29	0.053	2.17719
5400	42.219384086203036	6.8955497534385358e-29	0.054	2.21938
5500	42.261624587019597	1.1662067729476339e-28	0.055	2.26162
5600	42.303907349464282	1.9738615095743173e-28	0.056	2.30391
5700	42.346232415819834	3.343433555796667e-28	0.057	2.34623
5800	42.38859982841133	5.6676635182183156e-28	0.058	2.3886
5900	42.43100962960618	9.6150425128669853e-28	0.059	2.43101
6000	42.473461861814201	1.6324300917809587e-27	0.06	2.47346
6100	42.515956567487642	2.7736691337470476e-27	0.061	2.51596
6200	42.558493789121194	4.716413135226818e-27	0.062	2.55849
6300	42.601073569252087	8.0261375532871537e-27	0.063	2.60107
6400	42.643695950460092	1.3669082845154682e-26	0.064	2.6437
6500	42.686360975367606	2.3297569698772919e-26	0.065	2.68636
6600	42.729068686639614	3.9739351796276579e-26	0.066	2.72907
6700	42.771819126983878	6.7837573055851424e-26	0.067	2.77182
6800	42.814612339150834	1.1589364959762496e-25	0.068	2.81461
6900	42.857448365933692	1.9814779340682802e-25	0.069	2.85745
7000	42.900327250168537	3.3904672661347297e-25	0.07	2.90033
7100	42.943249034734144	5.8059198593497884e-25	0.071	2.94325
7200	42.986213762552417	9.9500241632170084e-25	0.072	2.98621
7300	43.029221476588006	1.7065511263120168e-24	0.073	3.02922
7400	43.072272219848664	2.9292537517938505e-24	0.074	3.07227
7500	43.115366035385136	5.0319655837377269e-24	0.075	3.11537
7600	43.158502966291259	8.6509093162889327e-24	0.076	3.1585
7700	43.201683055703917	1.4884345476744533e-23	0.077	3.20168
7800	43.244906346803241	2.5629613912523882e-23	0.078	3.24491
7900	43.288172882812482	4.4167130238476786e-23	0.079	3.28817
8000	43.331482706998223	7.6173086216516594e-23	0.08	3.33148
8100	43.374835862670281	1.3147695294349331e-22	0.081	3.37484
8200	43.418232393181832	2.2711398391128679e-22	0.082	3.41823
8300	43.461672341929379	3.9263114346436563e-22	0.083	3.46167
8400	43.505155752352927	6.7931733472052619e-22	0.084	3.50516
8500	 43.5486826679358	1.1762731699930989e-21	0.085	3.54868
8600	43.592253132204959	2.0384106844915707e-21	0.086	3.59225
8700	43.635867188730948	3.5352786047779168e-21	0.087	3.63587
8800	43.679524881127747	6.1362709194159889e-21	0.088	3.67952
8900	43.723226253053063	1.065944985077188e-20	0.089	3.72323
9000	43.766971348208273	1.853168468251743e-20	0.09	3.76697
9100	43.810760210338479	3.2243733447162444e-20	0.091	3.81076
9200	43.854592883232549	5.6146994590481995e-20	0.092	3.85459
9300	43.898469410723138	9.7849574739132415e-20	0.093	3.89847
9400	43.942389836686793	1.7066445201700765e-19	0.094	3.94239
9500	43.986354205043938	2.9790607779914157e-19	0.095	3.98635
9600	44.030362559758956	5.2043714665260311e-19	0.096	4.03036
9700	44.074414944840221	9.0993486781347541e-19	0.097	4.07441
9800	44.118511404340104	1.592230321568078e-18	0.098	4.11851
9900	44.162651982355108	2.7884027569973121e-18	0.099	4.16265
10000	44.206836723025752	4.8871944045011306e-18	0.1	4.20684
10100	44.251065670536818	8.5727210582593928e-18	0.101	4.25107
10200	44.295338869117188	1.5049885853472297e-17	0.102	4.29534
10300	44.339656363040135	2.6442567655576714e-17	0.103	4.33966
10400	44.384018196623153	4.6497587187172229e-17	0.104	4.38402
