# Filename: 3Dvlt_K0cFind3_Plot_Op3352_K0.38758_y0.06242_step100000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=5, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387575000000000002842, y=0.0624200000000000032596, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=100000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.95004e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	         0.387575	0.062420000000000003	0	0
1	0.38757500060579336	0.062420000398735305	-1e-05	7.25242e-10
2	0.38757500121161753	0.062420000797474222	-2e-05	1.45051e-09
3	0.38757500181747256	0.062420001196216761	-3e-05	2.17581e-09
4	0.38757500242335841	0.062420001594962915	-4e-05	2.90113e-09
5	0.38757500302927506	0.062420001993712691	-5e-05	3.62649e-09
6	0.38757500363522251	0.062420002392466083	-6e-05	4.35187e-09
7	0.38757500424120084	0.062420002791223096	-7e-05	5.07727e-09
8	0.38757500484720997	0.062420003189983725	-8e-05	5.80271e-09
9	0.38757500545324991	0.062420003588747976	-9e-05	6.52817e-09
10	0.38757500605932071	0.062420003987515849	-0.0001	7.25366e-09
100	0.38757506073199238	0.062420039891468597	-0.001	7.26616e-08
200	0.38757512177273379	0.062420079819298604	-0.002	1.45601e-07
300	0.38757518312276013	0.062420119783674538	-0.003	2.1882e-07
400	0.3875752447826083	0.062420159784781208	-0.004	2.92319e-07
500	0.38757530675281793	0.062420199822803737	-0.005	3.66098e-07
600	0.3875753690339292	0.062420239897927568	-0.006	4.40158e-07
700	0.38757543162648467	0.062420280010338419	-0.007	5.14501e-07
800	0.38757549453102874	0.062420320160222455	-0.008	5.89126e-07
900	0.38757555774810709	0.062420360347766102	-0.009	6.64036e-07
1000	0.38757562127826733	0.062420400573156044	-0.01	7.3923e-07
1100	0.3875756851220587	0.062420440836579404	-0.011	8.1471e-07
1200	0.38757574928003197	0.062420481138223557	-0.012	8.90476e-07
1300	0.38757581375274014	0.062420521478276252	-0.013	9.66529e-07
1400	0.38757587854073766	0.062420561856925572	-0.014	1.04287e-06
1500	0.38757594364458031	0.062420602274359888	-0.015	1.1195e-06
1600	0.38757600906482575	0.062420642730767979	-0.016	1.19642e-06
1700	0.38757607480203421	0.062420683226338883	-0.017	1.27363e-06
1800	0.38757614085676667	0.062420723761261961	-0.018	1.35113e-06
1900	0.38757620722958636	0.062420764335726991	-0.019	1.42892e-06
2000	0.38757627392105792	0.062420804949924018	-0.02	1.507e-06
2100	0.38757634093174825	0.062420845604043443	-0.021	1.58538e-06
2200	0.38757640826222589	0.062420886298276052	-0.022	1.66406e-06
2300	0.38757647591306021	0.062420927032812955	-0.023	1.74302e-06
2400	0.38757654388482354	0.062420967807845541	-0.024	1.82229e-06
2500	0.38757661217808892	0.062421008623565609	-0.025	1.90185e-06
2600	0.38757668079343216	0.062421049480165219	-0.026	1.98171e-06
2700	0.38757674973143041	0.062421090377836913	-0.027	2.06186e-06
2800	0.38757681899266255	0.062421131316773439	-0.028	2.14232e-06
2900	0.38757688857770922	0.062421172297167961	-0.029	2.22307e-06
3000	0.38757695848715323	0.062421213319213978	-0.03	2.30413e-06
3100	0.38757702872157862	0.062421254383105376	-0.031	2.38549e-06
3200	0.38757709928157119	0.062421295489036306	-0.032	2.46715e-06
3300	0.38757717016771948	0.062421336637201376	-0.033	2.54911e-06
3400	0.38757724138061261	0.06242137782779545	-0.034	2.63138e-06
3500	0.38757731292084241	0.062421419061013797	-0.035	2.71395e-06
3600	0.38757738478900161	0.062421460337052009	-0.036	2.79683e-06
3700	0.38757745698568569	0.062421501656106014	-0.037	2.88001e-06
3800	0.38757752951149138	0.062421543018372161	-0.038	2.96351e-06
3900	0.38757760236701772	0.06242158442404714	-0.039	3.04731e-06
4000	0.38757767555286504	0.062421625873328015	-0.04	3.13141e-06
