# Filename: 3Dvlt_K0cFind3_Plot_Op3352_K1.000_y0.000_step1000000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=5, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=                    1, y=9.99999999999999945153e-21, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.93957e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	                1	9.9999999999999995e-21	0	0
1	0.99999000004999983	1.0000386965953123e-20	-1e-05	9.99995e-06
2	0.99998000019999866	1.0000773942932345e-20	-2e-05	1.99998e-05
3	0.99997000044999551	1.0001160930937766e-20	-3e-05	2.99996e-05
4	0.99996000079998937	1.0001547929969487e-20	-4e-05	3.99992e-05
5	0.99995000124997924	1.0001934940027611e-20	-5e-05	4.99988e-05
6	0.99994000179996412	1.0002321961112238e-20	-6e-05	5.99982e-05
7	0.9999300024499429	1.0002708993223469e-20	-7e-05	6.99976e-05
8	0.9999200031999147	1.0003096036361406e-20	-8e-05	7.99968e-05
9	0.99991000404987851	1.0003483090526151e-20	-9e-05	8.9996e-05
10	0.99990000499983334	1.0003870155717805e-20	-0.0001	9.9995e-05
100	0.99900049983337502	1.0038751190847411e-20	-0.001	0.0009995
200	0.99800199866733263	1.0077612742428958e-20	-0.002	0.001998
300	0.99700449550337222	1.0116584754533183e-20	-0.003	0.0029955
400	0.9960079893439906	1.0155667325873e-20	-0.004	0.00399201
500	0.99501247919268132	1.0194860554079838e-20	-0.005	0.00498752
600	0.99401796405393406	1.0234164535697681e-20	-0.006	0.00598204
700	0.993024442933234	1.0273579366177105e-20	-0.007	0.00697556
800	0.99203191483705944	1.0313105139869405e-20	-0.008	0.00796809
900	0.99104037877288276	1.0352741950020656e-20	-0.009	0.00895962
1000	0.99004983374916711	1.0392489888765769e-20	-0.01	0.00995017
1100	0.98906027877536773	1.0432349047122646e-20	-0.011	0.0109397
1200	0.98807171286192985	1.0472319514986186e-20	-0.012	0.0119283
1300	0.98708413502028725	1.0512401381122432e-20	-0.013	0.0129159
1400	0.98609754426286145	1.0552594733162677e-20	-0.014	0.0139025
1500	0.98511193960306176	1.059289965759751e-20	-0.015	0.0148881
1600	0.98412732005528403	1.0633316239771009e-20	-0.016	0.0158727
1700	0.9831436846349092	1.0673844563874764e-20	-0.017	0.0168563
1800	0.98216103235829999	1.0714484712942049e-20	-0.018	0.017839
1900	0.98117936224280555	1.0755236768841929e-20	-0.019	0.0188206
2000	0.98019867330675514	1.0796100812273403e-20	-0.02	0.0198013
2100	0.97921896456945934	1.0837076922759506e-20	-0.021	0.020781
2200	0.97824023505120927	1.0878165178641483e-20	-0.022	0.0217598
2300	0.97726248377327596	1.0919365657072915e-20	-0.023	0.0227375
2400	0.97628570975790818	1.096067843401386e-20	-0.024	0.0237143
2500	0.97530991202833095	1.1002103584225045e-20	-0.025	0.0246901
2600	0.97433508960874771	1.1043641181261999e-20	-0.026	0.0256649
2700	0.97336124152433556	1.108529129746923e-20	-0.027	0.0266388
2800	0.97238836680124618	1.1127054003974402e-20	-0.028	0.0276116
