# Filename: 3Dvlt_K0cFind3_Plot_Op3352_K1.000_y1.010_step500000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=5, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=                    1, y=1.01000000000000000888, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=500000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.92533e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	                1	             1.01	0	0
1	1.0004077274843792	1.0100390918868258	-1e-05	0.000409597
2	1.000815807861456	1.0100782015424423	-2e-05	0.000819547
3	1.0012242415956338	1.0101173289729104	-3e-05	0.00122985
4	1.0016330291521331	1.0101564741842888	-4e-05	0.00164051
5	1.002042170996992	1.0101956371826346	-5e-05	0.00205152
6	1.0024516675970687	1.0102348179740035	-6e-05	0.00246289
7	1.002861519420043	1.010274016564449	-7e-05	0.00287461
8	1.003271726934418	1.0103132329600231	-8e-05	0.00328669
9	1.0036822906095229	1.0103524671667756	-9e-05	0.00369912
10	1.0040932109155132	1.010391719190755	-0.0001	0.00411191
100	1.0425980032111231	1.0139981160841043	-0.001	0.0427852
200	1.0892357843127978	1.0181797756156181	-0.002	0.0896102
300	1.1405248050279697	1.0225505188044874	-0.003	0.141085
400	1.1972065705076724	1.0271151910764216	-0.004	0.19795
500	1.2601890696815545	1.0318775033022014	-0.005	0.261113
600	1.3305961600645695	1.0368393946555698	-0.006	0.331695
700	1.4098355814050212	1.0420001035535669	-0.007	0.411102
800	1.4996943164658838	1.0473548004281601	-0.008	0.50112
900	1.6024749965514387	1.052892551504681	-0.009	0.60405
1000	1.7211954613978016	1.0585932409009511	-0.01	0.722908
1100	1.859888264464155	1.0644228335446471	-0.011	0.861723
1200	2.0240635020335613	1.0703259250431443	-0.012	1.026
1300	2.2214485720343906	1.0762137175307709	-0.013	1.22348
1400	2.4632181105662831	1.0819440023834193	-0.014	1.46532
1500	2.7661366741167126	1.0872865683583035	-0.015	1.76828
1600	3.1565074230875871	1.0918606436945761	-0.016	2.15868
1700	3.6779693338311641	1.0950152311183576	-0.017	2.68015
1800	4.4082928814517253	1.0955834364974071	-0.018	3.41048
1900	5.4998930104509203	1.0913298261797393	-0.019	4.50209
2000	7.2937988781191567	1.0775452683003777	-0.02	6.29605
2100	10.720233051256086	1.0428032444283339	-0.021	9.72266
2200	19.305609317079153	0.95240401166774213	-0.022	18.3085
2300	57.970630322361899	0.65678390403630094	-0.023	56.9747
2400	233.88829236973817	0.036895705601739215	-0.024	232.894
2500	249.8673188818133	0.00013261921411060799	-0.025	248.873
2600	249.6772845244694	4.4072710285748112e-07	-0.026	249.067
2700	249.42793032791218	1.4747531269950027e-09	-0.027	249.317
2800	249.17862773299831	4.9702842080922394e-12	-0.028	249.566
2900	248.92957365529264	1.6871439157378348e-14	-0.029	249.815
3000	248.68076850495387	5.7680404945126523e-17	-0.03	250.064
3100	248.43221203539673	1.9861223178068954e-19	-0.031	250.312
3200	248.18390399807225	6.8878148402858212e-22	-0.032	250.561
3300	247.93584414467247	2.4057527059657873e-24	-0.033	250.809
3400	247.6880322271374	8.4627365037827621e-27	-0.034	251.057
3500	247.44046799765553	2.9981768450450639e-29	-0.035	251.304
3600	247.19315120866196	1.0697604615173656e-31	-0.036	251.552
3700	246.94608161284029	3.8441027835966406e-34	-0.037	251.799
3800	246.69925896312083	1.391165760383727e-36	-0.038	252.045
3900	246.45268301268084	5.0703098545701785e-39	-0.039	252.292
4000	246.20635351494457	1.8610504590131602e-41	-0.04	252.538
4100	245.96027022358228	6.87932970014633e-44	-0.041	252.784
4200	245.71443289251073	2.5609124537426895e-46	-0.042	253.03
4300	245.46884127589243	9.6006421351920758e-49	-0.043	253.276
4400	245.22349512813594	3.6245916519875849e-51	-0.044	253.521
4500	244.97839420389499	1.3780578915078348e-53	-0.045	253.766
4600	244.73353825806879	5.2762058765293108e-56	-0.046	254.011
4700	244.48892704580123	2.0343151089744356e-58	-0.047	254.256
4800	244.24456032248105	7.8986572194559171e-61	-0.048	254.5
4900	244.00043784374134	3.0883264093948875e-63	-0.049	254.744
5000	243.75655936545985	1.2159741667303901e-65	-0.05	254.988
5100	243.5129246437582	4.8211769340205288e-68	-0.051	255.232
5200	243.26953343500139	1.9248890757826966e-70	-0.052	255.475
5300	243.02638549579834	7.7388889279734505e-73	-0.053	255.718
5400	242.78348058300094	3.1330558991543399e-75	-0.054	255.961
5500	242.54081845370422	1.2772345509819962e-77	-0.055	256.204
5600	242.29839886524641	5.2430321720938777e-80	-0.056	256.446
5700	242.05622157520776	2.1672055564709276e-82	-0.057	256.688
5800	241.81428634141085	9.0202750457678347e-85	-0.058	256.93
5900	241.57259292192026	3.7804014781464024e-87	-0.059	257.172
6000	241.33114107504284	1.5953314229430201e-89	-0.06	257.414
6100	241.08993055932655	6.7788363844223772e-92	-0.061	257.655
6200	240.84896113356086	2.900327306350214e-94	-0.062	257.896
6300	240.6082325567765	1.2494615411010017e-96	-0.063	258.136
6400	240.36774458824465	5.4197492615639542e-99	-0.064	258.377
6500	240.12749698747751	2.3670766437579184e-101	-0.065	258.617
6600	239.88748951422735	1.0409231709874775e-103	-0.066	258.857
6700	239.64772192848685	4.6088722852965411e-106	-0.067	259.097
6800	239.40819399048786	2.0546446835719701e-108	-0.068	259.337
6900	239.16890546070292	9.2223427927964117e-111	-0.069	259.576
7000	238.92985609984345	4.1677791136315678e-113	-0.07	259.815
7100	  238.69104566886	1.8963716584006173e-115	-0.071	260.054
7200	238.45247392894208	8.6874832380887428e-118	-0.072	260.292
7300	238.21414064151784	4.0069387243321839e-120	-0.073	260.531
7400	237.97604556825431	1.8606987291682361e-122	-0.074	260.769
7500	237.73818847105599	8.6992238085302437e-125	-0.075	261.007
7600	237.50056911206622	4.0947036895457237e-127	-0.076	261.244
7700	237.26318725366517	1.9404320569901706e-129	-0.077	261.482
7800	237.02604265847108	9.2577371198198669e-132	-0.078	261.719
7900	236.78913508933951	4.4467032967888535e-134	-0.079	261.956
8000	236.55246430936276	2.1502790819337807e-136	-0.08	262.192
8100	236.31603008186983	1.0468183990733631e-138	-0.081	262.429
8200	236.07983217042676	5.1305529939508242e-141	-0.082	262.665
8300	235.84387033883553	2.5314525993889703e-143	-0.083	262.901
8400	235.60814435113426	1.257432540992901e-145	-0.084	263.137
8500	235.37265397159717	6.2878960066529506e-148	-0.085	263.372
8600	235.13739896473365	3.1653975055782104e-150	-0.086	263.607
8700	234.90237909528867	1.6041682104503031e-152	-0.087	263.842
8800	234.66759412824214	8.1840222024235236e-155	-0.088	264.077
8900	234.43304382880939	4.2031553111847254e-157	-0.089	264.312
