# Filename: 3Dvlt_K0cFind3_Plot_Op3352_K1.000_y3.000_step500000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=5, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=                    1, y=                    3, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=500000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.90565e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	                1	                3	0	0
1	1.0012317966816544	3.0001161632496212	-1e-05	0.00123726
2	1.0024666924082946	3.0002324768101865	-2e-05	0.00247762
3	1.0037046989486191	3.000348940795138	-3e-05	0.0037211
4	1.0049458281310264	3.0004655553176369	-4e-05	0.00496769
5	1.0061900918439928	3.0005823204905591	-5e-05	0.00621742
6	1.0074375020364541	3.0006992364264913	-6e-05	0.0074703
7	1.0086880707181913	3.0008163032377255	-7e-05	0.00872634
8	1.0099418099602171	3.0009335210362558	-8e-05	0.00998554
9	1.0111987318951672	3.0010508899337736	-9e-05	0.0112479
10	1.0124588487176935	3.0011684100416631	-0.0001	0.0125135
100	1.1406894671389682	3.0123772285376544	-0.001	0.141234
200	1.3286253721109904	3.0263391912579576	-0.002	0.329689
300	1.592563872722591	3.0418526821734386	-0.003	0.594086
400	1.9905012076367705	3.0585259167911967	-0.004	0.992377
500	2.6593123779631416	3.0748278469067238	-0.005	1.6614
600	4.0163968062279451	3.0849065057587253	-0.006	3.01853
700	8.202583666014684	3.0581732613660337	-0.007	7.20482
800	303.87738689499946	1.8797633573200323	-0.008	302.883
900	3619.4462493670062	7.7268618236824395e-53	-0.009	3624.59
1000	3615.828612237674	1.1422123337263315e-107	-0.01	3628.21
1100	3612.2145909372553	1.8120955175014404e-162	-0.011	3631.82
1200	3608.6041818517288	3.0865936052057848e-217	-0.012	3635.43
1300	3604.9973813706856	5.6469526765348475e-272	-0.013	3639.04
1400	3601.3941858873209	                0	-0.014	3642.64
1500	3597.7945917984434	                0	-0.015	3646.24
1600	3594.1985955044579	                0	-0.016	3649.84
1700	3590.6061934093664	                0	-0.017	3653.43
1800	3587.0173819207694	                0	-0.018	3657.02
1900	3583.432157449854	                0	-0.019	3660.6
2000	3579.8505164113953	                0	-0.02	3664.19
2100	3576.2724552237496	                0	-0.021	3667.76
2200	3572.6979703088568	                0	-0.022	3671.34
2300	3569.1270580922319	                0	-0.023	3674.91
2400	3565.559715002963	                0	-0.024	3678.48
2500	3561.9959374737068	                0	-0.025	3682.04
2600	3558.4357219406843	                0	-0.026	3685.6
2700	3554.8790648436798	                0	-0.027	3689.16
2800	3551.3259626260383	                0	-0.028	3692.71
2900	3547.7764117346551	                0	-0.029	3696.26
3000	3544.2304086199792	                0	-0.03	3699.81
3100	3540.6879497360051	                0	-0.031	3703.35
3200	3537.1490315402766	                0	-0.032	3706.89
3300	3533.6136504938745	                0	-0.033	3710.42
3400	3530.0818030614196	                0	-0.034	3713.95
3500	3526.5534857110583	                0	-0.035	3717.48
3600	3523.0286949144775	                0	-0.036	3721.01
3700	3519.507427146887	                0	-0.037	3724.53
3800	3515.9896788870155	                0	-0.038	3728.05
3900	3512.4754466171157	                0	-0.039	3731.56
4000	3508.964726822956	                0	-0.04	3735.07
4100	3505.4575159938136	                0	-0.041	3738.58
4200	3501.9538106224827	                0	-0.042	3742.08
4300	3498.4536072052506	                0	-0.043	3745.58
4400	 3494.95690224192	                0	-0.044	3749.08
4500	3491.4636922357845	                0	-0.045	3752.57
4600	3487.9739736936299	                0	-0.046	3756.06
4700	3484.4877431257391	                0	-0.047	3759.55
4800	3481.0049970458813	                0	-0.048	3763.03
4900	3477.5257319713105	                0	-0.049	3766.51
5000	3474.0499444227621	                0	-0.05	3769.99
5100	3470.5776309244479	                0	-0.051	3773.46
5200	3467.1087880040536	                0	-0.052	3776.93
5300	3463.6434121927368	                0	-0.053	3780.39
5400	3460.1815000251208	                0	-0.054	3783.85
5500	3456.7230480392923	                0	-0.055	3787.31
5600	3453.2680527767993	                0	-0.056	3790.77
5700	3449.816510782648	                0	-0.057	3794.22
5800	3446.3684186052978	                0	-0.058	3797.67
5900	3442.9237727966511	                0	-0.059	3801.11
6000	3439.4825699120634	                0	-0.06	3804.55
6100	3436.0448065103301	                0	-0.061	3807.99
6200	3432.6104791536932	                0	-0.062	3811.43
6300	3429.1795844078247	                0	-0.063	3814.86
6400	3425.7521188418214	                0	-0.064	3818.28
6500	3422.3280790282247	                0	-0.065	3821.71
6600	3418.9074615429895	                0	-0.066	3825.13
6700	3415.4902629655007	                0	-0.067	3828.55
6800	3412.0764798785603	                0	-0.068	3831.96
6900	3408.6661088683841	                0	-0.069	3835.37
7000	3405.2591465246028	                0	-0.07	3838.78
7100	3401.8555894402512	                0	-0.071	3842.18
7200	3398.4554342117722	                0	-0.072	3845.58
7300	3395.0586774390104	                0	-0.073	3848.98
7400	3391.6653157252067	                0	-0.074	3852.37
7500	3388.2753456770051	                0	-0.075	3855.76
7600	3384.8887639044265	                0	-0.076	3859.15
7700	3381.5055670208972	                0	-0.077	3862.53
7800	3378.1257516432152	                0	-0.078	3865.91
7900	3374.7493143915658	                0	-0.079	3869.29
8000	3371.3762518895119	                0	-0.08	3872.66
8100	3368.0065607639926	                0	-0.081	3876.03
8200	3364.6402376453125	                0	-0.082	3879.4
8300	3361.2772791671537	                0	-0.083	3882.76
8400	3357.9176819665527	                0	-0.084	3886.12
8500	3354.5614426839143	                0	-0.085	3889.47
8600	3351.2085579630002	                0	-0.086	3892.83
8700	3347.8590244509214	                0	-0.087	3896.18
8800	3344.5128387981458	                0	-0.088	3899.52
8900	3341.1699976584873	                0	-0.089	3902.87
9000	3337.830497689105	                0	-0.09	3906.21
9100	3334.494335550497	                0	-0.091	3909.54
9200	3331.1615079065027	                0	-0.092	3912.87
9300	3327.8320114242947	                0	-0.093	3916.2
9400	3324.5058427743775	                0	-0.094	3919.53
9500	3321.1829986305765	                0	-0.095	3922.85
9600	3317.863475670054	                0	-0.096	3926.17
9700	3314.5472705732836	                0	-0.097	3929.49
9800	3311.2343800240587	                0	-0.098	3932.8
9900	3307.9248007094884	                0	-0.099	3936.11
10000	3304.6185293199974	                0	-0.1	3939.42
10100	3301.3155625493109	                0	-0.101	3942.72
10200	3298.0158970944631	                0	-0.102	3946.02
10300	3294.7195296557829	                0	-0.103	3949.32
10400	3291.4264569369102	                0	-0.104	3952.61
10500	3288.136675644771	                0	-0.105	3955.9
10600	3284.850182489577	                0	-0.106	3959.19
10700	3281.5669741848383	                0	-0.107	3962.47
10800	3278.287047447348	                0	-0.108	3965.75
10900	3275.0103989971767	                0	-0.109	3969.03
11000	3271.7370255576784	                0	-0.11	3972.3
11100	3268.4669238554802	                0	-0.111	3975.57
11200	3265.2000906204757	                0	-0.112	3978.84
11300	3261.9365225858373	                0	-0.113	3982.1
11400	3258.6762164879924	                0	-0.114	3985.36
11500	3255.4191690666371	                0	-0.115	3988.62
11600	3252.1653770647195	                0	-0.116	3991.87
11700	3248.9148372284521	                0	-0.117	3995.12
11800	3245.6675463072906	                0	-0.118	3998.37
11900	3242.4235010539483	                0	-0.119	4001.61
12000	3239.1826982243742	                0	-0.12	4004.85
12100	3235.9451345777702	                0	-0.121	4008.09
12200	3232.7108068765697	                0	-0.122	4011.33
12300	3229.4797118864467	                0	-0.123	4014.56
12400	3226.251846376304	                0	-0.124	4017.78
12500	3223.0272071182758	                0	-0.125	4021.01
12600	3219.8057908877222	                0	-0.126	4024.23
12700	3216.587594463228	                0	-0.127	4027.45
12800	3213.3726146265972	                0	-0.128	4030.66
12900	 3210.16084816285	                0	-0.129	4033.88
13000	3206.9522918602192	                0	-0.13	4037.08
13100	3203.7469425101453	                0	-0.131	4040.29
13200	3200.544796907282	                0	-0.132	4043.49
13300	3197.3458518494831	                0	-0.133	4046.69
13400	3194.1501041378024	                0	-0.134	4049.89
13500	3190.9575505764906	                0	-0.135	4053.08
13600	3187.7681879729944	                0	-0.136	4056.27
13700	3184.5820131379514	                0	-0.137	4059.45
13800	3181.3990228851876	                0	-0.138	4062.64
13900	3178.2192140317129	                0	-0.139	4065.82
14000	3175.0425833977165	                0	-0.14	4068.99
14100	3171.8691278065671	                0	-0.141	4072.17
14200	3168.698844084814	                0	-0.142	4075.34
14300	3165.5317290621679	                0	-0.143	4078.5
14400	3162.3677795715121	                0	-0.144	4081.67
14500	3159.2069924489006	                0	-0.145	4084.83
14600	3156.049364533545	                0	-0.146	4087.99
14700	3152.8948926678181	                0	-0.147	4091.14
14800	3149.7435736972448	                0	-0.148	4094.29
14900	3146.5954044705086	                0	-0.149	4097.44
15000	3143.4503818394392	                0	-0.15	4100.59
15100	3140.3085026590134	                0	-0.151	4103.73
15200	3137.1697637873522	                0	-0.152	4106.87
15300	3134.0341620857171	                0	-0.153	4110
15400	3130.9016944185037	                0	-0.154	4113.13
