# Filename: 3Dvlt_K0cFind3_Plot_Op3352_K32.800_y-0.010_step1000000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=5, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=32.7999999999999971578, y=-0.0100000000000000002082, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.90859e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	32.799999999999997	            -0.01	0	0
1	32.79523296430164	-0.0099640451587830713	-1e-05	0.00476717
2	32.790483218339659	-0.0099282274919123524	-2e-05	0.00951705
3	32.785750687021945	-0.009892546420455655	-3e-05	0.0142497
4	32.781035295640741	-0.0098570013683268211	-4e-05	0.0189652
5	32.776336969870243	-0.0098215917622687856	-5e-05	0.0236637
6	32.77165563576424	-0.009786317031836753	-6e-05	0.0283452
7	32.766991219753727	-0.0097511766093815056	-7e-05	0.0330097
8	32.762343648644588	-0.0097161699300328235	-8e-05	0.0376574
9	32.75771284961526	-0.0096812964316830286	-9e-05	0.0422884
10	32.75309875021442	-0.0096465555549706452	-0.0001	0.0469026
100	32.398084261168066	-0.0069999310426133547	-0.001	0.401927
200	32.112016135429577	-0.0049277314349518604	-0.002	0.688003
300	31.903702466135119	-0.0034830862232492878	-0.003	0.896321
400	31.748485913454449	-0.002469316604322834	-0.004	1.05154
500	31.629973976149554	-0.0017545425525989022	-0.005	1.17006
600	31.537058228255649	-0.0012488304388259734	-0.006	1.26297
700	31.462106642990378	-0.00089010323139945336	-0.007	1.33792
