# Filename: 3Dvlt_K0cFind3_Plot_Op3363_K0.010_y-0.001_step4000000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=6, OpC=3, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-12, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.0100000000000000002082, y=-0.00100000000000000002082, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=4000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	             0.01	           -0.001	0	0
1	             0.01	           -0.001	9.88131e-324	0
2	0.010001000463597113	-0.0010005630165435713	0.0001	1.148e-06
3	0.010002001027561257	-0.0010011263469478515	0.0002	2.29625e-06
4	0.010003001691902708	-0.0010016899913857739	0.0003	3.44474e-06
5	0.010004002456631744	-0.0010022539500303658	0.0004	4.59347e-06
6	0.010005003321758646	-0.0010028182230547487	0.0005	5.74244e-06
7	0.010006004287293693	-0.0010033828106321375	0.0006	6.89165e-06
8	0.010007005353247167	-0.0010039477129358421	0.0007	8.04111e-06
9	0.010008006519629352	-0.0010045129301392661	0.0008	9.19081e-06
10	0.01000900778645053	-0.0010050784624159072	0.0009	1.03407e-05
999	0.011050144950756359	-0.0017509100515540374	0.0998	0.00129345
1998	0.012212458107201563	-0.0030570551207340251	0.1997	0.00304548
2997	0.013498442240620339	-0.0053180144286338162	0.2996	0.00565052
3996	0.014922826357914871	-0.0092143985506945997	0.3995	0.00980257
4995	0.016503796165217265	-0.01589668422290675	0.4994	0.016672
5994	0.018046775622778365	-0.025612928638110381	0.587491	0.0265114
6993	0.019207046483870012	-0.035533945508151726	0.648378	0.0365003
7992	0.020144420209825743	-0.045478339491712844	0.694515	0.0464889
8991	0.020940732200425274	-0.055434862717363705	0.731695	0.0564773
9990	0.021639277131111516	-0.065398599281529912	0.762855	0.0664655
10989	0.022265881369266334	-0.075367025498441112	0.789688	0.0764537
