# Filename: 3Dvlt_K0cFind3_Plot_Op3363_K0.250_y0.013_step4000000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=6, OpC=3, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-12, dataskipdl=100, dataskipds=999
# Option-dependent values: K=                 0.25, y=0.0125000000000000006939, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=1, Max_steps=4000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	             0.25	0.012500000000000001	0	0
1	             0.25	0.012500000000000001	9.88131e-324	0
2	0.25000996393634056	0.012500846861385634	4.57682e-05	9.99986e-06
3	0.25001992787540284	0.012501693690837068	9.15353e-05	1.99997e-05
4	0.25002989181718738	0.012502540488347065	0.000137301	2.99996e-05
5	0.25003985576169463	0.01250338725390839	0.000183066	3.99994e-05
6	0.25004981970892515	0.012504233987513809	0.00022883	4.99993e-05
7	0.25005978365887943	0.012505080689156086	0.000274593	5.99992e-05
8	0.25006974761155804	0.01250592735882799	0.000320355	6.9999e-05
9	0.2500797115669614	0.012506773996522284	0.000366115	7.99989e-05
10	0.25008967552509009	0.012507620602231737	0.000411875	8.99987e-05
999	0.25994544231645655	0.013328106794149778	0.0451598	0.00997986
1998	0.26990400557952604	0.014118299046315451	0.0894066	0.0199697
2997	0.27986605441718082	0.014863328644001176	0.132799	0.0299596
3996	0.28983178960726097	0.015557372098725514	0.175427	0.0399495
4995	0.29980128302393005	0.016195218327285481	0.217363	0.0499394
5994	0.30977448050557549	0.016772308473492644	0.25867	0.0599293
6993	0.31975120879305774	0.017284780190664838	0.299397	0.0699192
7992	0.32973118659941403	0.017729514474650564	0.339579	0.0799091
8991	0.33971403975190106	0.018104181965928352	0.379242	0.089899
9990	0.349699320123535	0.018407284623678397	0.418403	0.0998889
10989	0.35968652775928894	0.01863818795539356	0.457067	0.109879
11988	0.36967513524059153	0.018797138718932651	0.495232	0.119869
12987	0.37966461298188353	0.018885263336097715	0.532888	0.129859
13986	0.38965445388972558	0.018904543240177537	0.570021	0.139848
14985	0.39964419571122889	0.018857764993286664	0.606609	0.149838
15984	0.40963343950486714	0.018748445097447271	0.64263	0.159828
16983	0.41962186299350007	0.018580731717740596	0.678059	0.169818
17982	0.42960922806804291	0.018359287700815262	0.71287	0.179808
18981	0.4395953823194082	0.018089160975909988	0.747038	0.189798
19980	0.4495802550811937	0.017775649416323175	0.780543	0.199787
20979	0.4595638489649902	0.017424167400379595	0.813363	0.209777
21978	0.46954622819162972	0.017040120679848472	0.845483	0.219767
22977	0.47952750513601228	0.016628794909785725	0.876891	0.229757
23976	0.48950782642542756	0.016195261566207642	0.90758	0.239747
24975	0.49948735970926961	0.015744303243708905	0.937545	0.249736
25974	0.50946628191514798	0.015280358714568548	0.966788	0.259726
26973	0.51944476948430673	0.014807486804738448	0.995311	0.269716
27972	0.5294229907864767	0.014329347181372683	1.02312	0.279705
28971	0.53940110068029934	0.013849195561426126	1.05023	0.289695
29970	0.54937923702188773	0.013369890600434319	1.07666	0.299685
30969	0.55935751882837881	0.012893909735340527	1.1024	0.309674
31968	0.56933604576430386	0.012423371456548199	1.1275	0.319664
32967	0.57931489862164931	0.011960061798490485	1.15195	0.329653
33966	0.58929414049466067	0.011505463203916388	1.17578	0.339643
34965	0.59927381839537042	0.011060784289444403	1.19902	0.349633
35964	0.6092539651056571	0.01062698938855485	1.22167	0.359622
36963	0.61923460111037709	0.010204827055724825	1.24376	0.369612
37962	0.62921573649944673	0.0097948569742479993	1.26531	0.379601
38961	0.63919737276329669	0.0093974749195874004	1.28634	0.389591
39960	0.64917950443523864	0.0090129355932413221	1.30687	0.39958
40959	0.65916212055647327	0.0086413732646820497	1.32691	0.40957
41958	0.66914520595568505	0.0082828202474410639	1.3465	0.419559
42957	0.67912874234633436	0.0079372232963398782	1.36563	0.429549
43956	0.68911270925206058	0.007604458052146784	1.38433	0.439538
44955	0.69909708477484378	0.007284341682733955	1.40262	0.449528
45954	0.70908184622277359	0.0069766438804221929	1.42052	0.459517
46953	0.71906697061475799	0.0066810963770972624	1.43803	0.469507
47952	0.72905243507919826	0.0063974011345882577	1.45518	0.479496
48951	0.73903821716249307	0.0061252373597962756	1.47198	0.489486
49950	0.74902429506185952	0.0058642674837084043	1.48843	0.499475
50949	0.75901064779542526	0.0056141422318609271	1.50456	0.509465
51948	0.76899725532085172	0.0053745049018318674	1.52038	0.519454
52947	0.77898409861228313	0.0051449949514960121	1.53589	0.529444
53946	0.78897115970392739	0.0049252509904277025	1.55111	0.539433
54945	0.79895842170729325	0.0047149132562070376	1.56606	0.549423
55944	0.80894586880795949	0.0045136256475968176	1.58073	0.559412
56943	0.81893348624670892	0.004321037377657027	1.59514	0.569402
57942	0.8289212602890379	0.0041368043018546871	1.6093	0.579391
58941	0.83890917818625188	0.0039605899690767507	1.62322	0.589381
59940	0.84889722813079538	0.0037920664371136883	1.63691	0.59937
60939	0.85888539920786511	0.0036309148885886717	1.65037	0.60936
61938	0.86887368134496634	0.0034768260783977203	1.66361	0.619349
62937	0.8788620652607273	0.003329500639429989	1.67665	0.629339
63936	0.88885054241390649	0.0031886492695919451	1.68947	0.639328
64935	0.89883910495338493	0.0030539928199010418	1.70211	0.649318
65934	0.90882774566965374	0.0029252623005876391	1.71455	0.659307
66933	0.91881645794822386	0.0028021988196952029	1.7268	0.669296
67932	0.92880523572519769	0.0026845534665521586	1.73888	0.679286
68931	0.93879407344517773	0.0025720871506609783	1.75079	0.689275
69930	0.94878296602160939	0.0024645704049744989	1.76252	0.699265
70929	0.95877190879956953	0.0023617831611726196	1.7741	0.709254
71928	0.96876089752098571	0.0022635145033854257	1.78551	0.719244
72927	0.97874992829224772	0.0021695624058059803	1.79678	0.729233
73926	0.9887389975541262	0.0020797334587751072	1.80789	0.739223
74925	0.99872810205387974	0.0019938425871826719	1.81886	0.749212
75924	1.0087172388194996	0.0019117127643972246	1.82969	0.759202
76923	1.0187064051359151	0.0018331747243953388	1.84039	0.769191
77922	1.0286955985230897	0.0017580666742991709	1.85095	0.779181
78921	1.0386848167158558	0.0016862340091364112	1.86138	0.78917
79920	1.0486740576454059	0.0016175290303002457	1.87168	0.79916
80919	1.0586633194222992	0.0015518106689006252	1.88187	0.809149
81918	1.0686526003208778	0.0014889442149548593	1.89193	0.819139
82917	1.078641898764984	0.0014288010531592363	1.90188	0.829128
83916	1.0886312133149312	0.0013712584058089092	1.91171	0.839118
84915	1.0986205426555273	0.0013161990832857757	1.92144	0.849107
85914	1.1086098855851669	0.0012635112424104037	1.93106	0.859097
86913	1.1185992410058554	0.0012130881528499139	1.94057	0.869086
87912	1.1285886079140968	0.0011648279716869924	1.94998	0.879075
88911	1.1385779853925888	0.0011186335261832196	1.95929	0.889065
89910	1.1485673726026149	0.0010744121047101159	1.9685	0.899054
90909	1.1585567687771541	0.0010320752557725528	1.97762	0.909044
91908	1.1685461732145359	0.00099153859500943184	1.98664	0.919033
92907	1.1785355852727164	0.00095272162002442071	1.99558	0.929023
93906	1.1885250043640163	0.00091554753287428718	2.00442	0.939012
94905	1.1985144299503458	0.00087994307002252066	2.01318	0.949002
95904	1.2085038615388484	0.00084583833955089599	2.02185	0.958991
96903	1.2184932986779329	0.00081316666541060123	2.03044	0.968981
97902	1.2284827409536643	0.00078186443848691112	2.03895	0.97897
98901	1.2384721879864493	0.00075187097424650635	2.04738	0.98896
99900	1.2484616394280617	0.00072312837673409874	2.05573	0.998949
100899	1.2584510949588836	0.0006955814086844845	2.064	1.00894
101898	1.2684405542854351	0.00066917736751723612	2.0722	1.01893
102897	1.2784300171380878	0.00064386596698375357	2.08033	1.02892
103896	1.2884194832690141	0.00061959922423979598	2.08838	1.03891
104895	1.2984089524502869	0.00059633135212106209	2.09636	1.0489
105894	1.3083984244721809	0.00057401865640448939	2.10428	1.05889
106893	1.3183878991416031	0.00055261943784342793	2.11212	1.06888
107892	1.3283773762806561	0.00053209389877098372	2.1199	1.07887
108891	1.3383668557253496	0.00051240405407201449	2.12761	1.08885
109890	1.3483563373244165	0.00049351364633084638	2.13526	1.09884
110889	1.3583458209382271	0.00047538806496831831	2.14285	1.10883
111888	1.3683353064378212	0.00045799426918853776	2.15038	1.11882
112887	1.3783247937039962	0.00044130071456234169	2.15784	1.12881
113886	1.3883142826264843	0.00042527728308115346	2.16525	1.1388
114885	1.3983037731032222	0.00040989521652147145	2.17259	1.14879
115884	1.4082932650396525	0.0003951270529667125	2.17988	1.15878
116883	1.4182827583481228	0.00038094656633946183	2.18711	1.16877
117882	1.4282722529472958	0.00036732870880336918	2.19429	1.17876
118881	1.4382617487616478	0.00035424955589997178	2.20141	1.18875
119880	1.4482512457209895	0.0003416862542915666	2.20848	1.19874
120879	1.4582407437600298	0.00032961697198693015	2.2155	1.20873
121878	1.4682302428179899	0.00031802085093216676	2.22246	1.21872
122877	1.4782197428382386	0.00030687796185428312	2.22937	1.22871
123876	1.488209243767965	0.00029616926125015133	2.23623	1.2387
124875	1.4981987455578645	0.00028587655041847459	2.24305	1.24869
125874	1.5081882481618849	0.00027598243643706208	2.24981	1.25868
126873	1.5181777515369559	0.00026647029499228363	2.25652	1.26867
127872	1.5281672556427643	0.00025732423497188404	2.26319	1.27866
128871	1.5381567604415411	0.00024852906473654348	2.26982	1.28864
129870	1.5481462658978822	0.00024007025998954519	2.27639	1.29863
130869	1.5581357719785438	0.0002319339331677223	2.28292	1.30862
131868	1.5681252786523019	0.00022410680428052579	2.28941	1.31861
132867	1.5781147858897906	0.00021657617312753714	2.29585	1.3286
133866	1.5881042936633798	0.0002093298928280738	2.30225	1.33859
134865	1.5980938019470332	0.00020235634459974292	2.30861	1.34858
135864	1.6080833107162071	0.00019564441372580727	2.31492	1.35857
136863	1.6180728199477277	0.00018918346665415211	2.32119	1.36856
137862	1.6280623296197179	0.00018296332917337786	2.32743	1.37855
138861	1.6380518397114863	0.00017697426561420402	2.33362	1.38854
139860	1.6480413502034541	0.00017120695902685552	2.33977	1.39853
140859	1.6580308610770795	0.00016565249228751752	2.34589	1.40852
141858	1.6680203723147902	0.00016030233008919458	2.35196	1.41851
142857	1.6780098838999142	0.0001551483017745103	2.358	1.4285
143856	1.6879993958166155	0.0001501825849700185	2.364	1.43849
144855	1.6979889080498574	0.00014539768998359084	2.36996	1.44848
145854	1.7079784205853379	0.00014078644492828918	2.37588	1.45847
146853	1.7179679334094429	0.00013634198153793982	2.38177	1.46846
147852	1.7279574465092105	0.00013205772164129277	2.38763	1.47845
148851	1.7379469598722908	0.0001279273642632848	2.39345	1.48844
149850	1.7479364734868992	0.00012394487332344361	2.39923	1.49842
150849	1.7579259873417932	0.00012010446590293493	2.40498	1.50841
151848	1.7679155014262438	0.00011640060105314348	2.4107	1.5184
152847	1.7779050157299821	0.00011282796911998788	2.41638	1.52839
153846	1.7878945302432063	0.00010938148155944009	2.42203	1.53838
154845	1.7978840449565314	0.0001060562612209029	2.42764	1.54837
155844	1.8078735598609761	0.00010284763307623041	2.43323	1.55836
156843	1.8178630749479381	9.9751115373269451e-05	2.43878	1.56835
157842	1.8278525902091745	9.6762411193811903e-05	2.4443	1.57834
158841	1.8378421056367824	9.3877400396831314e-05	2.44979	1.58833
159840	 1.84783162122318	9.1092131928802058e-05	2.45525	1.59832
160839	1.8578211369610962	8.8402816483781896e-05	2.46068	1.60831
161838	1.8678106528435487	8.5805819496778552e-05	2.46608	1.6183
162837	1.8778001688638315	8.3297654454715422e-05	2.47145	1.62829
163836	1.887789685015502	8.0874976510073227e-05	2.47679	1.63828
164835	1.8977792012923642	7.8534576383000739e-05	2.4821	1.64827
165834	1.9077687176884679	7.6273374538381937e-05	2.48738	1.65826
166833	1.9177582341980781	7.4088415624985559e-05	2.49263	1.66825
167832	1.927747750815697	7.1976863164453125e-05	2.49786	1.67824
168831	1.9377372675360156	6.993599447846945e-05	2.50306	1.68823
169830	1.9477267843539283	6.7963195843013789e-05	2.50823	1.69821
170829	1.9577163012645198	6.6055957859130477e-05	2.51337	1.7082
171828	1.9677058182630542	6.4211871030157952e-05	2.51849	1.71819
172827	1.9776953353449727	6.2428621535843225e-05	2.52358	1.72818
173826	1.9876848525058781	6.0703987194219164e-05	2.52864	1.73817
174825	1.9976743697415356	5.9035833602566897e-05	2.53368	1.74816
175824	2.0076638870478565	5.7422110449192672e-05	2.53869	1.75815
176823	2.0176534044209062	5.5860847988146015e-05	2.54368	1.76814
177822	2.0276429218568861	5.4350153669380619e-05	2.54864	1.77813
178821	2.0376324393521319	5.288820891721614e-05	2.55358	1.78812
179820	2.0476219569031113	5.1473266050297461e-05	2.55849	1.79811
180819	2.0576114745064218	5.0103645336572203e-05	2.56338	1.8081
181818	2.0676009921587695	4.877773217711158e-05	2.56824	1.81809
182817	 2.07759050985698	4.7493974412895777e-05	2.57308	1.82808
183816	2.087580027597991	4.6250879748958062e-05	2.5779	1.83807
184815	2.0975695453788497	4.504701329055145e-05	2.58269	1.84806
185814	2.1075590631967018	4.3880995186248154e-05	2.58746	1.85805
186813	2.117548581048792	4.2751498373125867e-05	2.59221	1.86804
187812	2.1275380989324604	4.1657246419418668e-05	2.59693	1.87803
188811	2.1375276168451447	4.059701146023126e-05	2.60163	1.88802
189810	2.147517134784366	3.956961222211821e-05	2.60631	1.89801
190809	2.1575066527477342	3.8573912132527079e-05	2.61097	1.90799
191808	2.1674961707329365	3.7608817510292761e-05	2.6156	1.91798
192807	2.177485688737745	3.6673275833546656e-05	2.62022	1.92797
193806	2.1874752067600056	3.576627408157287e-05	2.62481	1.93796
194805	2.197464724797642	3.48868371473079e-05	2.62938	1.94795
195804	2.2074542428486517	3.4034026317330503e-05	2.63393	1.95794
196803	2.2174437609110949	3.3206937816336538e-05	2.63846	1.96793
197802	2.2274332789830988	3.2404701413231618e-05	2.64297	1.97792
198801	2.2374227970628673	3.1626479086108314e-05	2.64746	1.98791
199800	2.2474123151486536	3.0871463743498317e-05	2.65192	1.9979
200799	2.2574018332387769	3.013887799941383e-05	2.65637	2.00789
201798	2.2673913513316211	2.94279729998026e-05	2.6608	2.01788
202797	2.2773808694256275	2.8738027298153458e-05	2.66521	2.02787
203796	2.2873703875192697	2.8068345778091614e-05	2.6696	2.03786
204795	2.2973599056110667	2.7418258620901489e-05	2.67396	2.04785
205794	2.3073494236996384	2.6787120316010287e-05	2.67831	2.05784
206793	2.3173389417836279	2.6174308712553974e-05	2.68265	2.06783
207792	2.3273284598617274	2.5579224110233677e-05	2.68696	2.07782
208791	2.3373179779326674	2.500128838775243e-05	2.69125	2.08781
209790	2.3473074959952336	2.4439944167198053e-05	2.69553	2.0978
210789	2.3572970140482501	2.3894654012813882e-05	2.69978	2.10779
211788	2.3672865320905911	2.3364899662669139e-05	2.70402	2.11777
212787	2.3772760501211612	2.2850181291806996e-05	2.70824	2.12776
213786	2.3872655681389103	2.2350016805513494e-05	2.71245	2.13775
214785	2.3972550861428212	2.1863941161411359e-05	2.71663	2.14774
215784	2.4072446041319244	2.1391505719140656e-05	2.7208	2.15773
216783	2.4172341221052802	2.0932277616444002e-05	2.72495	2.16772
217782	2.4272236400619787	2.0485839170527017e-05	2.72908	2.17771
218781	2.4372131580011533	2.0051787303615044e-05	2.7332	2.1877
219780	2.4472026759219632	1.9629732991675712e-05	2.73729	2.19769
220779	2.4571921938236039	1.9219300735321574e-05	2.74138	2.20768
221778	2.4671817117052965	1.8820128051953189e-05	2.74544	2.21767
222777	2.4771712295662955	1.8431864988241793e-05	2.74949	2.22766
223776	2.4871607474058854	1.8054173652093207e-05	2.75352	2.23765
224775	2.4971502652233721	1.7686727763271463e-05	2.75754	2.24764
225774	2.507139783018097	1.7329212221895845e-05	2.76154	2.25763
226773	2.517129300789422	1.6981322694062459e-05	2.76552	2.26762
227772	2.527118818536735	1.6642765213871147e-05	2.76949	2.27761
228771	2.5371083362594504	1.6313255801172908e-05	2.77344	2.2876
