# Filename: 2Dvpt_constT_0.9_lmax10_dl0.008.dat
# Source: 2Dvpt_constT.c
# Source version: 2 (2011 Jun 16 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, a0=1, a02=1, a04=1, K0c=0.747853
# Option values: Op=1
T/Tc	1-T/Tc	l	K	K/K0	y	G
0.9	0.1	0.04	0.830039	0.998906	0.0161647	0.000222663
0.9	0.1	0.08	0.829175	0.997866	0.0157774	0.000180758
0.9	0.1	0.12	0.828353	0.996878	0.015401	0.00014677
0.9	0.1	0.16	0.827572	0.995938	0.0150351	0.000119197
0.9	0.1	0.2	0.826829	0.995043	0.0146793	9.68227e-05
0.9	0.1	0.24	0.826121	0.994192	0.0143333	7.86625e-05
0.9	0.1	0.28	0.825448	0.993381	0.0139966	6.39195e-05
0.9	0.1	0.32	0.824807	0.99261	0.0136689	5.19483e-05
0.9	0.1	0.36	0.824196	0.991875	0.01335	4.22257e-05
0.9	0.1	0.4	0.823615	0.991175	0.0130395	3.4328e-05
0.9	0.1	0.44	0.82306	0.990508	0.0127371	2.79113e-05
0.9	0.1	0.48	0.822532	0.989873	0.0124425	2.26972e-05
0.9	0.1	0.52	0.822029	0.989267	0.0121556	1.84595e-05
0.9	0.1	0.56	0.821549	0.988689	0.011876	1.50149e-05
0.9	0.1	0.6	0.821092	0.988139	0.0116036	1.22145e-05
0.9	0.1	0.64	0.820655	0.987614	0.011338	9.93751e-06
0.9	0.1	0.68	0.820239	0.987113	0.0110791	8.08585e-06
0.9	0.1	0.72	0.819842	0.986635	0.0108266	6.57989e-06
0.9	0.1	0.76	0.819463	0.986179	0.0105805	5.35493e-06
0.9	0.1	0.8	0.819102	0.985744	0.0103404	4.35842e-06
0.9	0.1	0.84	0.818757	0.985329	0.0101062	3.54767e-06
0.9	0.1	0.88	0.818428	0.984933	0.00987768	2.88798e-06
0.9	0.1	0.92	0.818113	0.984554	0.00965476	2.35115e-06
0.9	0.1	0.96	0.817813	0.984193	0.00943724	1.91425e-06
0.9	0.1	1	0.817527	0.983849	0.00922495	1.55866e-06
0.9	0.1	1.04	0.817253	0.983519	0.00901776	1.26921e-06
0.9	0.1	1.08	0.816992	0.983205	0.00881551	1.03358e-06
0.9	0.1	1.12	0.816742	0.982905	0.00861808	8.41748e-07
0.9	0.1	1.16	0.816504	0.982618	0.00842533	6.85564e-07
0.9	0.1	1.2	0.816276	0.982344	0.00823713	5.58392e-07
0.9	0.1	1.24	0.816059	0.982082	0.00805336	4.54835e-07
0.9	0.1	1.28	0.815851	0.981832	0.00787391	3.70504e-07
0.9	0.1	1.32	0.815653	0.981593	0.00769864	3.01824e-07
0.9	0.1	1.36	0.815463	0.981365	0.00752746	2.45887e-07
0.9	0.1	1.4	0.815281	0.981146	0.00736026	2.00326e-07
0.9	0.1	1.44	0.815108	0.980938	0.00719693	1.63215e-07
0.9	0.1	1.48	0.814943	0.980739	0.00703738	1.32984e-07
0.9	0.1	1.52	0.814784	0.980548	0.00688151	1.08357e-07
0.9	0.1	1.56	0.814633	0.980366	0.00672921	8.82939e-08
0.9	0.1	1.6	0.814488	0.980192	0.00658041	7.19485e-08
0.9	0.1	1.64	0.81435	0.980026	0.00643502	5.86311e-08
0.9	0.1	1.68	0.814218	0.979867	0.00629294	4.77803e-08
0.9	0.1	1.72	0.814092	0.979715	0.0061541	3.89389e-08
0.9	0.1	1.76	0.813971	0.979569	0.00601842	3.17345e-08
0.9	0.1	1.8	0.813855	0.97943	0.00588582	2.58639e-08
0.9	0.1	1.84	0.813745	0.979297	0.00575622	2.10798e-08
0.9	0.1	1.88	0.813639	0.97917	0.00562955	1.71812e-08
0.9	0.1	1.92	0.813538	0.979049	0.00550574	1.40039e-08
0.9	0.1	1.96	0.813442	0.978933	0.00538472	1.14145e-08
0.9	0.1	2	0.813349	0.978821	0.00526642	9.3041e-09
0.9	0.1	2.04	0.813261	0.978715	0.00515078	7.58407e-09
0.9	0.1	2.08	0.813177	0.978613	0.00503773	6.18215e-09
0.9	0.1	2.12	0.813096	0.978516	0.00492721	5.03948e-09
0.9	0.1	2.16	0.813019	0.978423	0.00481917	4.10809e-09
0.9	0.1	2.2	0.812945	0.978334	0.00471354	3.34891e-09
0.9	0.1	2.24	0.812874	0.978249	0.00461027	2.73007e-09
0.9	0.1	2.28	0.812806	0.978168	0.0045093	2.22563e-09
0.9	0.1	2.32	0.812742	0.97809	0.00441058	1.81442e-09
0.9	0.1	2.36	0.81268	0.978016	0.00431405	1.47921e-09
0.9	0.1	2.4	0.812621	0.977944	0.00421967	1.20595e-09
0.9	0.1	2.44	0.812564	0.977876	0.00412738	9.83185e-10
0.9	0.1	2.48	0.81251	0.977811	0.00403714	8.0158e-10
0.9	0.1	2.52	0.812458	0.977749	0.0039489	6.53528e-10
