# Filename: 2Dvpt_constT_1.01_lmax100_dl0.01_Op1.dat
# Source: 2Dvpt_constT.c
# Source version: 2 (2011 Jun 16 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: lmax=100, lsteps=10000, (dl=0.01), lpts=10001, ldatamax=250, a0=1, a02=1, a04=1, K0c=0.747853
# Option values: Op=1
T/Tc	1-T/Tc	l	K	K/K0	y	G
1.01	-0.01	0.4	0.724795	0.97886	0.0229568	0.000106402
1.01	-0.01	0.8	0.71274	0.962578	0.0207114	1.74855e-05
1.01	-0.01	1.2	0.70309	0.949547	0.0189405	2.95236e-06
1.01	-0.01	1.6	0.695133	0.938799	0.0175126	5.09587e-07
1.01	-0.01	2	0.68841	0.92972	0.0163419	8.95873e-08
1.01	-0.01	2.4	0.682616	0.921895	0.0153693	1.59986e-08
1.01	-0.01	2.8	0.677537	0.915036	0.0145535	2.89625e-09
1.01	-0.01	3.2	0.67302	0.908936	0.0138641	5.30657e-10
1.01	-0.01	3.6	0.668951	0.903441	0.0132787	9.82809e-11
1.01	-0.01	4	0.665244	0.898434	0.0127802	1.83807e-11
1.01	-0.01	4.4	0.661831	0.893824	0.0123554	3.46844e-12
1.01	-0.01	4.8	0.658659	0.889541	0.0119943	6.59926e-13
1.01	-0.01	5.2	0.655687	0.885526	0.0116887	1.26534e-13
1.01	-0.01	5.6	0.652878	0.881734	0.0114323	2.44383e-14
1.01	-0.01	6	0.650205	0.878123	0.0112201	4.75251e-15
1.01	-0.01	6.4	0.647642	0.874662	0.011048	9.30318e-16
1.01	-0.01	6.8	0.645169	0.871322	0.0109131	1.83268e-16
1.01	-0.01	7.2	0.642767	0.868077	0.0108129	3.63246e-17
1.01	-0.01	7.6	0.640418	0.864906	0.0107456	7.24279e-18
1.01	-0.01	8	0.63811	0.861788	0.01071	1.45262e-18
1.01	-0.01	8.4	0.635826	0.858703	0.0107053	2.93024e-19
1.01	-0.01	8.8	0.633554	0.855635	0.0107313	5.94482e-20
1.01	-0.01	9.2	0.63128	0.852565	0.0107881	1.21298e-20
1.01	-0.01	9.6	0.628993	0.849476	0.0108763	2.48919e-21
1.01	-0.01	10	0.626678	0.84635	0.010997	5.13773e-22
1.01	-0.01	10.4	0.624323	0.843168	0.0111517	1.06668e-22
1.01	-0.01	10.8	0.621911	0.839912	0.0113425	2.22789e-23
1.01	-0.01	11.2	0.619429	0.836559	0.011572	4.68193e-24
1.01	-0.01	11.6	0.616858	0.833087	0.0118437	9.90175e-25
1.01	-0.01	12	0.614178	0.829468	0.0121618	2.10796e-25
1.01	-0.01	12.4	0.611369	0.825674	0.0125316	4.51863e-26
1.01	-0.01	12.8	0.608403	0.821668	0.0129595	9.75664e-27
1.01	-0.01	13.2	0.605251	0.817411	0.0134536	2.1229e-27
1.01	-0.01	13.6	0.601876	0.812853	0.0140239	4.65712e-28
1.01	-0.01	14	0.598236	0.807937	0.0146829	1.03069e-28
1.01	-0.01	14.4	0.594277	0.802591	0.0154462	2.30295e-29
1.01	-0.01	14.8	0.589934	0.796725	0.0163342	5.1995e-30
1.01	-0.01	15.2	0.585125	0.79023	0.0173726	1.18748e-30
1.01	-0.01	15.6	0.579744	0.782963	0.0185955	2.74689e-31
1.01	-0.01	16	0.573656	0.774741	0.0200482	6.44617e-32
1.01	-0.01	16.4	0.566682	0.765322	0.0217919	1.5377e-32
