# Filename: 2Dvpt_constT_0.1_lmax100_dl0.001_Op1.dat
# Source: 2Dvpt_constT.c
# Source version: 3 (2011 Sep 02 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: Tfrac=0.1, tempv=0.9, lmax=100, lsteps=100000, (dl=0.001), lpts=100001, ldatamax=250, a0=1, a02=1, a04=1, K0c=0.747853
# Option values: Op=1
T/Tc	1-T/Tc	l	K	K/K0	y	G	d(lnG)/dl
0.1	0.9	0	7.47853	1	9.38282e-17	8.80373e-33	
0.1	0.9	0.4	7.47853	1	1.73124e-20	6.05123e-41	-46.989
0.1	0.9	0.8	7.47853	1	3.19434e-24	4.1593e-49	-46.989
0.1	0.9	1.2	7.47853	1	5.89393e-28	2.85889e-57	-46.989
0.1	0.9	1.6	7.47853	1	1.0875e-31	1.96505e-65	-46.989
0.1	0.9	2	7.47853	1	2.00656e-35	1.35067e-73	-46.989
0.1	0.9	2.4	7.47853	1	3.70235e-39	9.28383e-82	-46.989
0.1	0.9	2.8	7.47853	1	6.83126e-43	6.38122e-90	-46.989
0.1	0.9	3.2	7.47853	1	1.26045e-46	4.38612e-98	-46.989
0.1	0.9	3.6	7.47853	1	2.32567e-50	3.01479e-106	-46.989
0.1	0.9	4	7.47853	1	4.29114e-54	2.07221e-114	-46.989
0.1	0.9	4.4	7.47853	1	7.91766e-58	1.42433e-122	-46.989
0.1	0.9	4.8	7.47853	1	1.4609e-61	9.79011e-131	-46.989
0.1	0.9	5.2	7.47853	1	2.69553e-65	6.72922e-139	-46.989
0.1	0.9	5.6	7.47853	1	4.97358e-69	4.62531e-147	-46.989
0.1	0.9	6	7.47853	1	9.17683e-73	3.1792e-155	-46.989
0.1	0.9	6.4	7.47853	1	1.69323e-76	2.18522e-163	-46.989
0.1	0.9	6.8	7.47853	1	3.12421e-80	1.50201e-171	-46.989
0.1	0.9	7.2	7.47853	1	5.76454e-84	1.0324e-179	-46.989
0.1	0.9	7.6	7.47853	1	1.06363e-87	7.09619e-188	-46.989
0.1	0.9	8	7.47853	1	1.96251e-91	4.87755e-196	-46.989
0.1	0.9	8.4	7.47853	1	3.62107e-95	3.35257e-204	-46.989
0.1	0.9	8.8	7.47853	1	6.68129e-99	2.30439e-212	-46.989
0.1	0.9	9.2	7.47853	1	1.23278e-102	1.58392e-220	-46.989
0.1	0.9	9.6	7.47853	1	2.27462e-106	1.0887e-228	-46.989
0.1	0.9	10	7.47853	1	4.19694e-110	7.48317e-237	-46.989
0.1	0.9	10.4	7.47853	1	7.74384e-114	5.14354e-245	-46.989
0.1	0.9	10.8	7.47853	1	1.42883e-117	3.5354e-253	-46.989
0.1	0.9	11.2	7.47853	1	2.63636e-121	2.43005e-261	-46.989
0.1	0.9	11.6	7.47853	1	4.86439e-125	1.67029e-269	-46.989
0.1	0.9	12	7.47853	1	8.97537e-129	1.14807e-277	-46.989
0.1	0.9	12.4	7.47853	1	1.65606e-132	7.89125e-286	-46.989
0.1	0.9	12.8	7.47853	1	3.05563e-136	5.42404e-294	-46.989
0.1	0.9	13.2	7.47853	1	5.63799e-140	3.7282e-302	-46.989
0.1	0.9	13.6	7.47853	1	1.04027e-143	2.56257e-310	-46.989
0.1	0.9	14	7.47853	1	1.91943e-147	1.76138e-318	-46.9897
0.1	0.9	14.4	7.47853	1	2.47836e-149	5.92879e-323	0
0.1	0.9	14.8	7.47853	1	5.51569e-149	5.92879e-323	0
0.1	0.9	15.2	7.47853	1	1.22754e-148	5.92879e-323	0
0.1	0.9	15.6	7.47853	1	2.73194e-148	5.92879e-323	0
0.1	0.9	16	7.47853	1	6.08004e-148	5.92879e-323	0
0.1	0.9	16.4	7.47853	1	1.35314e-147	5.92879e-323	0
0.1	0.9	16.8	7.47853	1	3.01146e-147	5.92879e-323	0
0.1	0.9	17.2	7.47853	1	6.70213e-147	5.92879e-323	0
0.1	0.9	17.6	7.47853	1	1.49159e-146	5.92879e-323	0
0.1	0.9	18	7.47853	1	3.31959e-146	5.92879e-323	0
0.1	0.9	18.4	7.47853	1	7.38788e-146	5.92879e-323	0
0.1	0.9	18.8	7.47853	1	1.6442e-145	5.92879e-323	0
0.1	0.9	19.2	7.47853	1	3.65924e-145	5.92879e-323	0
0.1	0.9	19.6	7.47853	1	8.14379e-145	5.92879e-323	0
0.1	0.9	20	7.47853	1	1.81243e-144	5.92879e-323	0
0.1	0.9	20.4	7.47853	1	4.03365e-144	5.92879e-323	0
0.1	0.9	20.8	7.47853	1	8.97704e-144	5.92879e-323	0
0.1	0.9	21.2	7.47853	1	1.99788e-143	5.92879e-323	0
0.1	0.9	21.6	7.47853	1	4.44636e-143	5.92879e-323	0
0.1	0.9	22	7.47853	1	9.89555e-143	5.92879e-323	0
0.1	0.9	22.4	7.47853	1	2.2023e-142	5.92879e-323	0
0.1	0.9	22.8	7.47853	1	4.9013e-142	5.92879e-323	0
0.1	0.9	23.2	7.47853	1	1.0908e-141	5.92879e-323	0
0.1	0.9	23.6	7.47853	1	2.42763e-141	5.92879e-323	0
0.1	0.9	24	7.47853	1	5.40279e-141	5.92879e-323	0
0.1	0.9	24.4	7.47853	1	1.20241e-140	5.92879e-323	0
0.1	0.9	24.8	7.47853	1	2.67602e-140	5.92879e-323	0
0.1	0.9	25.2	7.47853	1	5.95559e-140	5.92879e-323	0
0.1	0.9	25.6	7.47853	1	1.32544e-139	5.92879e-323	0
0.1	0.9	26	7.47853	1	2.94982e-139	5.92879e-323	0
0.1	0.9	26.4	7.47853	1	6.56495e-139	5.92879e-323	0
0.1	0.9	26.8	7.47853	1	1.46106e-138	5.92879e-323	0
0.1	0.9	27.2	7.47853	1	3.25164e-138	5.92879e-323	0
0.1	0.9	27.6	7.47853	1	7.23666e-138	5.92879e-323	0
0.1	0.9	28	7.47853	1	1.61055e-137	5.92879e-323	0
0.1	0.9	28.4	7.47853	1	3.58434e-137	5.92879e-323	0
0.1	0.9	28.8	7.47853	1	7.9771e-137	5.92879e-323	0
0.1	0.9	29.2	7.47853	1	1.77534e-136	5.92879e-323	0
0.1	0.9	29.6	7.47853	1	3.95108e-136	5.92879e-323	0
0.1	0.9	30	7.47853	1	8.7933e-136	5.92879e-323	0
0.1	0.9	30.4	7.47853	1	1.95698e-135	5.92879e-323	0
0.1	0.9	30.8	7.47853	1	4.35535e-135	5.92879e-323	0
0.1	0.9	31.2	7.47853	1	9.69301e-135	5.92879e-323	0
0.1	0.9	31.6	7.47853	1	2.15722e-134	5.92879e-323	0
0.1	0.9	32	7.47853	1	4.80098e-134	5.92879e-323	0
0.1	0.9	32.4	7.47853	1	1.06848e-133	5.92879e-323	0
0.1	0.9	32.8	7.47853	1	2.37794e-133	5.92879e-323	0
0.1	0.9	33.2	7.47853	1	5.2922e-133	5.92879e-323	0
0.1	0.9	33.6	7.47853	1	1.1778e-132	5.92879e-323	0
0.1	0.9	34	7.47853	1	2.62125e-132	5.92879e-323	0
0.1	0.9	34.4	7.47853	1	5.83369e-132	5.92879e-323	0
