# Filename: 2Dvpt_constT_1_lmax175_dl0.001_Op1.dat
# Source: 2Dvpt_constT.c
# Source version: 3 (2011 Sep 02 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: Tfrac=1, tempv=0, lmax=175, lsteps=175000, (dl=0.001), lpts=175001, ldatamax=250, a0=1, a02=1, a04=1, K0c=0.747853
# Option values: Op=1
T/Tc	1-T/Tc	l	K	K/K0	y	G	d(lnG)/dl
1	0	0	0.747853	1	0.0249594	0.000622969	
1	0	0.7	0.724303	0.96851	0.020099	2.45654e-05	-4.55101
1	0	1.4	0.709203	0.948319	0.0168699	1.05239e-06	-4.45611
1	0	2.1	0.698652	0.93421	0.014558	4.76573e-08	-4.3898
1	0	2.8	0.690843	0.923768	0.0128162	2.24605e-09	-4.34072
1	0	3.5	0.68482	0.915714	0.0114542	1.09095e-10	-4.30287
1	0	4.2	0.680028	0.909307	0.0103586	5.42568e-12	-4.27276
1	0	4.9	0.676121	0.904083	0.00945734	2.75021e-13	-4.24821
1	0	5.6	0.672874	0.899741	0.00870239	1.41606e-14	-4.22781
1	0	6.3	0.670131	0.896073	0.00806044	7.38748e-16	-4.21057
1	0	7	0.667782	0.892933	0.00750763	3.89726e-17	-4.19581
1	0	7.7	0.665748	0.890213	0.00702642	2.07586e-18	-4.18303
1	0	8.4	0.663969	0.887834	0.00660363	1.11499e-19	-4.17185
1	0	9.1	0.6624	0.885736	0.00622911	6.033e-21	-4.16199
1	0	9.8	0.661006	0.883871	0.00589499	3.28566e-22	-4.15323
1	0	10.5	0.659758	0.882203	0.00559499	1.79982e-23	-4.14539
1	0	11.2	0.658636	0.880702	0.00532409	9.91056e-25	-4.13833
1	0	11.9	0.65762	0.879344	0.00507822	5.48285e-26	-4.13195
1	0	12.6	0.656697	0.878109	0.00485404	3.04624e-27	-4.12615
1	0	13.3	0.655854	0.876982	0.00464876	1.69905e-28	-4.12085
1	0	14	0.655081	0.875949	0.00446007	9.51024e-30	-4.116
1	0	14.7	0.654371	0.874999	0.00428601	5.34062e-31	-4.11153
1	0	15.4	0.653715	0.874122	0.00412494	3.00812e-32	-4.10741
1	0	16.1	0.653107	0.87331	0.00397544	1.69904e-33	-4.1036
1	0	16.8	0.652544	0.872556	0.00383628	9.62126e-35	-4.10005
1	0	17.5	0.652019	0.871854	0.00370643	5.46132e-36	-4.09676
1	0	18.2	0.651529	0.8712	0.00358497	3.10693e-37	-4.09368
1	0	18.9	0.651072	0.870588	0.00347109	1.77121e-38	-4.09081
1	0	19.6	0.650643	0.870014	0.00336412	1.01171e-39	-4.08811
1	0	20.3	0.65024	0.869475	0.00326342	5.7894e-41	-4.08558
1	0	21	0.649861	0.868969	0.00316846	3.31863e-42	-4.0832
1	0	21.7	0.649504	0.868491	0.00307875	1.9054e-43	-4.08095
1	0	22.4	0.649167	0.86804	0.00299386	1.09566e-44	-4.07884
1	0	23.1	0.648848	0.867614	0.00291341	6.30949e-46	-4.07683
1	0	23.8	0.648546	0.867211	0.00283706	3.63834e-47	-4.07494
1	0	24.5	0.64826	0.866828	0.0027645	2.10074e-48	-4.07314
1	0	25.2	0.647989	0.866465	0.00269544	1.21444e-49	-4.07143
1	0	25.9	0.647731	0.86612	0.00262964	7.02883e-51	-4.06981
1	0	26.6	0.647485	0.865792	0.00256686	4.0726e-52	-4.06827
1	0	27.3	0.647251	0.865479	0.0025069	2.36221e-53	-4.0668
1	0	28	0.647028	0.865181	0.00244958	1.37151e-54	-4.0654
1	0	28.7	0.646815	0.864896	0.00239471	7.97075e-56	-4.06406
1	0	29.4	0.646612	0.864624	0.00234214	4.63656e-57	-4.06278
1	0	30.1	0.646417	0.864364	0.00229173	2.69943e-58	-4.06156
1	0	30.8	0.646231	0.864115	0.00224335	1.57294e-59	-4.06039
1	0	31.5	0.646053	0.863876	0.00219686	9.17278e-61	-4.05927
1	0	32.2	0.645881	0.863648	0.00215217	5.35332e-62	-4.05819
1	0	32.9	0.645717	0.863428	0.00210916	3.12655e-63	-4.05716
1	0	33.6	0.64556	0.863217	0.00206774	1.82732e-64	-4.05617
1	0	34.3	0.645408	0.863015	0.00202783	1.06871e-65	-4.05522
1	0	35	0.645262	0.86282	0.00198934	6.25444e-67	-4.0543
1	0	35.7	0.645122	0.862632	0.00195219	3.66261e-68	-4.05342
1	0	36.4	0.644987	0.862452	0.00191631	2.14613e-69	-4.05257
1	0	37.1	0.644857	0.862278	0.00188164	1.25827e-70	-4.05176
1	0	37.8	0.644732	0.86211	0.00184812	7.38133e-72	-4.05097
1	0	38.5	0.644611	0.861948	0.00181569	4.33243e-73	-4.05021
1	0	39.2	0.644494	0.861792	0.00178429	2.54422e-74	-4.04948
1	0	39.9	0.644381	0.861642	0.00175388	1.49485e-75	-4.04877
1	0	40.6	0.644272	0.861496	0.0017244	8.78725e-77	-4.04808
1	0	41.3	0.644167	0.861355	0.00169582	5.16788e-78	-4.04742
1	0	42	0.644065	0.861219	0.0016681	3.04067e-79	-4.04678
1	0	42.7	0.643967	0.861087	0.00164118	1.78985e-80	-4.04616
1	0	43.4	0.643872	0.86096	0.00161505	1.05402e-81	-4.04556
1	0	44.1	0.643779	0.860837	0.00158966	6.20959e-83	-4.04498
1	0	44.8	0.64369	0.860717	0.00156498	3.65973e-84	-4.04442
1	0	45.5	0.643603	0.860601	0.00154099	2.15776e-85	-4.04388
1	0	46.2	0.643519	0.860489	0.00151764	1.27268e-86	-4.04335
1	0	46.9	0.643438	0.86038	0.00149493	7.50921e-88	-4.04284
1	0	47.6	0.643359	0.860274	0.00147281	4.43224e-89	-4.04234
1	0	48.3	0.643282	0.860172	0.00145127	2.61698e-90	-4.04186
1	0	49	0.643207	0.860072	0.00143028	1.54569e-91	-4.04139
1	0	49.7	0.643135	0.859975	0.00140982	9.13236e-93	-4.04094
1	0	50.4	0.643065	0.859881	0.00138987	5.39736e-94	-4.0405
1	0	51.1	0.642996	0.85979	0.00137041	3.19089e-95	-4.04007
1	0	51.8	0.64293	0.859701	0.00135143	1.88699e-96	-4.03965
1	0	52.5	0.642865	0.859615	0.0013329	1.11623e-97	-4.03924
1	0	53.2	0.642803	0.859531	0.00131481	6.6048e-99	-4.03885
1	0	53.9	0.642742	0.859449	0.00129714	3.90916e-100	-4.03846
1	0	54.6	0.642682	0.85937	0.00127988	2.31432e-101	-4.03809
1	0	55.3	0.642624	0.859292	0.00126301	1.37048e-102	-4.03773
1	0	56	0.642568	0.859217	0.00124652	8.11773e-104	-4.03737
1	0	56.7	0.642513	0.859143	0.0012304	4.80951e-105	-4.03703
1	0	57.4	0.642459	0.859072	0.00121463	2.85017e-106	-4.03669
1	0	58.1	0.642407	0.859002	0.0011992	1.68944e-107	-4.03636
1	0	58.8	0.642356	0.858934	0.0011841	1.00164e-108	-4.03604
1	0	59.5	0.642307	0.858868	0.00116932	5.93988e-110	-4.03573
1	0	60.2	0.642259	0.858803	0.00115484	3.52319e-111	-4.03543
1	0	60.9	0.642211	0.85874	0.00114067	2.09019e-112	-4.03513
1	0	61.6	0.642165	0.858679	0.00112679	1.24029e-113	-4.03484
1	0	62.3	0.642121	0.858619	0.00111319	7.36123e-115	-4.03456
1	0	63	0.642077	0.85856	0.00109985	4.36979e-116	-4.03429
1	0	63.7	0.642034	0.858503	0.00108679	2.5945e-117	-4.03402
1	0	64.4	0.641992	0.858447	0.00107397	1.54073e-118	-4.03376
1	0	65.1	0.641952	0.858393	0.0010614	9.15122e-120	-4.0335
1	0	65.8	0.641912	0.85834	0.00104908	5.43636e-121	-4.03325
1	0	66.5	0.641873	0.858288	0.00103698	3.23007e-122	-4.03301
1	0	67.2	0.641835	0.858237	0.00102512	1.91951e-123	-4.03277
1	0	67.9	0.641798	0.858187	0.00101347	1.14088e-124	-4.03253
1	0	68.6	0.641762	0.858139	0.00100203	6.78202e-126	-4.03231
1	0	69.3	0.641726	0.858091	0.000990806	4.03225e-127	-4.03208
1	0	70	0.641691	0.858045	0.00097978	2.39774e-128	-4.03187
1	0	70.7	0.641657	0.857999	0.000968949	1.42601e-129	-4.03165
1	0	71.4	0.641624	0.857955	0.000958309	8.48218e-131	-4.03144
1	0	72.1	0.641592	0.857912	0.000947854	5.04608e-132	-4.03124
1	0	72.8	0.64156	0.857869	0.000937579	3.00236e-133	-4.03104
1	0	73.5	0.641529	0.857828	0.00092748	1.78662e-134	-4.03085
1	0	74.2	0.641499	0.857787	0.000917551	1.06331e-135	-4.03066
1	0	74.9	0.641469	0.857747	0.000907789	6.32911e-137	-4.03047
1	0	75.6	0.64144	0.857709	0.000898188	3.76776e-138	-4.03029
1	0	76.3	0.641411	0.85767	0.000888746	2.24326e-139	-4.03011
1	0	77	0.641384	0.857633	0.000879457	1.33576e-140	-4.02993
1	0	77.7	0.641356	0.857597	0.000870318	7.95483e-142	-4.02976
1	0	78.4	0.64133	0.857561	0.000861325	4.73788e-143	-4.02959
1	0	79.1	0.641303	0.857526	0.000852475	2.82221e-144	-4.02943
1	0	79.8	0.641278	0.857492	0.000843763	1.68129e-145	-4.02927
1	0	80.5	0.641253	0.857458	0.000835188	1.00172e-146	-4.02911
1	0	81.2	0.641228	0.857425	0.000826744	5.96891e-148	-4.02895
1	0	81.9	0.641204	0.857393	0.00081843	3.55706e-149	-4.0288
1	0	82.6	0.64118	0.857361	0.000810243	2.11999e-150	-4.02865
1	0	83.3	0.641157	0.85733	0.000802178	1.26363e-151	-4.02851
1	0	84	0.641134	0.8573	0.000794234	7.5327e-153	-4.02837
1	0	84.7	0.641112	0.85727	0.000786407	4.49081e-154	-4.02823
1	0	85.4	0.64109	0.857241	0.000778695	2.67757e-155	-4.02809
1	0	86.1	0.641069	0.857212	0.000771096	1.5966e-156	-4.02795
1	0	86.8	0.641048	0.857184	0.000763606	9.52126e-158	-4.02782
1	0	87.5	0.641027	0.857157	0.000756223	5.67847e-159	-4.02769
1	0	88.2	0.641007	0.85713	0.000748946	3.38694e-160	-4.02757
1	0	88.9	0.640987	0.857103	0.000741771	2.02033e-161	-4.02744
1	0	89.6	0.640968	0.857077	0.000734697	1.20524e-162	-4.02732
1	0	90.3	0.640949	0.857052	0.00072772	7.19055e-164	-4.0272
1	0	91	0.64093	0.857027	0.00072084	4.29029e-165	-4.02708
1	0	91.7	0.640912	0.857002	0.000714054	2.56004e-166	-4.02697
1	0	92.4	0.640894	0.856978	0.00070736	1.52771e-167	-4.02685
1	0	93.1	0.640876	0.856955	0.000700757	9.11737e-169	-4.02674
1	0	93.8	0.640859	0.856931	0.000694242	5.44166e-170	-4.02663
1	0	94.5	0.640842	0.856909	0.000687813	3.24808e-171	-4.02653
1	0	95.2	0.640825	0.856886	0.000681469	1.93889e-172	-4.02642
1	0	95.9	0.640809	0.856864	0.000675208	1.15748e-173	-4.02632
1	0	96.6	0.640793	0.856843	0.000669029	6.91038e-175	-4.02622
1	0	97.3	0.640777	0.856822	0.000662929	4.12593e-176	-4.02612
1	0	98	0.640761	0.856801	0.000656908	2.46361e-177	-4.02602
1	0	98.7	0.640746	0.856781	0.000650963	1.47113e-178	-4.02593
1	0	99.4	0.640731	0.856761	0.000645093	8.78535e-180	-4.02583
1	0	100.1	0.640716	0.856741	0.000639298	5.24681e-181	-4.02574
1	0	100.8	0.640702	0.856722	0.000633574	3.13372e-182	-4.02565
1	0	101.5	0.640688	0.856703	0.000627922	1.87177e-183	-4.02556
1	0	102.2	0.640674	0.856684	0.000622339	1.11807e-184	-4.02547
1	0	102.9	0.64066	0.856666	0.000616825	6.67905e-186	-4.02539
1	0	103.6	0.640647	0.856648	0.000611377	3.99011e-187	-4.0253
1	0	104.3	0.640634	0.85663	0.000605996	2.38386e-188	-4.02522
1	0	105	0.640621	0.856613	0.000600679	1.4243e-189	-4.02514
1	0	105.7	0.640608	0.856596	0.000595425	8.51035e-191	-4.02506
1	0	106.4	0.640595	0.856579	0.000590234	5.08531e-192	-4.02498
1	0	107.1	0.640583	0.856563	0.000585104	3.03886e-193	-4.0249
1	0	107.8	0.640571	0.856547	0.000580034	1.81605e-194	-4.02483
1	0	108.5	0.640559	0.856531	0.000575024	1.08534e-195	-4.02475
1	0	109.2	0.640547	0.856515	0.000570071	6.48677e-197	-4.02468
1	0	109.9	0.640536	0.8565	0.000565175	3.87715e-198	-4.02461
1	0	110.6	0.640525	0.856485	0.000560336	2.31749e-199	-4.02454
1	0	111.3	0.640514	0.85647	0.000555551	1.3853e-200	-4.02447
1	0	112	0.640503	0.856455	0.000550821	8.28119e-202	-4.0244
1	0	112.7	0.640492	0.856441	0.000546144	4.95064e-203	-4.02433
1	0	113.4	0.640482	0.856427	0.000541519	2.95972e-204	-4.02426
1	0	114.1	0.640471	0.856413	0.000536946	1.76954e-205	-4.0242
1	0	114.8	0.640461	0.8564	0.000532423	1.05801e-206	-4.02414
1	0	115.5	0.640451	0.856386	0.00052795	6.32609e-208	-4.02407
1	0	116.2	0.640441	0.856373	0.000523526	3.7827e-209	-4.02401
1	0	116.9	0.640432	0.85636	0.000519151	2.26197e-210	-4.02395
1	0	117.6	0.640422	0.856347	0.000514823	1.35267e-211	-4.02389
1	0	118.3	0.640413	0.856335	0.000510541	8.08933e-213	-4.02383
1	0	119	0.640404	0.856323	0.000506305	4.83784e-214	-4.02377
1	0	119.7	0.640394	0.856311	0.000502115	2.8934e-215	-4.02372
1	0	120.4	0.640386	0.856299	0.000497969	1.73054e-216	-4.02366
1	0	121.1	0.640377	0.856287	0.000493867	1.03508e-217	-4.02361
1	0	121.8	0.640368	0.856276	0.000489808	6.19128e-219	-4.02355
1	0	122.5	0.64036	0.856264	0.000485792	3.70343e-220	-4.0235
1	0	123.2	0.640351	0.856253	0.000481817	2.21536e-221	-4.02345
1	0	123.9	0.640343	0.856242	0.000477884	1.32525e-222	-4.0234
1	0	124.6	0.640335	0.856231	0.000473991	7.92811e-224	-4.02334
1	0	125.3	0.640327	0.856221	0.000470138	4.74303e-225	-4.02329
1	0	126	0.640319	0.85621	0.000466324	2.83764e-226	-4.02325
1	0	126.7	0.640312	0.8562	0.000462549	1.69775e-227	-4.0232
1	0	127.4	0.640304	0.85619	0.000458813	1.01579e-228	-4.02315
1	0	128.1	0.640297	0.85618	0.000455114	6.07782e-230	-4.0231
1	0	128.8	0.64029	0.85617	0.000451452	3.6367e-231	-4.02306
1	0	129.5	0.640282	0.856161	0.000447827	2.1761e-232	-4.02301
1	0	130.2	0.640275	0.856151	0.000444238	1.30216e-233	-4.02297
1	0	130.9	0.640268	0.856142	0.000440685	7.7923e-235	-4.02292
1	0	131.6	0.640261	0.856133	0.000437167	4.66314e-236	-4.02288
1	0	132.3	0.640255	0.856124	0.000433683	2.79064e-237	-4.02284
1	0	133	0.640248	0.856115	0.000430233	1.6701e-238	-4.0228
1	0	133.7	0.640242	0.856106	0.000426817	9.99526e-240	-4.02276
1	0	134.4	0.640235	0.856098	0.000423434	5.98216e-241	-4.02272
1	0	135.1	0.640229	0.856089	0.000420084	3.58042e-242	-4.02268
1	0	135.8	0.640223	0.856081	0.000416766	2.143e-243	-4.02264
1	0	136.5	0.640216	0.856073	0.000413479	1.28269e-244	-4.0226
1	0	137.2	0.64021	0.856065	0.000410225	7.67771e-246	-4.02256
1	0	137.9	0.640204	0.856057	0.000407001	4.59573e-247	-4.02252
1	0	138.6	0.640199	0.856049	0.000403808	2.75099e-248	-4.02249
1	0	139.3	0.640193	0.856041	0.000400645	1.64677e-249	-4.02245
1	0	140	0.640187	0.856033	0.000397511	9.858e-251	-4.02241
1	0	140.7	0.640182	0.856026	0.000394407	5.9014e-252	-4.02238
1	0	141.4	0.640176	0.856019	0.000391332	3.53291e-253	-4.02235
1	0	142.1	0.640171	0.856011	0.000388286	2.11505e-254	-4.02231
1	0	142.8	0.640165	0.856004	0.000385268	1.26624e-255	-4.02228
1	0	143.5	0.64016	0.855997	0.000382278	7.58098e-257	-4.02225
1	0	144.2	0.640155	0.85599	0.000379315	4.53882e-258	-4.02221
1	0	144.9	0.64015	0.855984	0.00037638	2.71751e-259	-4.02218
1	0	145.6	0.640145	0.855977	0.000373471	1.62708e-260	-4.02215
1	0	146.3	0.64014	0.85597	0.000370589	9.74214e-262	-4.02212
1	0	147	0.640135	0.855964	0.000367733	5.83324e-263	-4.02209
1	0	147.7	0.64013	0.855958	0.000364903	3.49281e-264	-4.02206
1	0	148.4	0.640126	0.855951	0.000362099	2.09146e-265	-4.02203
1	0	149.1	0.640121	0.855945	0.000359319	1.25237e-266	-4.022
1	0	149.8	0.640117	0.855939	0.000356565	7.49936e-268	-4.02197
1	0	150.5	0.640112	0.855933	0.000353835	4.49081e-269	-4.02194
1	0	151.2	0.640108	0.855927	0.00035113	2.68926e-270	-4.02192
1	0	151.9	0.640103	0.855921	0.000348449	1.61046e-271	-4.02189
1	0	152.6	0.640099	0.855916	0.000345791	9.64442e-273	-4.02186
1	0	153.3	0.640095	0.85591	0.000343157	5.77577e-274	-4.02183
1	0	154	0.640091	0.855904	0.000340546	3.45901e-275	-4.02181
1	0	154.7	0.640087	0.855899	0.000337958	2.07158e-276	-4.02178
1	0	155.4	0.640083	0.855894	0.000335393	1.24068e-277	-4.02176
1	0	156.1	0.640079	0.855888	0.00033285	7.43059e-279	-4.02173
1	0	156.8	0.640075	0.855883	0.000330329	4.45036e-280	-4.02171
1	0	157.5	0.640071	0.855878	0.000327831	2.66548e-281	-4.02168
1	0	158.2	0.640067	0.855873	0.000325353	1.59648e-282	-4.02166
1	0	158.9	0.640063	0.855868	0.000322897	9.56217e-284	-4.02164
1	0	159.6	0.64006	0.855863	0.000320463	5.72741e-285	-4.02161
1	0	160.3	0.640056	0.855858	0.000318049	3.43057e-286	-4.02159
1	0	161	0.640052	0.855853	0.000315656	2.05486e-287	-4.02157
1	0	161.7	0.640049	0.855849	0.000313283	1.23085e-288	-4.02155
1	0	162.4	0.640045	0.855844	0.000310931	7.37279e-290	-4.02152
1	0	163.1	0.640042	0.855839	0.000308598	4.41639e-291	-4.0215
1	0	163.8	0.640039	0.855835	0.000306286	2.64551e-292	-4.02148
1	0	164.5	0.640035	0.85583	0.000303993	1.58474e-293	-4.02146
1	0	165.2	0.640032	0.855826	0.000301719	9.49317e-295	-4.02144
1	0	165.9	0.640029	0.855822	0.000299464	5.68685e-296	-4.02142
1	0	166.6	0.640026	0.855818	0.000297229	3.40673e-297	-4.0214
1	0	167.3	0.640023	0.855813	0.000295012	2.04085e-298	-4.02138
1	0	168	0.64002	0.855809	0.000292813	1.22261e-299	-4.02136
1	0	168.7	0.640017	0.855805	0.000290633	7.32442e-301	-4.02134
1	0	169.4	0.640014	0.855801	0.000288471	4.38797e-302	-4.02132
1	0	170.1	0.640011	0.855797	0.000286327	2.62881e-303	-4.02131
1	0	170.8	0.640008	0.855794	0.000284201	1.57493e-304	-4.02129
1	0	171.5	0.640005	0.85579	0.000282092	9.43555e-306	-4.02127
1	0	172.2	0.640002	0.855786	0.000280001	5.653e-307	-4.02125
1	0	172.9	0.639999	0.855782	0.000277927	3.38685e-308	-4.02123
1	0	173.6	0.639997	0.855779	0.00027587	2.02917e-309	-4.02122
1	0	174.3	0.639994	0.855775	0.000273829	1.21576e-310	-4.0212
1	0	175	0.639991	0.855772	0.000271806	7.28417e-312	-4.02118
