# Filename: 3Dvlt_constT_0.2_Cc1.11_lmax10_dl0.001_Op1.dat
# Source: 3Dvlt_constT.c
# Source version: 9 (2011 Sep 02 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Tfrac=0.2, tempv=0.8, Cc=1.10501, K0c=0.295614, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=250, a0=1, a03=1, a06=1
# Option values: Op=1
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
0.2	0.8	0	1.47807	1	1	9.98277e-08	0
0.2	0.8	0.04	1.53839	1.04081	1	5.50422e-08	-1.00117e-08
0.2	0.8	0.08	1.60117	1.08329	1	2.96202e-08	-1.6167e-08
0.2	0.8	0.12	1.66652	1.1275	1	1.55417e-08	-1.98591e-08
0.2	0.8	0.16	1.73453	1.17351	0.999999	7.94288e-09	-2.20174e-08
0.2	0.8	0.2	1.80532	1.2214	0.999999	3.94967e-09	-2.32459e-08
0.2	0.8	0.24	1.87899	1.27125	0.999999	1.9088e-09	-2.3926e-08
0.2	0.8	0.28	1.95568	1.32313	0.999999	8.95513e-10	-2.42916e-08
0.2	0.8	0.32	2.03549	1.37713	0.999999	4.07352e-10	-2.44824e-08
0.2	0.8	0.36	2.11856	1.43333	0.999999	1.79434e-10	-2.45789e-08
0.2	0.8	0.4	2.20502	1.49182	0.999999	7.64382e-11	-2.46262e-08
0.2	0.8	0.44	2.29501	1.55271	0.999999	3.14479e-11	-2.46485e-08
0.2	0.8	0.48	2.38867	1.61607	0.999999	1.24776e-11	-2.46587e-08
0.2	0.8	0.52	2.48615	1.68203	0.999999	4.76744e-12	-2.46632e-08
0.2	0.8	0.56	2.58761	1.75067	0.999999	1.75141e-12	-2.46651e-08
0.2	0.8	0.6	2.69322	1.82212	0.999999	6.1765e-13	-2.46659e-08
0.2	0.8	0.64	2.80313	1.89648	0.999999	2.08749e-13	-2.46662e-08
0.2	0.8	0.68	2.91753	1.97388	0.999999	6.74961e-14	-2.46663e-08
0.2	0.8	0.72	3.03659	2.05443	0.999999	2.08411e-14	-2.46663e-08
