# Filename: 3Dvlt_constT_0.050_Cc1.10_lmax10_dl0.001_Op1.dat
# Source: 3Dvlt_constT.c
# Source version: 9 (2011 Sep 02 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Tfrac=0.05, tempv=0.95, Cc=1.1, K0c=0.296469, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=250, a0=1, a03=1, a06=1
# Option values: Op=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0	G
0.05	0.95	0	5.92938	1.10484e-28	0	1	1	1.10484e-28
0.05	0.95	0.04	6.17136	1.70035e-28	-1.62106e-29	1.04081	1	1.33754e-28
0.05	0.95	0.08	6.42322	2.79947e-28	-3.91317e-29	1.08329	1	1.73227e-28
0.05	0.95	0.12	6.68536	4.95636e-28	-7.39116e-29	1.1275	1	2.41252e-28
0.05	0.95	0.16	6.95819	9.48829e-28	-1.30856e-28	1.17351	1	3.633e-28
0.05	0.95	0.2	7.24216	1.97552e-27	-2.32039e-28	1.2214	1	5.95014e-28
0.05	0.95	0.24	7.53772	4.50114e-27	-4.28363e-28	1.27125	1	1.06645e-27
0.05	0.95	0.28	7.84534	1.12967e-26	-8.47027e-28	1.32313	1	2.10541e-27
0.05	0.95	0.32	8.16551	3.14466e-26	-1.8351e-27	1.37713	1	4.61029e-27
0.05	0.95	0.36	8.49875	9.78064e-26	-4.43477e-27	1.43333	1	1.12795e-26
0.05	0.95	0.4	8.84559	3.4253e-25	-1.21195e-26	1.49182	1	3.10736e-26
0.05	0.95	0.44	9.20659	1.36184e-24	-3.7852e-26	1.55271	1	9.71829e-26
0.05	0.95	0.48	9.58232	6.20036e-24	-1.36314e-25	1.61607	1	3.48056e-25
0.05	0.95	0.52	9.97338	3.26248e-23	-5.70818e-25	1.68203	1	1.44062e-24
0.05	0.95	0.56	10.3804	2.0032e-22	-2.80385e-24	1.75067	1	6.95818e-24
0.05	0.95	0.6	10.804	1.45009e-21	-1.63078e-23	1.82212	1	3.96218e-23
0.05	0.95	0.64	11.245	1.25099e-20	-1.13456e-22	1.89648	1	2.68882e-22
0.05	0.95	0.68	11.7039	1.30095e-19	-9.54538e-22	1.97388	1	2.19957e-21
0.05	0.95	0.72	12.1815	1.65064e-18	-9.82559e-21	2.05443	1	2.19533e-20
0.05	0.95	0.76	12.6786	2.588e-17	-1.2529e-19	2.13828	1	2.70758e-19
0.05	0.95	0.8	13.1961	5.08196e-16	-2.00534e-18	2.22554	1	4.18232e-18
0.05	0.95	0.84	13.7346	1.2677e-14	-4.0855e-17	2.31637	1	8.20677e-17
0.05	0.95	0.88	14.2951	4.07776e-13	-1.07524e-15	2.4109	1	2.07657e-15
0.05	0.95	0.92	14.8785	1.71833e-11	-3.71332e-14	2.50929	1	6.88336e-14
0.05	0.95	0.96	15.4857	9.64505e-10	-1.71077e-12	2.6117	1	3.03926e-12
0.05	0.95	1	16.1177	7.33919e-08	-1.06996e-10	2.71828	1	1.8192e-10
0.05	0.95	1.04	16.7748	7.71168e-06	-9.25294e-09	2.82909	0.999955	1.50367e-08
0.05	0.95	1.08	17.3496	0.00112852	-1.12204e-06	2.92604	0.993671	1.73093e-06
0.05	0.95	1.12	10.6646	0.0786488	-0.000106446	1.79861	0.586849	9.48928e-05
0.05	0.95	1.16	3.51149	0.13094	-0.000598215	0.592219	0.185653	0.000124274
0.05	0.95	1.2	2.13246	0.108767	-0.00103924	0.359643	0.108322	8.12039e-05
0.05	0.95	1.24	1.64292	0.087324	-0.00135601	0.277081	0.0801828	5.12841e-05
0.05	0.95	1.28	1.40381	0.0708952	-0.00158259	0.236755	0.0658269	3.27518e-05
