# Filename: 3Dvlt_constT_0.020_Cc1.10_lmax10_dl0.001_Op1.dat
# Source: 3Dvlt_constT.c
# Source version: 9 (2011 Sep 02 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Tfrac=0.02, tempv=0.98, Cc=1.1, K0c=0.296469, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=1000, a0=1, a03=1, a06=1
# Option values: Op=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0	G
0.02	0.98	0	14.8234	1.28305e-70	0	1	1	1.28305e-70
0.02	0.98	0.01	14.9724	3.1314e-71	-2.13979e-72	1.01005	1	2.94904e-71
0.02	0.98	0.02	15.1229	7.53032e-72	-2.64373e-72	1.0202	1	6.67879e-72
0.02	0.98	0.03	15.2749	1.78405e-72	-2.76066e-72	1.03045	1	1.49016e-72
0.02	0.98	0.04	15.4284	4.16344e-73	-2.78739e-72	1.04081	1	3.27508e-73
0.02	0.98	0.05	15.5835	9.56941e-74	-2.79341e-72	1.05127	1	7.0892e-74
0.02	0.98	0.06	15.7401	2.1659e-74	-2.79475e-72	1.06184	1	1.5111e-74
0.02	0.98	0.07	15.8983	4.82665e-75	-2.79504e-72	1.07251	1	3.17133e-75
0.02	0.98	0.08	16.058	1.05886e-75	-2.7951e-72	1.08329	1	6.55204e-76
0.02	0.98	0.09	16.2194	2.28638e-76	-2.79512e-72	1.09417	1	1.33238e-76
0.02	0.98	0.1	16.3824	4.85854e-77	-2.79512e-72	1.10517	1	2.66642e-77
0.02	0.98	0.11	16.5471	1.01588e-77	-2.79512e-72	1.11628	1	5.25058e-78
0.02	0.98	0.12	16.7134	2.0897e-78	-2.79512e-72	1.1275	1	1.01717e-78
0.02	0.98	0.13	16.8814	4.22828e-79	-2.79512e-72	1.13883	1	1.93827e-79
0.02	0.98	0.14	17.051	8.41411e-80	-2.79512e-72	1.15027	1	3.63246e-80
0.02	0.98	0.15	17.2224	1.64643e-80	-2.79512e-72	1.16183	1	6.69389e-81
0.02	0.98	0.16	17.3955	3.16736e-81	-2.79512e-72	1.17351	1	1.21276e-81
0.02	0.98	0.17	17.5703	5.98956e-82	-2.79512e-72	1.1853	1	2.1598e-82
0.02	0.98	0.18	17.7469	1.11317e-82	-2.79512e-72	1.19722	1	3.78027e-83
0.02	0.98	0.19	17.9252	2.03292e-83	-2.79512e-72	1.20925	1	6.50168e-84
0.02	0.98	0.2	18.1054	3.64752e-84	-2.79512e-72	1.2214	1	1.09861e-84
0.02	0.98	0.21	18.2874	6.42858e-85	-2.79512e-72	1.23368	1	1.82349e-85
0.02	0.98	0.22	18.4712	1.11274e-85	-2.79512e-72	1.24608	1	2.97252e-86
0.02	0.98	0.23	18.6568	1.89127e-86	-2.79512e-72	1.2586	1	4.75804e-87
0.02	0.98	0.24	18.8443	3.15587e-87	-2.79512e-72	1.27125	1	7.47714e-88
0.02	0.98	0.25	19.0337	5.16901e-88	-2.79512e-72	1.28403	1	1.15336e-88
0.02	0.98	0.26	19.225	8.30878e-89	-2.79512e-72	1.29693	1	1.74597e-89
0.02	0.98	0.27	19.4182	1.31047e-89	-2.79512e-72	1.30996	1	2.5934e-90
0.02	0.98	0.28	19.6133	2.02766e-90	-2.79512e-72	1.32313	1	3.77902e-91
0.02	0.98	0.29	19.8105	3.07719e-91	-2.79512e-72	1.33643	1	5.4011e-92
0.02	0.98	0.3	20.0096	4.57957e-92	-2.79512e-72	1.34986	1	7.56997e-93
0.02	0.98	0.31	20.2107	6.68217e-93	-2.79512e-72	1.36343	1	1.04023e-93
0.02	0.98	0.32	20.4138	9.5576e-94	-2.79512e-72	1.37713	1	1.40121e-94
0.02	0.98	0.33	20.6189	1.33977e-94	-2.79512e-72	1.39097	1	1.84981e-95
0.02	0.98	0.34	20.8262	1.84024e-95	-2.79512e-72	1.40495	1	2.39284e-96
0.02	0.98	0.35	21.0355	2.47624e-96	-2.79512e-72	1.41907	1	3.03232e-97
0.02	0.98	0.36	21.2469	3.26359e-97	-2.79512e-72	1.43333	1	3.76374e-98
0.02	0.98	0.37	21.4604	4.21203e-98	-2.79512e-72	1.44773	1	4.57465e-99
0.02	0.98	0.38	21.6761	5.32219e-99	-2.79512e-72	1.46228	1	5.44376e-100
0.02	0.98	0.39	21.8939	6.58261e-100	-2.79512e-72	1.47698	1	6.34087e-101
0.02	0.98	0.4	22.114	7.96751e-101	-2.79512e-72	1.49182	1	7.22796e-102
0.02	0.98	0.41	22.3362	9.43559e-102	-2.79512e-72	1.50682	1	8.06129e-103
0.02	0.98	0.42	22.5607	1.09306e-102	-2.79512e-72	1.52196	1	8.79469e-104
0.02	0.98	0.43	22.7875	1.23836e-103	-2.79512e-72	1.53726	1	9.38355e-105
0.02	0.98	0.44	23.0165	1.37178e-104	-2.79512e-72	1.55271	1	9.78921e-106
0.02	0.98	0.45	23.2478	1.48545e-105	-2.79512e-72	1.56831	1	9.98306e-107
0.02	0.98	0.46	23.4814	1.57206e-106	-2.79512e-72	1.58407	1	9.94984e-108
0.02	0.98	0.47	23.7174	1.62561e-107	-2.79512e-72	1.59999	1	9.68957e-109
0.02	0.98	0.48	23.9558	1.64209e-108	-2.79512e-72	1.61607	1	9.21783e-110
0.02	0.98	0.49	24.1966	1.61999e-109	-2.79512e-72	1.63232	1	8.56419e-111
0.02	0.98	0.5	24.4397	1.56048e-110	-2.79512e-72	1.64872	1	7.76915e-112
0.02	0.98	0.51	24.6854	1.46733e-111	-2.79512e-72	1.66529	1	6.87998e-113
0.02	0.98	0.52	24.9334	1.34654e-112	-2.79512e-72	1.68203	1	5.94595e-114
0.02	0.98	0.53	25.184	1.20566e-113	-2.79512e-72	1.69893	1	5.01383e-115
0.02	0.98	0.54	25.4371	1.05303e-114	-2.79512e-72	1.71601	1	4.12407e-116
0.02	0.98	0.55	25.6928	8.96917e-116	-2.79512e-72	1.73325	1	3.30812e-117
0.02	0.98	0.56	25.951	7.44825e-117	-2.79512e-72	1.75067	1	2.58717e-118
0.02	0.98	0.57	26.2118	6.02886e-118	-2.79512e-72	1.76827	1	1.97219e-119
0.02	0.98	0.58	26.4752	4.75535e-119	-2.79512e-72	1.78604	1	1.465e-120
0.02	0.98	0.59	26.7413	3.65414e-120	-2.79512e-72	1.80399	1	1.06019e-121
0.02	0.98	0.6	27.0101	2.73481e-121	-2.79512e-72	1.82212	1	7.47253e-123
0.02	0.98	0.61	27.2815	1.99295e-122	-2.79512e-72	1.84043	1	5.12835e-124
0.02	0.98	0.62	27.5557	1.41375e-123	-2.79512e-72	1.85893	1	3.42608e-125
0.02	0.98	0.63	27.8327	9.75983e-125	-2.79512e-72	1.87761	1	2.22745e-126
0.02	0.98	0.64	28.1124	6.55518e-126	-2.79512e-72	1.89648	1	1.40894e-127
0.02	0.98	0.65	28.3949	4.28234e-127	-2.79512e-72	1.91554	1	8.66827e-129
0.02	0.98	0.66	28.6803	2.72025e-128	-2.79512e-72	1.93479	1	5.18565e-130
0.02	0.98	0.67	28.9685	1.67977e-129	-2.79512e-72	1.95424	1	3.01568e-131
0.02	0.98	0.68	29.2597	1.00804e-130	-2.79512e-72	1.97388	1	1.70433e-132
0.02	0.98	0.69	29.5537	5.87713e-132	-2.79512e-72	1.99372	1	9.35806e-134
0.02	0.98	0.7	29.8508	3.32806e-133	-2.79512e-72	2.01375	1	4.99062e-135
