# Filename: 3Dvlt_constT_1.000_Cc0.40_lmax10_dl0.001_Op1.dat
# Source: 3Dvlt_constT.c
# Source version: 9 (2011 Sep 02 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Tfrac=1, tempv=0, Cc=0.4, K0c=0.575343, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=1000, a0=1, a03=1, a06=1
# Option values: Op=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0	G
1	0	0	0.575343	0.103171	0	1	1	0.103171
1	0	0.01	0.567243	0.101603	-0.00317109	0.985921	0.976111	0.0956857
1	0	0.02	0.559642	0.100115	-0.00620254	0.972709	0.953448	0.0887942
1	0	0.03	0.552496	0.0987032	-0.00910212	0.96029	0.931909	0.0824439
1	0	0.04	0.545768	0.0973615	-0.011877	0.948595	0.9114	0.0765873
1	0	0.05	0.539422	0.0960854	-0.014534	0.937566	0.89184	0.0711818
1	0	0.06	0.53343	0.0948704	-0.0170792	0.92715	0.873157	0.0661888
1	0	0.07	0.527762	0.0937126	-0.0195186	0.917299	0.855284	0.0615736
1	0	0.08	0.522395	0.0926085	-0.0218574	0.907971	0.838163	0.0573046
1	0	0.09	0.517307	0.0915546	-0.0241008	0.899127	0.82174	0.0533533
1	0	0.1	0.512477	0.090548	-0.0262536	0.890732	0.805968	0.0496938
1	0	0.11	0.507888	0.0895858	-0.0283202	0.882756	0.790803	0.0463025
1	0	0.12	0.503522	0.0886654	-0.0303047	0.875168	0.776205	0.0431581
1	0	0.13	0.499366	0.0877844	-0.0322111	0.867945	0.762138	0.0402409
1	0	0.14	0.495406	0.0869405	-0.0340431	0.861061	0.74857	0.0375331
1	0	0.15	0.491628	0.0861318	-0.0358041	0.854495	0.73547	0.0350186
1	0	0.16	0.488022	0.0853563	-0.0374975	0.848227	0.722811	0.0326823
1	0	0.17	0.484576	0.0846122	-0.0391262	0.842238	0.710567	0.0305107
1	0	0.18	0.481282	0.0838979	-0.0406932	0.836513	0.698714	0.0284914
1	0	0.19	0.478131	0.0832118	-0.0422013	0.831035	0.687232	0.0266127
1	0	0.2	0.475113	0.0825525	-0.0436531	0.825791	0.676101	0.0248643
1	0	0.21	0.472223	0.0819186	-0.0450509	0.820767	0.665301	0.0232365
1	0	0.22	0.469452	0.0813089	-0.0463972	0.81595	0.654815	0.0217205
1	0	0.23	0.466793	0.0807222	-0.0476941	0.81133	0.644629	0.020308
1	0	0.24	0.464242	0.0801574	-0.0489437	0.806896	0.634727	0.0189915
1	0	0.25	0.461792	0.0796134	-0.0501481	0.802638	0.625095	0.0177641
1	0	0.26	0.459439	0.0790893	-0.051309	0.798547	0.615721	0.0166195
1	0	0.27	0.457176	0.0785841	-0.0524283	0.794614	0.606592	0.0155517
1	0	0.28	0.455	0.0780971	-0.0535077	0.790832	0.597698	0.0145553
1	0	0.29	0.452906	0.0776273	-0.0545488	0.787193	0.589028	0.0136252
1	0	0.3	0.450891	0.0771741	-0.0555532	0.78369	0.580572	0.0127568
1	0	0.31	0.44895	0.0767367	-0.0565222	0.780317	0.572321	0.0119458
1	0	0.32	0.44708	0.0763143	-0.0574574	0.777067	0.564267	0.0111882
1	0	0.33	0.445278	0.0759065	-0.05836	0.773935	0.5564	0.0104803
1	0	0.34	0.443541	0.0755125	-0.0592313	0.770915	0.548715	0.00981879
1	0	0.35	0.441865	0.0751317	-0.0600726	0.768003	0.541202	0.00920036
1	0	0.36	0.440249	0.0747637	-0.0608849	0.765193	0.533857	0.00862214
1	0	0.37	0.438688	0.0744079	-0.0616694	0.76248	0.526671	0.00808138
1	0	0.38	0.437182	0.0740639	-0.0624271	0.759862	0.51964	0.00757556
1	0	0.39	0.435727	0.073731	-0.0631591	0.757333	0.512758	0.00710234
1	0	0.4	0.434321	0.073409	-0.0638664	0.75489	0.506018	0.00665952
1	0	0.41	0.432963	0.0730974	-0.0645497	0.752529	0.499416	0.00624507
1	0	0.42	0.43165	0.0727957	-0.0652101	0.750247	0.492948	0.00585711
1	0	0.43	0.43038	0.0725036	-0.0658484	0.748041	0.486607	0.00549389
1	0	0.44	0.429153	0.0722208	-0.0664653	0.745907	0.480391	0.00515377
1	0	0.45	0.427965	0.0719469	-0.0670617	0.743843	0.474295	0.00483523
1	0	0.46	0.426816	0.0716815	-0.0676384	0.741846	0.468315	0.00453685
1	0	0.47	0.425704	0.0714243	-0.0681959	0.739913	0.462447	0.00425731
1	0	0.48	0.424627	0.0711751	-0.068735	0.738041	0.456688	0.0039954
1	0	0.49	0.423585	0.0709335	-0.0692565	0.73623	0.451034	0.00374995
1	0	0.5	0.422575	0.0706993	-0.0697608	0.734475	0.445482	0.00351991
1	0	0.51	0.421597	0.0704722	-0.0702486	0.732775	0.440028	0.00330428
1	0	0.52	0.42065	0.070252	-0.0707205	0.731128	0.434671	0.00310213
1	0	0.53	0.419732	0.0700383	-0.071177	0.729533	0.429407	0.00291259
1	0	0.54	0.418842	0.0698311	-0.0716187	0.727986	0.424233	0.00273486
1	0	0.55	0.417979	0.06963	-0.0720461	0.726487	0.419146	0.00256818
1	0	0.56	0.417143	0.0694349	-0.0724597	0.725033	0.414145	0.00241184
1	0	0.57	0.416332	0.0692456	-0.07286	0.723623	0.409227	0.00226519
1	0	0.58	0.415545	0.0690618	-0.0732474	0.722256	0.40439	0.00212761
1	0	0.59	0.414782	0.0688833	-0.0736223	0.72093	0.399631	0.00199853
1	0	0.6	0.414042	0.0687101	-0.0739853	0.719643	0.394948	0.00187741
1	0	0.61	0.413323	0.0685418	-0.0743366	0.718394	0.39034	0.00176375
1	0	0.62	0.412626	0.0683785	-0.0746768	0.717182	0.385804	0.00165708
1	0	0.63	0.41195	0.0682198	-0.0750061	0.716006	0.381339	0.00155696
1	0	0.64	0.411293	0.0680657	-0.0753249	0.714865	0.376943	0.00146298
1	0	0.65	0.410655	0.0679159	-0.0756337	0.713756	0.372613	0.00137475
