# Filename: 3Dvlt_constT_1.010_Cc1.10_lmax10_dl0.001_Op1.dat
# Source: 3Dvlt_constT.c
# Source version: 9 (2011 Sep 02 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Tfrac=1.01, tempv=-0.01, Cc=1.1, K0c=0.296469, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=1000, a0=1, a03=1, a06=1
# Option values: Op=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0	G
1.01	-0.01	0	0.293534	0.0413052	0	1	1	0.0413052
1.01	-0.01	0.01	0.29499	0.0417054	-0.0012855	1.00496	0.994963	0.0392766
1.01	-0.01	0.02	0.296433	0.0421026	-0.002545	1.00988	0.989879	0.0373416
1.01	-0.01	0.03	0.29786	0.0424968	-0.00377881	1.01474	0.984749	0.0354963
1.01	-0.01	0.04	0.299272	0.0428879	-0.00498727	1.01955	0.979573	0.0337368
1.01	-0.01	0.05	0.300669	0.0432758	-0.00617072	1.02431	0.974354	0.0320595
1.01	-0.01	0.06	0.302051	0.0436606	-0.00732949	1.02902	0.969091	0.030461
1.01	-0.01	0.07	0.303417	0.0440421	-0.00846393	1.03367	0.963787	0.0289377
1.01	-0.01	0.08	0.304767	0.0444203	-0.00957438	1.03827	0.958442	0.0274865
1.01	-0.01	0.09	0.306101	0.0447951	-0.0106612	1.04281	0.953059	0.0261043
1.01	-0.01	0.1	0.307418	0.0451666	-0.0117247	1.0473	0.947638	0.0247879
1.01	-0.01	0.11	0.30872	0.0455346	-0.0127652	1.05173	0.94218	0.0235346
1.01	-0.01	0.12	0.310004	0.0458991	-0.0137832	1.05611	0.936687	0.0223415
1.01	-0.01	0.13	0.311272	0.0462601	-0.0147789	1.06043	0.93116	0.0212059
1.01	-0.01	0.14	0.312524	0.0466176	-0.0157527	1.06469	0.925601	0.0201253
1.01	-0.01	0.15	0.313758	0.0469715	-0.016705	1.0689	0.920011	0.0190972
1.01	-0.01	0.16	0.314975	0.0473219	-0.0176361	1.07305	0.914391	0.0181192
