# Filename: 3Dvlt_constT_0.700_Op11_Cc0.40_lmax100_dl1e-05.dat
# Source: 3Dvlt_constT.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=1, N=3, Tfrac=0.7, tempv=0.3, Cc=0.4, K0c=0.575343, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, ldatamax=1000, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac/a
1	0	0.69999999999999996	0.30000000000000004	                0	0.82191918521276885	0.038976090572862047	                0	                1	                1	0.038976090572862047	                1	0.88899121789413527
2	10000	0.69999999999999996	0.30000000000000004	0.099999999999993927	0.81116129335226927	0.028798186855878219	-0.0091926771098270587	0.98691125349785491	0.89299423044563686	0.015804780044916589	1.1051709180756408	0.88199136122967259
3	20000	0.69999999999999996	0.30000000000000004	0.20000000000005924	0.82439961506662962	0.021255930047848818	-0.01422723207111893	1.0030178512662637	0.82120156071783856	0.0064021630992204459	1.2214027581602422	0.8905999536528908
4	30000	0.69999999999999996	0.30000000000000004	0.30000000000015925	0.8552787722594436	0.015512224273646623	-0.016968076180948352	1.0405874295756206	0.77088612804185097	0.0025641534262752447	1.3498588075762181	0.91046785223061477
5	40000	0.69999999999999996	0.30000000000000004	0.40000000000025926	0.9010761458067239	0.011111301319413973	-0.018438292277310607	1.0963074740413363	0.73487687646841349	0.0010079945140776163	1.4918246976416571	0.93941371341603541
6	50000	0.69999999999999996	0.30000000000000004	0.50000000000035927	0.96071094353848585	0.0077704073826754113	-0.019210430067416812	1.1688630230596069	0.70895126048979162	0.00038686580360658147	1.6487212707007204	0.97623785198896595
7	60000	0.69999999999999996	0.30000000000000004	0.59999999999990417	1.0339374707346938	0.005262413847665199	-0.01960546894015815	1.2579551485551954	0.69038042321154691	0.00014378873537647548	1.8221188003903344	                1
8	70000	0.69999999999999996	0.30000000000000004	0.69999999999944906	1.1213661949974507	0.0033141640470546567	-0.019798050047025048	1.3643265848663266	0.67750453161691437	4.9697801563437677e-05	2.0137527074693669	                1
9	80000	0.69999999999999996	0.30000000000000004	0.79999999999899396	1.2240719558897777	0.0019004146036936084	-0.019884428300051663	1.4892850512704654	0.66917890936329483	1.5639931476756449e-05	2.2255409284902288	                1
10	90000	0.69999999999999996	0.30000000000000004	0.89999999999853886	1.342848073631453	0.00097696365940886298	-0.01991950136055624	1.6337957524179607	0.66425178314717703	4.4125354457498878e-06	2.4596031111533558	                1
11	100000	0.69999999999999996	0.30000000000000004	0.99999999999808376	1.4782229029765952	0.00044305321663688264	-0.019932196508562951	1.7985015188493625	0.66163173370156148	1.0982191251303312e-06	2.7182818284538364	                1
12	110000	0.69999999999999996	0.30000000000000004	1.0999999999987389	1.630655239560665	0.00017432909437677086	-0.01993622835143628	1.9839605509859708	0.66040309862177182	2.3715172800662377e-07	3.0041660239426444	                1
13	120000	0.69999999999999996	0.30000000000000004	1.199999999999394	1.8007918041866928	5.8503431926147577e-05	-0.019937333710113719	2.1909596911532425	0.65990437750870246	4.3677832017551735e-08	3.3201169227345355	                1
14	130000	0.69999999999999996	0.30000000000000004	1.3000000000000491	1.989663896287214	1.6447371325769897e-05	-0.019937590944266836	2.420753684891968	0.65973234223726873	6.7390633444350898e-09	3.6692966676194243	                1
15	140000	0.69999999999999996	0.30000000000000004	1.4000000000007042	2.1987536851848013	3.7999940810363873e-06	-0.019937640865630442	2.6751458351901269	0.65968284105845398	8.5449450089450257e-10	 4.05519996684753	                1
16	150000	0.69999999999999996	0.30000000000000004	1.5000000000013594	2.4299557065995865	7.0661377055387137e-07	-0.019937648792845132	2.9564411566455258	0.65967118875082853	8.7203066988291879e-11	4.4816890703441574	                1
17	160000	0.69999999999999996	0.30000000000000004	1.6000000000020145	2.6855074325987598	1.0335885412557287e-07	-0.019937649801737782	3.2673619023792067	0.65966899111742605	7.000364594982911e-12	4.9530324244050927	                1
18	170000	0.69999999999999996	0.30000000000000004	1.7000000000026696	2.967943254265847	1.1596039623734956e-08	-0.019937649902338248	3.6109915763768679	0.65966866649550471	4.310284882810846e-13	5.4739473917418131	                1
19	180000	0.69999999999999996	0.30000000000000004	1.8000000000033247	3.280084388976841	9.7039937174477885e-10	-0.019937649910003553	3.9907626540287304	0.65966862986498398	1.9795665293711812e-14	6.0496474644330593	                1
20	190000	0.69999999999999996	0.30000000000000004	1.9000000000039798	3.6250538586508365	5.8732624652800939e-11	-0.019937649910437654	4.4104748056372776	0.65966862679276195	6.5754020905031402e-16	6.6858944423058784	                1
21	200000	0.69999999999999996	0.30000000000000004	2.000000000004635	4.0063040999108912	2.4848350753380145e-12	-0.019937649910452618	4.8743284887233598	0.65966862660660885	1.5267354365450467e-17	7.3890560989648986	                1
22	210000	0.69999999999999996	0.30000000000000004	2.1000000000052901	4.4276507801362746	7.07700945593619e-14	-0.019937649910452618	5.3869660908208337	0.65966862659835823	2.3863783696806418e-19	8.1661699126108491	                1
23	220000	0.69999999999999996	0.30000000000000004	2.2000000000059452	4.8933108775998608	1.3015496211940842e-15	-0.019937649910452618	5.9535182602327712	0.65966862659769643	2.4086492876081277e-21	9.0250134994877769	                1
24	230000	0.69999999999999996	0.30000000000000004	2.3000000000066003	5.4079448750265637	1.4762303695321197e-17	-0.019937649910452618	6.579655241441551	0.659668626597261	1.4993060216870809e-23	9.9741824548805535	                1
25	240000	0.69999999999999996	0.30000000000000004	2.4000000000072554	5.9767034024355805	9.8141517939136198e-20	-0.019937649910452618	7.2716436238051809	0.65966862659682657	5.4703136922379015e-26	11.02317638072158	                1
26	250000	0.69999999999999996	0.30000000000000004	2.5000000000079106	6.6052787863356146	3.6154098183577805e-22	-0.019937649910452618	8.0364090596397464	0.65966862659639813	1.1059622529482358e-28	12.182493960799844	                1
27	260000	0.69999999999999996	0.30000000000000004	2.6000000000085657	7.2999620204401214	6.935906711998432e-25	-0.019937649910452618	8.8816055784734989	0.65966862659596504	1.1644191132986213e-31	13.463738035117016	                1
28	270000	0.69999999999999996	0.30000000000000004	2.7000000000092208	8.0677057280471907	6.4697689249886245e-28	-0.019937649910452618	9.8156921911473773	0.65966862659553471	5.9609868363427228e-35	14.879731725010037	                1
29	280000	0.69999999999999996	0.30000000000000004	2.8000000000098759	8.9161937462300926	2.7200617805523065e-31	-0.019937649910452618	10.848017550438335	0.65966862659510395	1.3754077661957065e-38	16.444646771259457	                1
30	290000	0.69999999999999996	0.30000000000000004	2.900000000010531	9.8539180282614751	4.7399532108017073e-35	-0.019937649910452618	11.988913515518691	0.65966862659467274	1.3153764723469919e-42	18.174145369634452	                1
31	300000	0.69999999999999996	0.30000000000000004	3.0000000000111862	10.890263633936026	3.120666140746373e-39	-0.019937649910452618	13.249798556675474	0.65966862659424763	4.7527682110387834e-47	20.085536923412349	                1
32	310000	0.69999999999999996	0.30000000000000004	3.1000000000118413	12.035602658402878	7.0071347083876592e-44	-0.019937649910452618	14.643292035198376	0.65966862659381342	5.8568365381424754e-52	22.197951281704487	                1
33	320000	0.69999999999999996	0.30000000000000004	3.2000000000124964	13.301398039580842	4.7920326491528512e-49	-0.019937649910452618	16.183340502190045	0.65966862659338266	2.1981924695884734e-57	24.532530197415916	                1
34	330000	0.69999999999999996	0.30000000000000004	3.3000000000131515	14.700318283093186	8.8081360005695675e-55	-0.019937649910452618	17.885357280336191	0.65966862659295078	2.217447110032231e-63	27.112638921014462	                1
35	340000	0.69999999999999996	0.30000000000000004	3.4000000000138066	16.246364252930373	3.7898418486990167e-61	-0.019937649910452618	19.766376725620177	0.65966862659252068	5.2361690127659236e-70	29.964100047810717	                1
36	350000	0.69999999999999996	0.30000000000000004	3.5000000000144618	17.955009296802434	3.2764787559333957e-68	-0.019937649910452618	21.84522471288275	0.65966862659208803	2.4844098155478842e-77	33.115451959171224	                1
37	360000	0.69999999999999996	0.30000000000000004	3.6000000000151169	19.843354108603897	4.8077719960978353e-76	-0.019937649910452618	24.142707051505411	0.65966862659165471	2.0007049854770712e-85	36.598234444231238	                1
38	370000	0.69999999999999996	0.30000000000000004	3.700000000015772	21.930297877905922	9.9362551176295456e-85	-0.019937649910452618	26.68181771694362	0.65966862659122183	2.2692651073066906e-94	40.447304360705324	                1
39	380000	0.69999999999999996	0.30000000000000004	3.8000000000164271	24.23672743939758	2.3535120149809002e-94	-0.019937649910452618	29.487968982161497	0.65966862659078607	2.9498656202080345e-104	44.701184494035132	                1
40	390000	0.69999999999999996	0.30000000000000004	3.9000000000170822	26.785726315348143	5.0872335986086307e-105	-0.019937649910452618	32.589245752201499	0.65966862659035097	3.4993775692587472e-115	49.402449106374078	                1
41	400000	0.69999999999999996	0.30000000000000004	4.0000000000177369	29.602805743256198	7.8013420885410405e-117	-0.019937649910452618	36.016686647353254	0.65966862658991587	2.9451116007055491e-127	54.598150034112642	                1
42	410000	0.69999999999999996	0.30000000000000004	4.1000000000139512	32.716160000889779	6.4258383655756931e-130	-0.019937649910452618	39.804594648098643	0.65966862659241876	1.3313294601103495e-140	60.340287598203787	                1
43	420000	0.69999999999999996	0.30000000000000004	4.2000000000101654	36.156948584093463	2.0902763145000249e-144	-0.019937649910452618	43.990880410868584	0.65966862659492198	2.3767459113976235e-155	66.68633104160304	                1
44	430000	0.69999999999999996	0.30000000000000004	4.3000000000063796	39.959608061496631	1.9115473387293598e-160	-0.019937649910452618	48.617441690635744	0.65966862659742043	1.1928543660826406e-171	73.699793700065968	                1
45	440000	0.69999999999999996	0.30000000000000004	4.4000000000025938	44.162196727267407	3.3755461093230266e-178	-0.019937649910452618	53.730582667729323	0.65966862659991965	1.1560316448617174e-189	81.450868665179385	                1
46	450000	0.69999999999999996	0.30000000000000004	4.4999999999988081	48.806775501311641	7.5996627547565152e-198	-0.019937649910452618	59.381477375634091	0.65966862660241932	1.4283785143645814e-209	90.017131300414519	                1
47	460000	0.69999999999999996	0.30000000000000004	4.5999999999950223	53.939828889096731	1.3787599634061356e-219	-0.019937649910452618	65.626681867917966	0.6596686266049181	1.4222009464115168e-231	99.484315641438599	                1
48	470000	0.69999999999999996	0.30000000000000004	4.6999999999912365	59.612730214206906	1.2140172053870742e-243	-0.019937649910452618	72.528700250226009	0.6596686266074212	6.8725902566663642e-256	109.94717245115999	                1
49	480000	0.69999999999999996	0.30000000000000004	4.7999999999874507	65.882255779831254	2.9623867010473898e-270	-0.019937649910452618	80.156610242376104	0.65966862660992176	9.2036622026706171e-283	121.51041751721002	                1
50	490000	0.69999999999999996	0.30000000000000004	4.899999999983665	72.811153105090284	1.0784096648169051e-299	-0.019937649910452618	 88.5867545313981	0.65966862661241488	1.8387640470085493e-312	134.28977968274185	                1
51	500000	0.69999999999999996	0.30000000000000004	4.9999999999798792	80.468768923298441	3.6560857792252244e-322	-0.019937649910452618	97.903504834806384	0.65966862661490633	                0	148.41315909959042	                1
52	510000	0.69999999999999996	0.30000000000000004	5.0999999999760934	88.931743227379187	3.3102398271363518e-322	-0.019937649910452618	108.20010632110696	0.65966862661740588	                0	164.02190729598055	                1
53	520000	0.69999999999999996	0.30000000000000004	5.1999999999723077	98.284776308670004	2.9643938750474793e-322	-0.019937649910452618	119.57961083877996	0.65966862661990056	                0	181.27224187013132	                1
54	530000	0.69999999999999996	0.30000000000000004	5.2999999999685219	108.6214764659122	2.6679544875427313e-322	-0.019937649910452618	132.15590829382276	0.65966862662239611	                0	200.33680996848545	                1
55	540000	0.69999999999999996	0.30000000000000004	5.3999999999647361	120.04529686856485	2.4209216646221081e-322	-0.019937649910452618	146.05486649820557	0.65966862662489512	                0	221.40641619637944	                1
56	550000	0.69999999999999996	0.30000000000000004	5.4999999999609503	132.67057095089527	2.1738888417014848e-322	-0.019937649910452618	161.41559089723773	0.65966862662739145	                0	244.69193225466526	                1
