T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
1	1e-08	14.2856	4.04835e+06	5.00017	6.75029e-06	-0.0532385	3.12484e-06	1.01079e-05	809642
1	1.25893e-08	14.131	3.46845e+06	5.00048	6.75209e-06	-0.0532385	3.64751e-06	1.17986e-05	693625
1	1.58489e-08	13.9763	2.97133e+06	5.00029	6.75098e-06	-0.0532385	4.2576e-06	1.37721e-05	594231
1	1.99526e-08	13.8216	2.54545e+06	5.0001	6.74987e-06	-0.0532385	4.96974e-06	1.60757e-05	509081
1	2.51189e-08	13.667	2.18084e+06	5.00041	6.75167e-06	-0.0532385	5.801e-06	1.87645e-05	436132
1	3.16228e-08	13.5123	1.86826e+06	5.00022	6.75057e-06	-0.0532385	6.77129e-06	2.19031e-05	373636
1	3.98107e-08	13.3576	1.60049e+06	5.00003	6.74946e-06	-0.0532385	7.90388e-06	2.55667e-05	320096
1	5.01187e-08	13.203	1.37123e+06	5.00033	6.75126e-06	-0.0532385	9.22591e-06	2.98431e-05	274228
1	6.30957e-08	13.0483	1.1747e+06	5.00014	6.75015e-06	-0.0532385	1.07691e-05	3.48348e-05	234932
1	7.94328e-08	12.8937	1.00643e+06	5.00045	6.75196e-06	-0.0532385	1.25703e-05	4.06613e-05	201268
1	1e-07	12.739	862180	5.00026	6.75085e-06	-0.0532385	1.46729e-05	4.74625e-05	172427
1	1.25893e-07	12.5843	738606	5.00007	6.74974e-06	-0.0532385	1.71271e-05	5.54012e-05	147719
1	1.58489e-07	12.4297	632806	5.00038	6.75155e-06	-0.0532385	1.99919e-05	6.46678e-05	126552
1	1.99526e-07	12.275	542107	5.00019	6.75044e-06	-0.0532384	2.33358e-05	7.54844e-05	108417
1	2.51189e-07	12.1203	464408	5	6.74934e-06	-0.0532384	2.7239e-05	8.81101e-05	92881.6
1	3.16228e-07	11.9657	397885	5.00031	6.75114e-06	-0.0532384	3.17951e-05	0.000102848	79572.1
1	3.98107e-07	11.811	340857	5.00012	6.75003e-06	-0.0532384	3.71132e-05	0.00012005	68169.8
0.999999	5.01187e-07	11.6564	292032	5.00043	6.75184e-06	-0.0532383	4.33209e-05	0.00014013	58401.4
0.999999	6.30957e-07	11.5017	250176	5.00024	6.75073e-06	-0.0532383	5.05669e-05	0.000163569	50032.7
0.999999	7.94328e-07	11.347	214319	5.00005	6.74963e-06	-0.0532383	5.90249e-05	0.000190928	42863.3
0.999999	1e-06	11.1924	183619	5.00036	6.75143e-06	-0.0532382	6.88976e-05	0.000222863	36721.2
0.999999	1.25893e-06	11.0377	157301	5.00017	6.75033e-06	-0.0532381	8.04216e-05	0.00026014	31459.2
0.999998	1.58489e-06	10.8831	134769	5.00048	6.75213e-06	-0.053238	9.38732e-05	0.000303652	26951.2
0.999998	1.99526e-06	10.7284	115453	5.0003	6.75103e-06	-0.0532379	0.000109575	0.000354442	23089.2
0.999997	2.51189e-06	10.5737	98905.4	5.00011	6.74993e-06	-0.0532377	0.000127903	0.000413727	19780.7
0.999997	3.16228e-06	10.4191	84738	5.00042	6.75174e-06	-0.0532375	0.000149296	0.000482928	16946.2
0.999996	3.98107e-06	10.2644	72592.7	5.00023	6.75065e-06	-0.0532373	0.000174268	0.000563704	14517.9
0.999995	5.01187e-06	10.1097	62188.1	5.00004	6.74956e-06	-0.053237	0.000203417	0.00065799	12437.5
0.999994	6.30957e-06	9.9551	53280.2	5.00035	6.75138e-06	-0.0532366	0.000237441	0.000768047	10655.3
0.999992	7.94328e-06	9.8004	45643.6	5.00017	6.75029e-06	-0.0532361	0.000277156	0.000896513	9128.42
0.99999	1e-05	9.6458	39105.5	5.00048	6.75212e-06	-0.0532355	0.000323515	0.00104647	7820.35
0.999987	1.25893e-05	9.4911	33500.6	5.0003	6.75105e-06	-0.0532347	0.000377627	0.0012215	6699.72
0.999984	1.58489e-05	9.3364	28699.1	5.00012	6.74998e-06	-0.0532337	0.000440791	0.00142581	5739.68
0.99998	1.99526e-05	9.1818	24588.1	5.00043	6.75184e-06	-0.0532324	0.00051452	0.00166429	4917.2
0.999975	2.51189e-05	9.0271	21064	5.00026	6.7508e-06	-0.0532308	0.000600582	0.00194266	4212.58
0.999968	3.16228e-05	8.8724	18044.9	5.00008	6.74978e-06	-0.0532289	0.00070104	0.00226759	3608.92
0.99996	3.98107e-05	8.7178	15460.1	5.00041	6.75169e-06	-0.0532264	0.000818301	0.00264686	3091.77
0.99995	5.01187e-05	8.5631	13244.3	5.00024	6.75072e-06	-0.0532232	0.000955177	0.00308956	2648.72
0.999937	6.30957e-05	8.4084	11346	5.00008	6.74979e-06	-0.0532193	0.00111495	0.00360631	2269.16
0.999921	7.94328e-05	8.2538	9720.76	5.00043	6.7518e-06	-0.0532143	0.00130145	0.00420947	1943.99
0.9999	0.0001	8.0991	8327.51	5.00029	6.75097e-06	-0.053208	0.00151915	0.00491351	1665.41
0.999874	0.000125893	7.9444	7133.94	5.00015	6.7502e-06	-0.0532002	0.00177327	0.00573528	1426.74
0.999842	0.000158489	7.7897	6111.45	5.00004	6.74952e-06	-0.0531902	0.0020699	0.00669446	1222.28
0.9998	0.000199526	7.6351	5236.03	5.00044	6.75186e-06	-0.0531778	0.00241616	0.00781402	1047.11
0.999749	0.000251189	7.4804	4485.56	5.00037	6.75143e-06	-0.0531621	0.00282037	0.00912077	897.047
0.999684	0.000316228	7.3257	3842.66	5.00032	6.75117e-06	-0.0531423	0.00329221	0.010646	768.481
0.999602	0.000398107	7.171	3291.9	5.00032	6.75113e-06	-0.0531175	0.00384301	0.0124261	658.337
0.999499	0.000501187	7.0163	2820.08	5.00036	6.75136e-06	-0.0530863	0.00448602	0.0145037	563.974
0.999369	0.000630957	6.8616	2415.88	5.00047	6.75193e-06	-0.0530471	0.00523667	0.0169284	483.131
0.999206	0.000794328	6.7068	2069.41	5.00014	6.75001e-06	-0.0529978	0.00611303	0.0197581	413.87
0.999	0.001	6.5521	1772.81	5.00042	6.75153e-06	-0.052936	0.00713617	0.0230603	354.532
0.998741	0.00125893	6.3973	1518.56	5.00031	6.75081e-06	-0.0528583	0.00833076	0.0269137	303.694
0.998415	0.00158489	6.2425	1300.78	5.00035	6.75091e-06	-0.0527608	0.00972562	0.0314097	260.138
0.998005	0.00199526	6.0876	1114.12	5.00008	6.74912e-06	-0.0526387	0.0113544	0.036655	222.82
0.997488	0.00251189	5.9327	954.244	5.00004	6.74861e-06	-0.0524856	0.0132567	0.0427738	190.847
0.996838	0.00316228	5.7778	817.311	5.0003	6.74966e-06	-0.0522942	0.0154785	0.0499102	163.452
0.996019	0.00398107	5.6228	699.957	5.00043	6.74973e-06	-0.0520549	0.0180741	0.0582316	139.979
0.994988	0.00501187	5.4676	599.334	5.00002	6.74637e-06	-0.0517562	0.0211068	0.0679323	119.866
0.99369	0.00630957	5.3124	513.176	5.00019	6.74592e-06	-0.0513842	0.0246513	0.0792367	102.631
0.992057	0.00794328	5.157	439.316	5.00008	6.74317e-06	-0.0509215	0.0287952	0.0924043	87.8618
