T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
0.99999	1e-05	0.2	3.09015	0.739868	0.0233336	0.739868	0.989313	3.41953
0.99999	1e-05	0.4	3.77432	0.732989	0.0219164	0.732989	0.980115	3.45162
0.99999	1e-05	0.6	4.60996	0.727002	0.0206684	0.727002	0.972109	3.48005
0.99999	1e-05	0.8	5.63062	0.72174	0.0195604	0.72174	0.965074	3.50542
0.99999	1e-05	1	6.87725	0.717078	0.0185694	0.717078	0.958839	3.52821
0.99999	1e-05	1.2	8.3999	0.712915	0.0176775	0.712915	0.953273	3.54881
0.99999	1e-05	1.4	10.2597	0.709175	0.0168702	0.709175	0.948272	3.56752
0.99999	1e-05	1.6	12.5312	0.705796	0.0161358	0.705796	0.943753	3.58461
0.99999	1e-05	1.8	15.3056	0.702726	0.0154647	0.702726	0.939648	3.60027
0.99999	1e-05	2	18.6943	0.699924	0.0148487	0.699924	0.935902	3.61468
0.99999	1e-05	2.2	22.8333	0.697357	0.0142814	0.697357	0.932469	3.62799
0.99999	1e-05	2.4	27.8886	0.694995	0.013757	0.694995	0.929311	3.64032
0.99999	1e-05	2.6	34.0633	0.692814	0.0132708	0.692814	0.926395	3.65177
0.99999	1e-05	2.8	41.605	0.690795	0.0128186	0.690795	0.923695	3.66245
0.99999	1e-05	3	50.8164	0.688919	0.012397	0.688919	0.921186	3.67242
0.99999	1e-05	3.2	62.0673	0.687172	0.0120029	0.687172	0.91885	3.68176
0.99999	1e-05	3.4	75.8092	0.68554	0.0116337	0.68554	0.916668	3.69052
0.99999	1e-05	3.6	92.5935	0.684013	0.011287	0.684013	0.914626	3.69876
0.99999	1e-05	3.8	113.094	0.68258	0.0109609	0.68258	0.91271	3.70653
0.99999	1e-05	4	138.133	0.681233	0.0106534	0.681233	0.910909	3.71385
0.99999	1e-05	4.2	168.716	0.679964	0.0103631	0.679964	0.909213	3.72078
0.99999	1e-05	4.4	206.071	0.678767	0.0100885	0.678767	0.907612	3.72734
0.99999	1e-05	4.6	251.695	0.677636	0.00982838	0.677636	0.9061	3.73357
0.99999	1e-05	4.8	307.421	0.676565	0.00958157	0.676565	0.904668	3.73948
0.99999	1e-05	5	375.485	0.67555	0.00934709	0.67555	0.90331	3.7451
0.99999	1e-05	5.2	458.619	0.674586	0.00912402	0.674586	0.902021	3.75045
