T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
0.205672	0.794328	1.0001	6.87794	3.63615	1.30098e-12	3.63615	1	0.695791
0.369043	0.630957	1.0001	6.87794	2.02647	5.76099e-07	2.02647	1	1.24848
0.498813	0.501187	1.0001	6.87794	1.49925	4.07162e-05	1.49925	0.999987	1.68751
0.601893	0.398107	1.0001	6.87794	1.24227	0.000324064	1.24227	0.999813	2.03659
0.683772	0.316228	1.0001	6.87794	1.09272	0.00107957	1.09272	0.999086	2.31533
0.748811	0.251189	1.0001	6.87794	0.996165	0.00233264	0.996165	0.997442	2.53974
0.800474	0.199526	1.0001	6.87794	0.92942	0.00394334	0.92942	0.994817	2.72213
0.841511	0.158489	1.0001	6.87794	0.881086	0.00572672	0.881086	0.991429	2.87146
0.874107	0.125893	1.0001	6.87794	0.84497	0.0075243	0.84497	0.98762	2.99419
0.9	0.1	1.0001	6.87794	0.817419	0.00922628	0.817419	0.983719	3.09511
0.920567	0.0794328	1.0001	6.87794	0.796115	0.010769	0.796115	0.979975	3.17793
0.936904	0.0630957	1.0001	6.87794	0.779494	0.0121243	0.779494	0.976544	3.24569
0.949881	0.0501187	1.0001	6.87794	0.766453	0.0132876	0.766453	0.973506	3.30092
0.960189	0.0398107	1.0001	6.87794	0.756182	0.0142689	0.756182	0.970883	3.34576
0.968377	0.0316228	1.0001	6.87794	0.748071	0.0150858	0.748071	0.96866	3.38203
0.974881	0.0251189	1.0001	6.87794	0.741656	0.0157591	0.741656	0.966803	3.41129
0.980047	0.0199526	1.0001	6.87794	0.736576	0.0163095	0.736576	0.965269	3.43481
0.984151	0.0158489	1.0001	6.87794	0.73255	0.0167568	0.73255	0.964012	3.45369
0.987411	0.0125893	1.0001	6.87794	0.729357	0.0171185	0.729357	0.96299	3.46881
0.99	0.01	1.0001	6.87794	0.726824	0.0174099	0.726824	0.962162	3.4809
0.992057	0.00794328	1.0001	6.87794	0.724814	0.017644	0.724814	0.961494	3.49055
0.99369	0.00630957	1.0001	6.87794	0.723218	0.0178316	0.723218	0.960958	3.49825
0.994988	0.00501187	1.0001	6.87794	0.721952	0.0179817	0.721952	0.960528	3.50439
0.996019	0.00398107	1.0001	6.87794	0.720946	0.0181016	0.720946	0.960183	3.50928
0.996838	0.00316228	1.0001	6.87794	0.720148	0.0181972	0.720148	0.959908	3.51317
0.997488	0.00251189	1.0001	6.87794	0.719513	0.0182734	0.719513	0.959689	3.51627
0.998005	0.00199526	1.0001	6.87794	0.71901	0.0183342	0.71901	0.959514	3.51873
0.998415	0.00158489	1.0001	6.87794	0.71861	0.0183825	0.71861	0.959374	3.52069
0.998741	0.00125893	1.0001	6.87794	0.718292	0.018421	0.718292	0.959263	3.52224
0.999	0.001	1.0001	6.87794	0.71804	0.0184516	0.71804	0.959175	3.52348
1.00126	-0.00125893	1.0001	6.87794	0.71584	0.0187202	0.71584	0.958398	3.53431
1.00158	-0.00158489	1.0001	6.87794	0.715522	0.0187591	0.715522	0.958285	3.53588
1.002	-0.00199526	1.0001	6.87794	0.715123	0.0188083	0.715123	0.958142	3.53785
1.00251	-0.00251189	1.0001	6.87794	0.71462	0.0188704	0.71462	0.957962	3.54034
1.00316	-0.00316228	1.0001	6.87794	0.713987	0.0189487	0.713987	0.957735	3.54348
1.00398	-0.00398107	1.0001	6.87794	0.71319	0.0190476	0.71319	0.957447	3.54744
1.00501	-0.00501187	1.0001	6.87794	0.712188	0.0191728	0.712188	0.957083	3.55243
1.00631	-0.00630957	1.0001	6.87794	0.710926	0.0193311	0.710926	0.956621	3.55874
1.00794	-0.00794328	1.0001	6.87794	0.709338	0.0195319	0.709338	0.956034	3.5667
1.01	-0.01	1.0001	6.87794	0.707341	0.0197868	0.707341	0.955287	3.57678
1.01259	-0.0125893	1.0001	6.87794	0.704827	0.0201113	0.704827	0.954333	3.58953
1.01585	-0.0158489	1.0001	6.87794	0.701665	0.0205254	0.701665	0.95311	3.60571
1.01995	-0.0199526	1.0001	6.87794	0.697688	0.0210557	0.697688	0.951536	3.62626
1.02512	-0.0251189	1.0001	6.87794	0.692686	0.0217378	0.692686	0.949499	3.65245
1.03162	-0.0316228	1.0001	6.87794	0.686395	0.0226197	0.686395	0.946845	3.68592
1.03981	-0.0398107	1.0001	6.87794	0.678484	0.0237675	0.678484	0.94336	3.7289
1.05012	-0.0501187	1.0001	6.87794	0.668532	0.0252738	0.668532	0.938738	3.78441
1.0631	-0.0630957	1.0001	6.87794	0.65601	0.0272702	0.65601	0.932538	3.85665
1.07943	-0.0794328	1.0001	6.87794	0.640241	0.0299488	0.640241	0.924108	3.95164
1.1	-0.1	1.0001	6.87794	0.62036	0.0335961	0.62036	0.912473	4.07828
1.12589	-0.125893	1.0001	6.87794	0.595251	0.0386513	0.595251	0.896151	4.25031
1.15849	-0.158489	1.0001	6.87794	0.563481	0.0458065	0.563481	0.872882	4.48994
1.19953	-0.199526	1.0001	6.87794	0.523246	0.0561838	0.523246	0.839265	4.8352
1.25119	-0.251189	1.0001	6.87794	0.472446	0.0716498	0.472446	0.790422	5.35511
1.31623	-0.316228	1.0001	6.87794	0.409197	0.0953643	0.409197	0.72019	6.18284
1.39811	-0.398107	1.0001	6.87794	0.333334	0.132653	0.333334	0.623166	7.58999
1.50119	-0.501187	1.0001	6.87794	0.249239	0.192091	0.249239	0.500304	10.1509
1.63096	-0.630957	1.0001	6.87794	0.167774	0.285989	0.167774	0.365889	15.0798
1.79433	-0.794328	1.0001	6.87794	0.10199	0.428808	0.10199	0.244706	24.8063
2	-1	1.0001	6.87794	0.0579206	0.633285	0.0579206	0.154898	43.6805
