T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
2	-1	0.2	3.09015	0.292221	0.191272	0.292221	0.781494	8.65782
2	-1	0.4	3.77432	0.218443	0.243145	0.218443	0.584187	11.582
2	-1	0.6	4.60996	0.152942	0.322943	0.152942	0.409015	16.5423
2	-1	0.8	5.63062	0.0985379	0.445474	0.0985379	0.263522	25.6754
2	-1	1	6.87725	0.0579373	0.63317	0.0579373	0.154943	43.6679
2	-1	1.2	8.3999	0.0312586	0.919101	0.0312586	0.0835956	80.9377
2	-1	1.4	10.2597	0.0157413	1.35169	0.0157413	0.0420973	160.724
2	-1	1.6	12.5312	0.00755584	2.00237	0.00755584	0.0202068	334.84
2	-1	1.8	15.3056	0.00352025	2.97726	0.00352025	0.00941427	718.7
2	-1	2	18.6943	0.00161225	4.43473	0.00161225	0.00431168	1569.23
2	-1	2.2	22.8333	0.000731572	6.61121	0.000731572	0.00195646	3458.31
2	-1	2.4	27.8886	0.000330345	9.85963	0.000330345	0.000883449	7658.66
2	-1	2.6	34.0633	0.000148799	14.7067	0.000148799	0.000397936	17002.8
2	-1	2.8	41.605	6.69404e-05	21.9385	6.69404e-05	0.00017902	37794.8
2	-1	3	50.8164	3.0096e-05	32.7274	3.0096e-05	8.04865e-05	84064.3
2	-1	3.2	62.0673	1.35269e-05	48.8229	1.35269e-05	3.61752e-05	187035
2	-1	3.4	75.8092	6.07886e-06	72.8348	6.07886e-06	1.62568e-05	416197
2	-1	3.6	92.5935	2.73159e-06	108.656	2.73159e-06	7.30515e-06	926201
2	-1	3.8	113.094	1.22742e-06	162.096	1.22742e-06	3.28252e-06	2.06123e+06
2	-1	4	138.133	5.51524e-07	241.819	5.51524e-07	1.47495e-06	4.58729e+06
2	-1	4.2	168.716	2.47817e-07	360.751	2.47817e-07	6.62744e-07	1.02091e+07
2	-1	4.4	206.071	1.11352e-07	538.178	1.11352e-07	2.97791e-07	2.27208e+07
2	-1	4.6	251.695	5.00337e-08	802.867	5.00337e-08	1.33806e-07	5.05659e+07
2	-1	4.8	307.421	2.24816e-08	1197.74	2.24816e-08	6.01231e-08	1.12536e+08
2	-1	5	375.485	1.01016e-08	1786.81	1.01016e-08	2.70151e-08	2.50454e+08
2	-1	5.2	458.619	4.53896e-09	2665.61	4.53896e-09	1.21387e-08	5.57396e+08
2	-1	5.4	560.158	2.03949e-09	3976.62	2.03949e-09	5.45425e-09	1.24051e+09
2	-1	5.6	684.179	9.16401e-10	5932.43	9.16401e-10	2.45075e-09	2.7608e+09
2	-1	5.8	835.658	4.11765e-10	8850.14	4.11765e-10	1.10119e-09	6.14427e+09
2	-1	6	1020.67	1.85018e-10	13202.9	1.85018e-10	4.94798e-10	1.36743e+10
2	-1	6.2	1246.66	8.3134e-11	19696.4	8.3134e-11	2.22327e-10	3.04328e+10
2	-1	6.4	1522.67	3.73545e-11	29383.5	3.73545e-11	9.9898e-11	6.77294e+10
2	-1	6.6	1859.79	1.67845e-11	43835	1.67845e-11	4.48871e-11	1.50735e+11
2	-1	6.8	2271.55	7.54175e-12	65394.2	7.54175e-12	2.01691e-11	3.35466e+11
2	-1	7	2774.48	3.38873e-12	97556.7	3.38873e-12	9.06255e-12	7.46593e+11
2	-1	7.2	3388.76	1.52265e-12	145537	1.52265e-12	4.07206e-12	1.66157e+12
2	-1	7.4	4139.04	6.84172e-13	217116	6.84172e-13	1.8297e-12	3.6979e+12
2	-1	7.6	5055.44	3.07418e-13	323900	3.07418e-13	8.22136e-13	8.22983e+12
2	-1	7.8	6174.72	1.38132e-13	483201	1.38132e-13	3.69409e-13	1.83158e+13
2	-1	8	7541.82	6.20667e-14	720852	6.20667e-14	1.65986e-13	4.07626e+13
2	-1	8.2	9211.6	2.78884e-14	1.07538e+06	2.78884e-14	7.45825e-14	9.07189e+13
2	-1	8.4	11251.1	1.2531e-14	1.60428e+06	1.2531e-14	3.35121e-14	2.01899e+14
2	-1	8.6	13742.1	5.63056e-15	2.39331e+06	5.63056e-15	1.50579e-14	4.49333e+14
2	-1	8.8	16784.6	2.52997e-15	3.5704e+06	2.52997e-15	6.76597e-15	1.00001e+15
2	-1	9	20500.8	1.13679e-15	5.32641e+06	1.13679e-15	3.04015e-15	2.22556e+15
2	-1	9.2	25039.7	5.10793e-16	7.94608e+06	5.10793e-16	1.36603e-15	4.95308e+15
