T/Tc	1-T/Tc	l	K	y	a	Kr/K0	a0/Kr
1	1e-08	100	0.639695	0.000760774	6.80094e+43	3.18206e-44	1.06315e+44
1	1.25893e-08	100	0.639695	0.000760767	6.80094e+43	3.18206e-44	1.06315e+44
1	1.58489e-08	100	0.639695	0.000760758	6.80094e+43	3.18206e-44	1.06315e+44
1	1.99526e-08	100	0.639695	0.000760748	6.80094e+43	3.18206e-44	1.06315e+44
1	2.51189e-08	100	0.639695	0.000760734	6.80094e+43	3.18206e-44	1.06315e+44
1	3.16228e-08	100	0.639696	0.000760717	6.80094e+43	3.18206e-44	1.06315e+44
1	3.98107e-08	100	0.639696	0.000760695	6.80094e+43	3.18206e-44	1.06315e+44
1	5.01187e-08	100	0.639696	0.000760668	6.80094e+43	3.18207e-44	1.06315e+44
1	6.30957e-08	100	0.639696	0.000760633	6.80094e+43	3.18207e-44	1.06315e+44
1	7.94328e-08	100	0.639697	0.00076059	6.80094e+43	3.18207e-44	1.06315e+44
1	1e-07	100	0.639697	0.000760535	6.80094e+43	3.18207e-44	1.06315e+44
1	1.25893e-07	100	0.639698	0.000760467	6.80094e+43	3.18207e-44	1.06315e+44
1	1.58489e-07	100	0.639698	0.00076038	6.80094e+43	3.18208e-44	1.06315e+44
1	1.99526e-07	100	0.639699	0.000760272	6.80094e+43	3.18208e-44	1.06315e+44
1	2.51189e-07	100	0.6397	0.000760135	6.80094e+43	3.18209e-44	1.06314e+44
1	3.16228e-07	100	0.639702	0.000759963	6.80094e+43	3.18209e-44	1.06314e+44
1	3.98107e-07	100	0.639703	0.000759746	6.80094e+43	3.1821e-44	1.06314e+44
0.999999	5.01187e-07	100	0.639706	0.000759473	6.80094e+43	3.18211e-44	1.06314e+44
0.999999	6.30957e-07	100	0.639708	0.00075913	6.80094e+43	3.18213e-44	1.06313e+44
0.999999	7.94328e-07	100	0.639712	0.000758699	6.80094e+43	3.18214e-44	1.06313e+44
0.999999	1e-06	100	0.639716	0.000758156	6.80094e+43	3.18216e-44	1.06312e+44
0.999999	1.25893e-06	100	0.639722	0.000757473	6.80094e+43	3.18219e-44	1.06311e+44
0.999998	1.58489e-06	100	0.639729	0.000756615	6.80094e+43	3.18222e-44	1.0631e+44
0.999998	1.99526e-06	100	0.639737	0.000755536	6.80094e+43	3.18226e-44	1.06308e+44
0.999997	2.51189e-06	100	0.639748	0.000754181	6.80094e+43	3.18232e-44	1.06306e+44
0.999997	3.16228e-06	100	0.639762	0.00075248	6.80094e+43	3.18238e-44	1.06304e+44
0.999996	3.98107e-06	100	0.639779	0.000750347	6.80094e+43	3.18247e-44	1.06301e+44
0.999995	5.01187e-06	100	0.639801	0.000747672	6.80094e+43	3.18257e-44	1.06298e+44
0.999994	6.30957e-06	100	0.639828	0.000744324	6.80094e+43	3.1827e-44	1.06293e+44
0.999992	7.94328e-06	100	0.639862	0.000740138	6.80094e+43	3.18287e-44	1.06288e+44
0.99999	1e-05	100	0.639905	0.000734915	6.80094e+43	3.18307e-44	1.0628e+44
0.999987	1.25893e-05	100	0.639958	0.000728411	6.80094e+43	3.18333e-44	1.06272e+44
0.999984	1.58489e-05	100	0.640025	0.000720336	6.80094e+43	3.18365e-44	1.0626e+44
0.99998	1.99526e-05	100	0.640108	0.000710344	6.80094e+43	3.18405e-44	1.06247e+44
0.999975	2.51189e-05	100	0.640212	0.000698034	6.80094e+43	3.18455e-44	1.06229e+44
0.999968	3.16228e-05	100	0.64034	0.00068295	6.80094e+43	3.18517e-44	1.06208e+44
0.99996	3.98107e-05	100	0.640499	0.000664588	6.80094e+43	3.18594e-44	1.06182e+44
0.99995	5.01187e-05	100	0.640695	0.000642418	6.80094e+43	3.18688e-44	1.06149e+44
0.999937	6.30957e-05	100	0.640935	0.000615917	6.80094e+43	3.18803e-44	1.0611e+44
0.999921	7.94328e-05	100	0.641227	0.000584621	6.80094e+43	3.18943e-44	1.06061e+44
0.9999	0.0001	100	0.641581	0.000548201	6.80094e+43	3.19112e-44	1.06003e+44
0.999874	0.000125893	100	0.642006	0.000506557	6.80094e+43	3.19315e-44	1.05933e+44
0.999842	0.000158489	100	0.642512	0.000459919	6.80094e+43	3.19557e-44	1.05849e+44
0.9998	0.000199526	100	0.64311	0.000408952	6.80094e+43	3.19841e-44	1.05751e+44
0.999749	0.000251189	100	0.64381	0.00035481	6.80094e+43	3.20172e-44	1.05636e+44
0.999684	0.000316228	100	0.644622	0.000299141	6.80094e+43	3.20556e-44	1.05503e+44
0.999602	0.000398107	100	0.645557	0.000243979	6.80094e+43	3.20994e-44	1.0535e+44
0.999499	0.000501187	100	0.646626	0.000191549	6.80094e+43	3.21493e-44	1.05176e+44
0.999369	0.000630957	100	0.647842	0.000143982	6.80094e+43	3.22055e-44	1.04978e+44
0.999206	0.000794328	100	0.649219	0.000103	6.80094e+43	3.22687e-44	1.04756e+44
0.999	0.001	100	0.650774	6.96605e-05	6.80094e+43	3.23394e-44	1.04505e+44
0.998741	0.00125893	100	0.652529	4.42106e-05	6.80094e+43	3.24181e-44	1.04224e+44
0.998415	0.00158489	100	0.654507	2.61098e-05	6.80094e+43	3.25058e-44	1.03909e+44
0.998005	0.00199526	100	0.656739	1.42124e-05	6.80094e+43	3.26033e-44	1.03556e+44
0.997488	0.00251189	100	0.659257	7.05294e-06	6.80094e+43	3.27113e-44	1.03161e+44
0.996838	0.00316228	100	0.662101	3.15107e-06	6.80094e+43	3.2831e-44	1.02718e+44
0.996019	0.00398107	100	0.665315	1.24923e-06	6.80094e+43	3.29633e-44	1.02221e+44
0.994988	0.00501187	100	0.668951	4.32159e-07	6.80094e+43	3.31091e-44	1.01666e+44
0.99369	0.00630957	100	0.673071	1.27932e-07	6.80094e+43	3.32696e-44	1.01043e+44
0.992057	0.00794328	100	0.677745	3.16751e-08	6.80094e+43	3.34455e-44	1.00347e+44
