Cc	K0c	A' (from fit_vlt_ThermStates_Dexp100_A_RhosoRhoVsTvNu.gnu see plot_vlt_ThermStates_Dexp100_A_RhosoRhoVsTvNu.ps)
1.20	0.2805443089652032	2.54449351967991
1.10	0.2964689389987730	2.45468784745952
1.06	0.3035407129346564	2.41655181997362
1.05	0.3053794236011743	2.40680717732104
1.04	0.3072479227697506	2.39696907910705
1.03	0.3091469984216724	2.38704286253215
1.02	0.3110774675059972	2.37703142847134
1.01	0.3130401773072950	2.36691782727221
1.00	0.3150360068926113	2.35672123054231
0.99	0.3170658686428607	2.34642163430972
0.98	0.3191307098748213	2.33602284656519
0.97	0.3212315145597378	2.32552885095095
0.90	0.3370353710663317	2.24916096966919
0.80	0.3636228655823348	2.13018349108229
0.70	0.3965669728967915	1.99738344598232
0.60	0.4387310072100324	1.8475207783541
0.55	0.4646970470439853	1.76483851155854
0.50	0.4951082899772941	1.67604460633597
0.40	0.5753434296585114	1.47624816141727
0.30	0.7010909420810506	1.23754017127143
0.20	0.9346549781449002	0.941307318611049
0.10	1.576187055119773	0.54804392773075
0.00	5.105045166053435	*
