T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
0.205672	0.794328	0.9443	6.50466	5.00023	8.37869e-13	-4.21809e-12	1.94485	1	1.30087	8.6826	1.31396
0.292054	0.707946	1.295	9.23702	5.00043	2.24087e-10	-7.39522e-09	1.36961	1	1.84724	8.68263	1.31404
0.369043	0.630957	1.5289	11.6711	5.00003	3.10779e-09	-3.24546e-07	1.08388	0.999991	2.33422	8.68262	1.31417
0.437659	0.562341	1.6995	13.8422	5.00004	1.45932e-08	-3.17989e-06	0.913881	0.99992	2.76841	8.68232	1.31426
0.498813	0.501187	1.8306	15.7812	5.00028	4.08544e-08	-1.46049e-05	0.801632	0.99966	3.15606	8.68142	1.31425
0.553316	0.446684	1.9349	17.5161	5.00021	8.5531e-08	-4.3335e-05	0.722224	0.999047	3.50307	8.67992	1.31411
0.601893	0.398107	2.0202	19.0758	5.0004	1.49377e-07	-9.76313e-05	0.663197	0.997934	3.81485	8.67793	1.31387
0.645187	0.354813	2.0913	20.4814	5.00008	2.30878e-07	-0.000182926	0.617642	0.996236	4.09622	8.6749	1.31342
0.683772	0.316228	2.1517	21.7566	5.00003	3.27875e-07	-0.00030153	0.581435	0.993923	4.3513	8.66889	1.31248
0.718162	0.281838	2.2038	22.9202	5.00042	4.38665e-07	-0.000453969	0.55196	0.990992	4.58366	8.65663	1.31056
0.748811	0.251189	2.2492	23.9848	5.00047	5.62395e-07	-0.000640796	0.527468	0.987435	4.7965	8.63418	1.30706
0.776128	0.223872	2.2893	24.9661	5.00042	6.99812e-07	-0.000863915	0.50673	0.983217	4.9928	8.59786	1.30145
0.800474	0.199526	2.3252	25.8787	5.00027	8.52565e-07	-0.00112703	0.488846	0.978271	5.17545	8.54513	1.29334
0.822172	0.177828	2.3579	26.7389	5.00048	1.02297e-06	-0.00143531	0.473139	0.972504	5.34726	8.475	1.28258
0.841511	0.158489	2.388	27.556	5.00024	1.2119e-06	-0.00179451	0.459088	0.965818	5.51093	8.38821	1.2693
0.858746	0.141254	2.4163	28.3469	5.0004	1.42057e-06	-0.00220982	0.446292	0.958129	5.66893	8.28697	1.25383
0.874107	0.125893	2.4432	29.1198	5.00045	1.64732e-06	-0.00268464	0.434451	0.949393	5.82344	8.17458	1.23668
0.887798	0.112202	2.469	29.8809	5.00001	1.88854e-06	-0.00321948	0.423348	0.93962	5.97616	8.05498	1.21844
0.9	0.1	2.4942	30.6435	5.00035	2.14161e-06	-0.00381115	0.412841	0.928892	6.12827	7.93223	1.19974
0.910875	0.0891251	2.5187	31.4035	5.00034	2.39892e-06	-0.00445249	0.402849	0.917362	6.28028	7.81015	1.18115
0.920567	0.0794328	2.5426	32.1631	5.00041	2.65487e-06	-0.0051327	0.39334	0.905241	6.43209	7.69202	1.16317
