T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
1	1e-08	7.0001	2774.76	0.387635	0.0623702	-0.0532385	0.000353442	0.00114328	7158.18
1	1.25893e-08	7.0001	2774.76	0.387668	0.0623571	-0.0532385	0.000353472	0.00114338	7157.57
1	1.58489e-08	7.0001	2774.76	0.387709	0.0623406	-0.0532385	0.00035351	0.0011435	7156.81
1	1.99526e-08	7.0001	2774.76	0.387761	0.0623197	-0.0532385	0.000353557	0.00114365	7155.85
1	2.51189e-08	7.0001	2774.76	0.387826	0.0622936	-0.0532385	0.000353617	0.00114385	7154.64
1	3.16228e-08	7.0001	2774.76	0.387909	0.0622606	-0.0532385	0.000353692	0.00114409	7153.12
1	3.98107e-08	7.0001	2774.76	0.388013	0.0622191	-0.0532385	0.000353786	0.0011444	7151.21
1	5.01187e-08	7.0001	2774.76	0.388143	0.062167	-0.0532385	0.000353906	0.00114478	7148.8
1	6.30957e-08	7.0001	2774.76	0.388308	0.0621014	-0.0532385	0.000354056	0.00114527	7145.77
1	7.94328e-08	7.0001	2774.76	0.388515	0.0620189	-0.0532385	0.000354244	0.00114588	7141.96
1	1e-07	7.0001	2774.76	0.388776	0.0619152	-0.0532385	0.000354482	0.00114665	7137.17
1	1.25893e-07	7.0001	2774.76	0.389104	0.061785	-0.0532385	0.000354782	0.00114762	7131.14
1	1.58489e-07	7.0001	2774.76	0.389518	0.0616214	-0.0532385	0.000355159	0.00114884	7123.57
1	1.99526e-07	7.0001	2774.76	0.390039	0.0614161	-0.0532384	0.000355634	0.00115037	7114.05
1	2.51189e-07	7.0001	2774.76	0.390695	0.0611587	-0.0532384	0.000356233	0.00115231	7102.1
1	3.16228e-07	7.0001	2774.76	0.391522	0.0608363	-0.0532384	0.000356986	0.00115475	7087.1
1	3.98107e-07	7.0001	2774.76	0.392564	0.0604329	-0.0532384	0.000357936	0.00115782	7068.3
0.999999	5.01187e-07	7.0001	2774.76	0.393877	0.0599291	-0.0532383	0.000359133	0.00116169	7044.74
0.999999	6.30957e-07	7.0001	2774.76	0.395532	0.0593011	-0.0532383	0.000360642	0.00116657	7015.26
0.999999	7.94328e-07	7.0001	2774.76	0.397619	0.0585203	-0.0532383	0.000362545	0.00117273	6978.44
0.999999	1e-06	7.0001	2774.76	0.400252	0.0575528	-0.0532382	0.000364946	0.00118049	6932.53
0.999999	1.25893e-06	7.0001	2774.76	0.403575	0.0563586	-0.0532381	0.000367976	0.00119029	6875.45
0.999998	1.58489e-06	7.0001	2774.76	0.407771	0.0548924	-0.053238	0.000371802	0.00120267	6804.69
0.999998	1.99526e-06	7.0001	2774.76	0.413075	0.0531037	-0.0532379	0.000376638	0.00121831	6717.33
0.999997	2.51189e-06	7.0001	2774.76	0.419783	0.0509391	-0.0532377	0.000382755	0.0012381	6609.98
0.999997	3.16228e-06	7.0001	2774.76	0.428277	0.0483463	-0.0532375	0.000390499	0.00126315	6478.89
0.999996	3.98107e-06	7.0001	2774.76	0.439042	0.04528	-0.0532373	0.000400315	0.0012949	6320.03
0.999995	5.01187e-06	7.0001	2774.76	0.452703	0.0417114	-0.053237	0.00041277	0.00133518	6129.32
0.999994	6.30957e-06	7.0001	2774.76	0.470058	0.0376406	-0.0532366	0.000428595	0.00138637	5903.01
0.999992	7.94328e-06	7.0001	2774.76	0.49213	0.033112	-0.0532361	0.00044872	0.00145147	5638.26
0.99999	1e-05	7.0001	2774.76	0.520219	0.0282282	-0.0532355	0.000474331	0.00153431	5333.83
0.999987	1.25893e-05	7.0001	2774.76	0.555964	0.0231603	-0.0532347	0.000506922	0.00163973	4990.9
0.999984	1.58489e-05	7.0001	2774.76	0.601394	0.0181435	-0.0532337	0.000548345	0.00177371	4613.88
0.99998	1.99526e-05	7.0001	2774.76	0.658965	0.013453	-0.0532324	0.000600838	0.0019435	4210.79
0.999975	2.51189e-05	7.0001	2774.76	0.731543	0.00935621	-0.0532308	0.000667015	0.00215754	3793.02
0.999968	3.16228e-05	7.0001	2774.76	0.822333	0.00605115	-0.0532289	0.000749796	0.00242529	3374.25
0.99996	3.98107e-05	7.0001	2774.76	0.934743	0.00361444	-0.0532264	0.00085229	0.0027568	2968.47
0.99995	5.01187e-05	7.0001	2774.76	1.07226	0.00198653	-0.0532232	0.000977676	0.00316234	2587.77
0.999937	6.30957e-05	7.0001	2774.76	1.23841	0.0010057	-0.0532193	0.00112917	0.00365231	2240.58
0.999921	7.94328e-05	7.0001	2774.76	1.43691	0.000472495	-0.0532143	0.00131016	0.00423766	1931.06
