T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
0.99999	1e-05	0.2	3.09015	0.333726	0.0492754	-0.0217596	0.273232	0.883815	9.25954
0.99999	1e-05	0.4	3.77432	0.35199	0.0537847	-0.0350976	0.235946	0.763208	10.7228
0.99999	1e-05	0.6	4.60996	0.364711	0.0568992	-0.0429664	0.200158	0.647445	12.64
0.99999	1e-05	0.8	5.63062	0.373164	0.0589534	-0.0474886	0.167673	0.542369	15.0889
0.99999	1e-05	1	6.87725	0.378604	0.0602673	-0.0500432	0.139281	0.450528	18.1648
0.99999	1e-05	1.2	8.3999	0.382034	0.0610908	-0.0514705	0.115066	0.372202	21.9873
0.99999	1e-05	1.4	10.2597	0.384169	0.0615997	-0.0522625	0.0947348	0.306436	26.7061
0.99999	1e-05	1.6	12.5312	0.38549	0.0619105	-0.0527001	0.0778291	0.251752	32.5071
0.99999	1e-05	1.8	15.3056	0.386307	0.0620977	-0.0529412	0.0638562	0.206554	39.6203
0.99999	1e-05	2	18.6943	0.386817	0.0622079	-0.0530738	0.05235	0.169335	48.3285
0.99999	1e-05	2.2	22.8333	0.387142	0.0622694	-0.0531467	0.0428966	0.138757	58.979
0.99999	1e-05	2.4	27.8886	0.387359	0.0622992	-0.0531868	0.0351405	0.113668	71.9968
0.99999	1e-05	2.6	34.0633	0.387517	0.0623072	-0.0532087	0.0287823	0.0931013	87.9013
0.99999	1e-05	2.8	41.605	0.387647	0.0622982	-0.0532208	0.0235729	0.0762505	107.327
0.99999	1e-05	3	50.8164	0.387773	0.0622742	-0.0532274	0.0193061	0.0624489	131.047
0.99999	1e-05	3.2	62.0673	0.387912	0.0622347	-0.053231	0.0158121	0.0511471	160.004
0.99999	1e-05	3.4	75.8092	0.388081	0.062177	-0.053233	0.0129515	0.0418939	195.344
0.99999	1e-05	3.6	92.5935	0.388297	0.0620968	-0.0532341	0.0106097	0.0343189	238.461
0.99999	1e-05	3.8	113.094	0.388581	0.0619873	-0.0532347	0.00869285	0.0281185	291.044
0.99999	1e-05	4	138.133	0.388959	0.0618391	-0.0532351	0.00712404	0.0230439	355.136
0.99999	1e-05	4.2	168.716	0.389467	0.0616395	-0.0532352	0.00584028	0.0188914	433.198
0.99999	1e-05	4.4	206.071	0.39015	0.0613715	-0.0532353	0.00479	0.0154941	528.184
0.99999	1e-05	4.6	251.695	0.391069	0.0610121	-0.0532354	0.00393096	0.0127154	643.609
0.99999	1e-05	4.8	307.421	0.392307	0.0605316	-0.0532354	0.00322859	0.0104434	783.624
0.99999	1e-05	5	375.485	0.393977	0.0598905	-0.0532354	0.0026546	0.00858676	953.063
0.99999	1e-05	5.2	458.619	0.39623	0.0590383	-0.0532354	0.00218583	0.00707045	1157.46
0.99999	1e-05	5.4	560.158	0.399271	0.0579107	-0.0532354	0.00180334	0.00583322	1402.95
0.99999	1e-05	5.6	684.179	0.40338	0.0564278	-0.0532354	0.00149164	0.00482498	1696.12
0.99999	1e-05	5.8	835.658	0.408936	0.0544936	-0.0532354	0.00123808	0.00400477	2043.49
0.99999	1e-05	6	1020.67	0.416458	0.0519987	-0.0532354	0.0010323	0.00333914	2450.85
0.99999	1e-05	6.2	1246.66	0.426658	0.0488282	-0.0532354	0.000865873	0.00280082	2921.91
0.99999	1e-05	6.4	1522.67	0.440514	0.0448788	-0.0532355	0.000731939	0.00236758	3456.57
0.99999	1e-05	6.6	1859.79	0.459372	0.0400893	-0.0532355	0.000624914	0.00202139	4048.56
0.99999	1e-05	6.8	2271.55	0.485086	0.0344851	-0.0532355	0.000540277	0.00174762	4682.79
0.99999	1e-05	7	2774.48	0.520199	0.0282315	-0.0532355	0.00047436	0.0015344	5333.5
0.99999	1e-05	7.2	3388.76	0.568148	0.0216759	-0.0532355	0.000424171	0.00137206	5964.57
0.99999	1e-05	7.4	4139.04	0.63346	0.0153391	-0.0532355	0.000387204	0.00125248	6534.02
0.99999	1e-05	7.6	5055.44	0.721839	0.00981377	-0.0532355	0.000361245	0.00116851	7003.55
0.99999	1e-05	7.8	6174.72	0.840017	0.00557058	-0.0532355	0.000344184	0.00111332	7350.71
0.99999	1e-05	8	7541.82	0.995348	0.00276502	-0.0532355	0.000333902	0.00108006	7577.07
0.99999	1e-05	8.2	9211.6	1.19539	0.00119438	-0.0532355	0.000328319	0.00106201	7705.91
0.99999	1e-05	8.4	11251.1	1.44801	0.000453786	-0.0532355	0.00032561	0.00105324	7770.03
0.99999	1e-05	8.6	13742.1	1.76215	0.000156514	-0.0532355	0.000324423	0.0010494	7798.47
0.99999	1e-05	8.8	16784.6	2.14907	5.1942e-05	-0.0532355	0.000323936	0.00104783	7810.18
0.99999	1e-05	9	20500.8	2.62327	1.81846e-05	-0.0532355	0.000323737	0.00104718	7814.99
0.99999	1e-05	9.2	25039.7	3.20316	7.69413e-06	-0.0532355	0.000323645	0.00104689	7817.2
0.99999	1e-05	9.4	30583.6	3.91168	4.77658e-06	-0.0532355	0.00032359	0.00104671	7818.53
0.99999	1e-05	9.6	37354.9	4.7769	5.70237e-06	-0.0532355	0.000323533	0.00104653	7819.9
0.99999	1e-05	9.6458	39105.5	5.00048	6.75212e-06	-0.0532355	0.000323515	0.00104647	7820.35
