T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
0.205672	0.794328	1.202	8.41671	5.00047	4.30719e-09	-8.69508e-08	1.5031	0.999997	1.68318
0.369043	0.630957	1.7888	15.1351	5.00013	3.05307e-07	-9.39587e-05	0.835824	0.997761	3.02695
0.498813	0.501187	2.1093	20.8534	5.00012	1.23898e-06	-0.00104208	0.606628	0.978803	4.17059
0.601893	0.398107	2.345	26.3962	5.00036	2.47124e-06	-0.00354311	0.47927	0.933113	5.27886
0.683772	0.316228	2.5473	32.3146	5.00016	3.62858e-06	-0.00741908	0.391476	0.865868	6.46272
0.748811	0.251189	2.7339	38.9438	5.00014	4.55378e-06	-0.0121219	0.324836	0.786814	7.78854
0.800474	0.199526	2.9117	46.5217	5.00022	5.23548e-06	-0.017132	0.271928	0.704103	9.30393
0.841511	0.158489	3.0839	55.2639	5.00049	5.71775e-06	-0.0220715	0.228924	0.623141	11.0517
0.874107	0.125893	3.2521	65.3867	5.00043	6.04955e-06	-0.0267031	0.193481	0.547064	13.0762
0.9	0.1	3.4174	77.1398	5.00038	6.27589e-06	-0.0308974	0.164	0.477444	15.4268
0.920567	0.0794328	3.5805	90.8054	5.00037	6.42966e-06	-0.0346007	0.139319	0.41486	18.1597
0.936904	0.0630957	3.7419	106.71	5.00047	6.53425e-06	-0.0378083	0.118556	0.359297	21.3401
0.949881	0.0501187	3.9019	125.226	5.00033	6.60386e-06	-0.0405453	0.101024	0.310406	25.0435
0.960189	0.0398107	4	138.133	4.70547	5.37758e-06	-0.0428529	0.0861836	0.26768	29.3559
0.968377	0.0316228	4	138.133	4.01793	4.62953e-06	-0.0447796	0.073591	0.230518	34.3792
0.974881	0.0251189	4	138.133	3.43317	6.12761e-06	-0.0463755	0.0628807	0.198292	40.2349
0.980047	0.0199526	4	138.133	2.93524	1.07802e-05	-0.0476886	0.0537609	0.170431	47.0603
0.984151	0.0158489	4	138.133	2.51091	2.25774e-05	-0.048763	0.0459889	0.146403	55.0132
0.987411	0.0125893	4	138.133	2.14921	5.18133e-05	-0.0496379	0.0393641	0.125728	64.2718
0.99	0.01	4	138.133	1.84109	0.000122508	-0.0503477	0.0337207	0.107986	75.0282
0.992057	0.00794328	4	138.133	1.57916	0.000285319	-0.0509215	0.0289233	0.0928154	87.4726
0.99369	0.00630957	4	138.133	1.35745	0.000634159	-0.0513842	0.0248625	0.0799156	101.76
0.994988	0.00501187	4	138.133	1.17107	0.0013174	-0.0517562	0.0214489	0.0690333	117.955
0.996019	0.00398107	4	138.133	1.01591	0.0025276	-0.0520549	0.0186071	0.059949	135.969
0.996838	0.00316228	4	138.133	0.888247	0.00445845	-0.0522942	0.0162688	0.0524584	155.512
0.997488	0.00251189	4	138.133	0.784482	0.00723867	-0.0524856	0.0143683	0.0463604	176.082
0.998005	0.00199526	4	138.133	0.701093	0.0108754	-0.0526386	0.012841	0.0414539	197.026
0.998415	0.00158489	4	138.133	0.634695	0.0152392	-0.0527608	0.0116248	0.0375433	217.637
0.998741	0.00125893	4	138.133	0.582175	0.0200964	-0.0528582	0.0106629	0.0344479	237.271
0.999	0.001	4	138.133	0.540805	0.0251686	-0.0529359	0.00990519	0.0320083	255.422
1.00126	-0.00125893	4	138.133	0.224519	0.20701	-0.0536247	0.00411221	0.0133185	615.241
1.00158	-0.00158489	4	138.133	0.190427	0.282703	-0.0537261	0.00348779	0.0112999	725.387
1.002	-0.00199526	4	138.133	0.152911	0.416804	-0.0538547	0.00280066	0.0090774	903.358
1.00251	-0.00251189	4	138.133	0.114168	0.671996	-0.0540181	0.00209107	0.00678098	1209.91
1.00316	-0.00316228	4	138.133	0.0776729	1.19541	-0.0542269	0.00142263	0.00461634	1778.4
1.00398	-0.00398107	4	138.133	0.0473238	2.34742	-0.0544955	0.000866766	0.00281489	2918.9
1.00501	-0.00501187	4	138.133	0.025657	5.03207	-0.0548456	0.000469924	0.00152768	5383.85
1.00631	-0.00630957	4	138.133	0.0125071	11.5336	-0.0553125	0.000229076	0.00074567	11044.4
1.00794	-0.00794328	4	138.133	0.0056162	27.611	-0.0559598	0.000102864	0.000335379	24595.5
1.01	-0.01	4	138.133	0.00238885	67.7271	-0.0569154	4.37534e-05	0.000142945	57824.1
1.01259	-0.0125893	4	138.133	0.000984941	168.079	-0.0584579	1.80398e-05	5.90882e-05	140245
1.01585	-0.0158489	4	138.133	0.000399786	418.973	-0.0612284	7.32234e-06	2.4061e-05	345518
1.01995	-0.0199526	4	138.133	0.000161229	1044.88	-0.0667508	2.953e-06	9.7427e-06	856754
1.02512	-0.0251189	4	138.133	6.49425e-05	2601.14	-0.0787034	1.18946e-06	3.94421e-06	2.12701e+06
1.03162	-0.0316228	4	138.133	2.62082e-05	6453.7	-0.106014	4.8002e-07	1.60182e-06	5.27062e+06
1.03981	-0.0398107	4	138.133	1.06191e-05	15937.2	-0.170324	1.94496e-07	6.54183e-07	1.3008e+07
1.05012	-0.0501187	4	138.133	4.32774e-06	39115.9	-0.323764	7.92654e-08	2.69251e-07	3.19181e+07
1.0631	-0.0630957	4	138.133	1.77725e-06	95262	-0.690654	3.25514e-08	1.11938e-07	7.77232e+07
1.07943	-0.0794328	4	138.133	7.36952e-07	229748	-1.56335	1.34978e-08	4.71294e-08	1.87439e+08
1.1	-0.1	4	138.133	3.09304e-07	547413	-3.61695	5.66511e-09	2.01575e-08	4.46593e+08
1.12589	-0.125893	4	138.133	1.31774e-07	1.28492e+06	-8.37493	2.41352e-09	8.78987e-09	1.04826e+09
1.15849	-0.158489	4	138.133	5.71768e-08	2.96134e+06	-19.178	1.04723e-09	3.92436e-09	2.4159e+09
1.19953	-0.199526	4	138.133	2.53645e-08	6.67547e+06	-43.0972	4.64568e-10	1.80258e-09	5.44592e+09
1.25119	-0.251189	4	138.133	1.15535e-08	1.46554e+07	-94.4704	2.11609e-10	8.5643e-10	1.1956e+10
1.31623	-0.316228	4	138.133	5.42854e-09	3.11908e+07	-200.901	9.94272e-11	4.23322e-10	2.54458e+10
