T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
1.00126	-0.00125893	0.2	3.09015	0.333178	0.0495211	-0.0218559	0.272783	0.883485	9.27476
1.00126	-0.00125893	0.4	3.77432	0.35122	0.0541254	-0.0352681	0.23543	0.762505	10.7463
1.00126	-0.00125893	0.6	4.60996	0.363635	0.0573646	-0.043193	0.199567	0.646354	12.6774
1.00126	-0.00125893	0.8	5.63062	0.371674	0.0595849	-0.0477572	0.167004	0.540889	15.1493
1.00126	-0.00125893	1	6.87725	0.376559	0.0611216	-0.0503429	0.138528	0.448662	18.2634
1.00126	-0.00125893	1.2	8.3999	0.379244	0.0622455	-0.0517933	0.114226	0.369953	22.1491
1.00126	-0.00125893	1.4	10.2597	0.380382	0.0631607	-0.0526024	0.093801	0.303801	26.972
1.00126	-0.00125893	1.6	12.5312	0.380366	0.0640228	-0.0530527	0.0767946	0.248721	32.945
1.00126	-0.00125893	1.8	15.3056	0.37939	0.0649601	-0.0533032	0.0627127	0.203113	40.3427
1.00126	-0.00125893	2	18.6943	0.377493	0.0660946	-0.0534429	0.0510881	0.165463	49.5223
1.00126	-0.00125893	2.2	22.8333	0.374588	0.067562	-0.0535211	0.0415055	0.134427	60.9558
1.00126	-0.00125893	2.4	27.8886	0.370473	0.0695342	-0.053565	0.0336086	0.108851	75.2784
1.00126	-0.00125893	2.6	34.0633	0.36483	0.0722494	-0.05359	0.0270972	0.087762	93.3674
1.00126	-0.00125893	2.8	41.605	0.357206	0.0760593	-0.0536043	0.0217217	0.0703519	116.473
1.00126	-0.00125893	3	50.8164	0.346996	0.0815094	-0.0536126	0.0172759	0.0559529	146.447
1.00126	-0.00125893	3.2	62.0673	0.333417	0.0894886	-0.0536175	0.0135908	0.0440177	186.155
1.00126	-0.00125893	3.4	75.8092	0.315498	0.101525	-0.0536206	0.0105292	0.0341018	240.284
1.00126	-0.00125893	3.6	92.5935	0.292104	0.120414	-0.0536225	0.00798137	0.0258499	316.988
1.00126	-0.00125893	3.8	113.094	0.262065	0.151652	-0.0536238	0.0058626	0.0189877	431.549
1.00126	-0.00125893	4	138.133	0.224519	0.20701	-0.0536247	0.00411221	0.0133185	615.241
1.00126	-0.00125893	4.2	168.716	0.179664	0.314236	-0.0536254	0.00269417	0.00872583	939.064
1.00126	-0.00125893	4.4	206.071	0.130029	0.54598	-0.0536261	0.00159641	0.0051704	1584.81
1.00126	-0.00125893	4.6	251.695	0.0816307	1.113	-0.0536267	0.000820538	0.00265754	3083.34
1.00126	-0.00125893	4.8	307.421	0.042719	2.67923	-0.0536275	0.000351566	0.00113865	7196.37
1.00126	-0.00125893	5	375.485	0.0184085	7.43397	-0.0536287	0.000124036	0.000401724	20397.4
