T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
0.205672	0.794328	1.202	8.41671	5.00047	4.30719e-09	-8.69508e-08	1.5031	0.999997	1.68318
0.369043	0.630957	1.7888	15.1351	5.00013	3.05307e-07	-9.39587e-05	0.835824	0.997761	3.02695
0.498813	0.501187	2.1093	20.8534	5.00012	1.23898e-06	-0.00104208	0.606628	0.978803	4.17059
0.601893	0.398107	2.345	26.3962	5.00036	2.47124e-06	-0.00354311	0.47927	0.933113	5.27886
0.683772	0.316228	2.5473	32.3146	5.00016	3.62858e-06	-0.00741908	0.391476	0.865868	6.46272
0.748811	0.251189	2.7339	38.9438	5.00014	4.55378e-06	-0.0121219	0.324836	0.786814	7.78854
0.800474	0.199526	2.9117	46.5217	5.00022	5.23548e-06	-0.017132	0.271928	0.704103	9.30393
0.841511	0.158489	3.0839	55.2639	5.00049	5.71775e-06	-0.0220715	0.228924	0.623141	11.0517
0.874107	0.125893	3.2521	65.3867	5.00043	6.04955e-06	-0.0267031	0.193481	0.547064	13.0762
0.9	0.1	3.4174	77.1398	5.00038	6.27589e-06	-0.0308974	0.164	0.477444	15.4268
0.920567	0.0794328	3.5805	90.8054	5.00037	6.42966e-06	-0.0346007	0.139319	0.41486	18.1597
0.936904	0.0630957	3.7419	106.71	5.00047	6.53425e-06	-0.0378083	0.118556	0.359297	21.3401
0.949881	0.0501187	3.9019	125.226	5.00033	6.60386e-06	-0.0405453	0.101024	0.310406	25.0435
0.960189	0.0398107	4.0608	146.792	5.00007	6.64994e-06	-0.0428529	0.0861774	0.267661	29.358
0.968377	0.0316228	4.2189	171.935	5.0001	6.68227e-06	-0.0447796	0.0735756	0.230469	34.3864
0.974881	0.0251189	4.3763	201.244	5.00005	6.70377e-06	-0.0463755	0.0628596	0.198225	40.2484
0.980047	0.0199526	4.5332	235.431	5.00025	6.71967e-06	-0.0476886	0.0537339	0.170345	47.0839
0.984151	0.0158489	4.6896	275.288	5.00015	6.72907e-06	-0.048763	0.0459532	0.146289	55.056
0.987411	0.0125893	4.8457	321.796	5.00031	6.73677e-06	-0.0496379	0.039313	0.125565	64.3553
0.99	0.01	5.0015	376.049	5.00038	6.74178e-06	-0.0503477	0.0336418	0.107733	75.2041
0.992057	0.00794328	5.157	439.316	5.00008	6.74317e-06	-0.0509215	0.0287952	0.0924043	87.8618
0.99369	0.00630957	5.3124	513.176	5.00019	6.74592e-06	-0.0513842	0.0246513	0.0792367	102.631
0.994988	0.00501187	5.4676	599.334	5.00002	6.74637e-06	-0.0517562	0.0211068	0.0679323	119.866
0.996019	0.00398107	5.6228	699.957	5.00043	6.74973e-06	-0.0520549	0.0180741	0.0582316	139.979
0.996838	0.00316228	5.7778	817.311	5.0003	6.74966e-06	-0.0522942	0.0154785	0.0499102	163.452
0.997488	0.00251189	5.9327	954.244	5.00004	6.7486e-06	-0.0524856	0.0132567	0.0427738	190.847
0.998005	0.00199526	6.0876	1114.12	5.00008	6.74912e-06	-0.0526387	0.0113544	0.036655	222.82
0.998415	0.00158489	6.2425	1300.78	5.00035	6.75091e-06	-0.0527608	0.00972562	0.0314097	260.138
0.998741	0.00125893	6.3973	1518.56	5.00031	6.75081e-06	-0.0528583	0.00833076	0.0269137	303.694
0.999	0.001	6.5521	1772.81	5.00042	6.75153e-06	-0.052936	0.00713617	0.0230603	354.532
1.00126	-0.00125893	100	6.80094e+43	7.41212e-250	2.28438e+248	-1.23164e+118	2.75736e-293	8.93049e-293	9.17543e+292
1.00158	-0.00158489	100	6.80094e+43	2.93306e-250	5.77282e+248	-3.11247e+118	1.09112e-293	3.53505e-293	2.31871e+293
1.002	-0.00199526	100	6.80094e+43	1.16092e-250	1.4585e+249	-7.86363e+118	4.31872e-294	1.39977e-293	5.85822e+293
1.00251	-0.00251189	100	6.80094e+43	4.59636e-251	3.6838e+249	-1.98615e+119	1.70988e-294	5.54486e-294	1.47964e+294
1.00316	-0.00316228	100	6.80094e+43	1.82049e-251	9.30082e+249	-5.01462e+119	6.77237e-295	2.19759e-294	3.73577e+294
1.00398	-0.00398107	100	6.80094e+43	7.21389e-252	2.34714e+250	-1.26548e+120	2.68362e-295	8.71529e-295	9.42755e+294
1.00501	-0.00501187	100	6.80094e+43	2.8603e-252	5.91967e+250	-3.19164e+120	1.06405e-295	3.45915e-295	2.3777e+295
1.00631	-0.00630957	100	6.80094e+43	1.13497e-252	1.49185e+251	-8.04344e+120	4.22218e-296	1.37437e-295	5.99217e+295
1.00794	-0.00794328	100	6.80094e+43	4.5079e-253	3.75608e+251	-2.02513e+121	1.67697e-296	5.46761e-296	1.50867e+296
1.01	-0.01	100	6.80094e+43	1.79264e-253	9.44533e+251	-5.09253e+121	6.66875e-297	2.17872e-296	3.79381e+296
1.01259	-0.0125893	100	6.80094e+43	7.13969e-254	2.37154e+252	-1.27864e+122	2.65602e-297	8.6996e-297	9.52553e+296
1.01585	-0.0158489	100	6.80094e+43	2.84913e-254	5.94289e+252	-3.20416e+122	1.0599e-297	3.48279e-297	2.38703e+297
1.01995	-0.0199526	100	6.80094e+43	1.13976e-254	1.48558e+253	-8.00964e+122	4.23999e-298	1.39888e-297	5.96699e+297
1.02512	-0.0251189	100	6.80094e+43	4.57369e-255	3.70205e+253	-1.99599e+123	1.70145e-298	5.64193e-298	1.48697e+298
1.03162	-0.0316228	100	6.80094e+43	1.84259e-255	9.18929e+253	-4.95449e+123	6.85456e-299	2.28736e-298	3.69097e+298
1.03981	-0.0398107	100	6.80094e+43	7.46004e-256	2.2697e+254	-1.22373e+124	2.77519e-299	9.3343e-299	9.11649e+298
1.05012	-0.0501187	100	6.80094e+43	3.03922e-256	5.57118e+254	-3.00375e+124	1.13061e-299	3.8405e-299	2.23772e+299
1.0631	-0.0630957	100	6.80094e+43	1.2479e-256	1.35684e+255	-7.31553e+124	4.64229e-300	1.59639e-299	5.44989e+299
1.07943	-0.0794328	100	6.80094e+43	5.17419e-257	3.27241e+255	-1.76435e+125	1.92484e-300	6.72086e-300	1.3144e+300
