T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
1	1e-08	14.1922	3.68735e+06	5.00011	6.74998e-06	-0.0718964	3.43072e-06	7.81965e-06	737454	6.79999	1.02719
1	1.25893e-08	14.0377	3.15948e+06	5.00043	6.75184e-06	-0.0718964	4.00417e-06	9.1267e-06	631842	6.79999	1.02719
1	1.58489e-08	13.8831	2.70691e+06	5.00035	6.75138e-06	-0.0718964	4.67355e-06	1.06524e-05	541344	6.79999	1.02719
1	1.99526e-08	13.7285	2.31917e+06	5.00036	6.75138e-06	-0.0718964	5.45493e-06	1.24334e-05	463801	6.79999	1.02719
1	2.51189e-08	13.5739	1.98697e+06	5.00042	6.75176e-06	-0.0718964	6.36703e-06	1.45124e-05	397360	6.79999	1.02719
1	3.16228e-08	13.4192	1.70218e+06	5.00004	6.74952e-06	-0.0718964	7.43171e-06	1.69391e-05	340433	6.79999	1.02719
1	3.98107e-08	13.2646	1.45835e+06	5.00019	6.75042e-06	-0.0718964	8.67449e-06	1.97718e-05	291660	6.79999	1.02719
1	5.01187e-08	13.11	1.24946e+06	5.00038	6.7515e-06	-0.0718964	1.01252e-05	2.30783e-05	249873	6.79999	1.02719
1	6.30957e-08	12.9553	1.07037e+06	5.00009	6.74983e-06	-0.0718964	1.18185e-05	2.69379e-05	214071	6.79999	1.02719
1	7.94328e-08	12.8007	917052	5.00032	6.75118e-06	-0.0718964	1.37951e-05	3.14432e-05	183399	6.79999	1.02719
1	1e-07	12.646	785613	5.00007	6.74972e-06	-0.0718964	1.61023e-05	3.6702e-05	157120	6.79999	1.02719
1	1.25893e-07	12.4914	673080	5.00033	6.75123e-06	-0.0718964	1.87954e-05	4.28405e-05	134607	6.79999	1.02719
1	1.58489e-07	12.3367	576609	5.0001	6.7499e-06	-0.0718964	2.19391e-05	5.00057e-05	115319	6.79999	1.02719
1	1.99526e-07	12.1821	494014	5.00038	6.75152e-06	-0.0718963	2.56085e-05	5.83695e-05	98795.3	6.79999	1.02719
1	2.51189e-07	12.0274	423208	5.00017	6.75028e-06	-0.0718963	2.98917e-05	6.81322e-05	84638.8	6.79999	1.02719
1	3.16228e-07	11.8728	362587	5.00046	6.75197e-06	-0.0718963	3.48914e-05	7.95279e-05	72510.8	6.79999	1.02719
1	3.98107e-07	11.7181	310618	5.00025	6.75077e-06	-0.0718963	4.07273e-05	9.28297e-05	62120.5	6.79999	1.02719
0.999999	5.01187e-07	11.5634	266098	5.00005	6.7496e-06	-0.0718962	4.75394e-05	0.000108356	53219	6.79999	1.02719
0.999999	6.30957e-07	11.4088	227981	5.00035	6.75134e-06	-0.0718962	5.54909e-05	0.00012648	45593.1	6.79999	1.02719
0.999999	7.94328e-07	11.2541	195305	5.00015	6.7502e-06	-0.0718961	6.47724e-05	0.000147636	39059.9	6.79999	1.02719
