T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
0.205672	0.794328	1.1156	7.72004	5.0003	1.40395e-08	-1.77908e-07	1.63869	0.999992	1.54391	8.6826	1.31396
0.369043	0.630957	1.7036	13.899	5.00026	6.05947e-07	-0.000134372	0.910183	0.99662	2.77966	8.68262	1.31417
0.498813	0.501187	2.0297	19.2579	5.00016	1.93903e-06	-0.00132757	0.656895	0.972206	3.85145	8.68142	1.31425
0.601893	0.398107	2.2741	24.5895	5.00039	3.3356e-06	-0.00426903	0.514488	0.918795	4.91751	8.67793	1.31387
0.683772	0.316228	2.4853	30.3719	5.00006	4.43807e-06	-0.00865945	0.416508	0.845004	6.07432	8.66889	1.31248
0.748811	0.251189	2.6797	36.8892	5.00016	5.21405e-06	-0.0138691	0.34293	0.761907	7.37761	8.63418	1.30706
0.800474	0.199526	2.8638	44.3459	5.00023	5.7345e-06	-0.0193415	0.285271	0.677531	8.86876	8.54513	1.29334
0.841511	0.158489	3.0409	52.9379	5.00031	6.07815e-06	-0.0246872	0.238974	0.59667	10.5869	8.38821	1.2693
0.874107	0.125893	3.2129	62.8732	5.00019	6.30344e-06	-0.0296678	0.201207	0.521833	12.5741	8.17458	1.23668
0.9	0.1	3.3811	74.3898	5.00004	6.45156e-06	-0.0341582	0.170052	0.454096	14.8778	7.93223	1.19974
0.920567	0.0794328	3.5465	87.77	5.00038	6.55211e-06	-0.0381105	0.144138	0.393693	17.5526	7.69202	1.16317
0.936904	0.0630957	3.7096	103.319	5.00046	6.61811e-06	-0.0415259	0.122448	0.340385	20.6619	7.47718	1.13047
0.949881	0.0501187	3.8709	121.403	5.0003	6.66101e-06	-0.0444354	0.104204	0.293683	24.2792	7.29953	1.10344
0.960189	0.0398107	4.0308	142.454	5.00004	6.68883e-06	-0.0468854	0.0888013	0.252988	28.4906	7.16107	1.08237
0.968377	0.0316228	4.1897	166.988	5.00022	6.70958e-06	-0.0489293	0.0757575	0.217668	33.396	7.05774	1.06663
0.974881	0.0251189	4.3477	195.57	5.00021	6.72279e-06	-0.0506212	0.0646854	0.187104	39.1124	6.98291	1.05523
0.980047	0.0199526	4.505	228.885	5.00012	6.73121e-06	-0.0520126	0.0552692	0.160715	45.7759	6.92976	1.04712
0.984151	0.0158489	4.6618	267.741	5.00024	6.73797e-06	-0.0531507	0.0472494	0.137969	53.5456	6.89242	1.04141
0.987411	0.0125893	4.8181	313.036	5.00002	6.74079e-06	-0.0540773	0.0404108	0.118391	62.607	6.86628	1.03741
0.99	0.01	4.9741	365.885	5.00002	6.74355e-06	-0.0548289	0.0345738	0.101556	73.1768	6.84797	1.0346
0.992057	0.00794328	5.1299	427.571	5.00038	6.74754e-06	-0.0554364	0.029588	0.0870917	85.5076	6.83506	1.03262
0.99369	0.00630957	5.2854	499.506	5.00033	6.74854e-06	-0.0559262	0.0253267	0.0746714	99.8945	6.82589	1.03121
0.994988	0.00501187	5.4407	583.427	5.00015	6.74835e-06	-0.0563201	0.0216829	0.0640117	116.682	6.81931	1.03019
0.996019	0.00398107	5.5959	681.379	5.00016	6.74898e-06	-0.0566363	0.0185659	0.0548665	136.272	6.81454	1.02946
0.996838	0.00316228	5.751	795.698	5.00021	6.7497e-06	-0.0568896	0.0158987	0.047023	159.133	6.81104	1.02891
0.997488	0.00251189	5.906	929.103	5.00021	6.74993e-06	-0.0570923	0.0136158	0.0402974	185.813	6.80845	1.02851
0.998005	0.00199526	6.0609	1084.77	5.00005	6.74918e-06	-0.0572543	0.0116616	0.0345315	216.951	6.8065	1.02821
0.998415	0.00158489	6.2158	1266.51	5.00016	6.74999e-06	-0.0573836	0.00998841	0.0295891	253.294	6.80504	1.02798
0.998741	0.00125893	6.3707	1478.7	5.0005	6.75203e-06	-0.0574868	0.00855566	0.0253531	295.711	6.80392	1.02781
0.999	0.001	6.5254	1726.1	5.00001	6.74925e-06	-0.057569	0.00732868	0.0217228	345.219	6.80306	1.02767
1.00126	-0.00125893	100	6.80094e+43	6.32415e-250	2.67736e+248	-1.44352e+118	2.35263e-293	6.98916e-293	1.07539e+293	6.7967	1.02668
1.00158	-0.00158489	100	6.80094e+43	2.50288e-250	6.76502e+248	-3.64742e+118	9.31091e-294	2.76697e-293	2.71724e+293	6.79595	1.02656
1.002	-0.00199526	100	6.80094e+43	9.90822e-251	1.70889e+249	-9.21363e+118	3.68593e-294	1.09582e-293	6.86394e+293	6.79507	1.02642
1.00251	-0.00251189	100	6.80094e+43	3.92372e-251	4.3153e+249	-2.32663e+119	1.45965e-294	4.34174e-294	1.73329e+294	6.79406	1.02626
1.00316	-0.00316228	100	6.80094e+43	1.55449e-251	1.08924e+250	-5.87271e+119	5.78282e-295	1.72121e-294	4.37503e+294	6.79294	1.02608
1.00398	-0.00398107	100	6.80094e+43	6.16186e-252	2.74788e+250	-1.48154e+120	2.29226e-295	6.82831e-295	1.10372e+295	6.79177	1.02588
1.00501	-0.00501187	100	6.80094e+43	2.44417e-252	6.92752e+250	-3.73503e+120	9.0925e-296	2.71131e-295	2.78251e+295	6.79067	1.0257
1.00631	-0.00630957	100	6.80094e+43	9.70343e-253	1.74496e+251	-9.40808e+120	3.60975e-296	1.07779e-295	7.0088e+295	6.7899	1.02556
1.00794	-0.00794328	100	6.80094e+43	3.85646e-253	4.39057e+251	-2.36721e+121	1.43463e-296	4.29044e-296	1.76352e+296	6.78987	1.02553
1.01	-0.01	100	6.80094e+43	1.53478e-253	1.10322e+252	-5.94812e+121	5.7095e-297	1.71098e-296	4.43121e+296	6.79129	1.02571
1.01259	-0.0125893	100	6.80094e+43	6.11858e-254	2.76732e+252	-1.49202e+122	2.27616e-297	6.83849e-297	1.11152e+297	6.79527	1.02627
1.01585	-0.0158489	100	6.80094e+43	2.44454e-254	6.92648e+252	-3.73447e+122	9.09387e-298	2.74096e-297	2.78209e+297	6.80341	1.02744
1.01995	-0.0199526	100	6.80094e+43	9.79327e-255	1.72895e+253	-9.32177e+122	3.64317e-298	1.10251e-297	6.9445e+297	6.81757	1.0295
1.02512	-0.0251189	100	6.80094e+43	3.93685e-255	4.30092e+253	-2.31888e+123	1.46454e-298	4.4545e-298	1.72751e+298	6.83846	1.03256
1.03162	-0.0316228	100	6.80094e+43	1.58942e-255	1.0653e+254	-5.74363e+123	5.91278e-299	1.80983e-298	4.27887e+298	6.85961	1.03563
1.03981	-0.0398107	100	6.80094e+43	6.45172e-256	2.62443e+254	-1.41498e+124	2.40009e-299	7.40468e-299	1.05413e+299	6.84523	1.0333
1.05012	-0.0501187	100	6.80094e+43	2.63658e-256	6.42197e+254	-3.46246e+124	9.80829e-300	3.05602e-299	2.57945e+299	6.64745	1.00324
1.0631	-0.0630957	100	6.80094e+43	1.08657e-256	1.5583e+255	-8.40172e+124	4.04213e-300	1.27499e-299	6.25908e+299	5.68183	0.857277
1.07943	-0.0794328	100	6.80094e+43	4.52483e-257	3.74203e+255	-2.01755e+125	1.68327e-300	5.39106e-300	1.50303e+300	1.53652	0.231747
1.1	-0.1	100	6.80094e+43	1.90867e-257	8.87114e+255	-4.78295e+125	7.10039e-301	2.31739e-300	3.56318e+300	-16.7788	-2.52945
1.12589	-0.125893	100	6.80094e+43	8.17891e-258	2.07021e+256	-1.11617e+126	3.04262e-301	1.01641e-300	8.31521e+300	-107.416	-16.1822
1.15849	-0.158489	100	6.80094e+43	3.57239e-258	4.73971e+256	-2.55545e+126	1.32895e-301	4.56801e-301	1.90375e+301	-647.67	-97.4793
1.19953	-0.199526	100	6.80094e+43	1.59655e-258	1.06054e+257	-5.718e+126	5.93928e-302	2.11382e-301	4.25977e+301	-4839.36	-727.369
1.25119	-0.251189	100	6.80094e+43	7.33176e-259	2.30941e+257	-1.24514e+127	2.72747e-302	1.01253e-301	9.27599e+301	-51160.9	-7674.19
1.31623	-0.316228	100	6.80094e+43	3.47539e-259	4.87198e+257	-2.62677e+127	1.29287e-302	5.04907e-302	1.95688e+302	-862955	-129051
1.39811	-0.398107	100	6.80094e+43	1.70836e-259	9.91127e+257	-5.34375e+127	6.35524e-303	2.63631e-302	3.98097e+302	-2.65523e+07	-3.95201e+06
1.50119	-0.501187	100	6.80094e+43	8.74747e-260	1.93565e+258	-1.04362e+128	3.25412e-303	1.44942e-302	7.77475e+302	-1.74883e+09	-2.58315e+08
1.63096	-0.630957	100	6.80094e+43	4.68444e-260	3.61453e+258	-1.94881e+128	1.74265e-303	8.4329e-303	1.45181e+303	-3.02683e+11	-4.41454e+10
1.79433	-0.794328	100	6.80094e+43	2.63223e-260	6.43258e+258	-3.46818e+128	9.7921e-304	5.21318e-303	2.58371e+303	-1.86062e+14	-2.65544e+13
2	-1	100	6.80094e+43	1.55543e-260	1.08858e+259	-5.86917e+128	5.7863e-304	3.43365e-303	4.37239e+303	-6.71849e+17	-9.23056e+16
