T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
0.205672	0.794328	1.202	8.41671	5.00049	6.37845e-11	-1.2876e-09	1.50311	1	1.68318	8.6826	1.31396
0.292054	0.707946	1.5526	11.9511	5.00013	3.92088e-09	-4.56056e-07	1.05851	0.999987	2.39015	8.68263	1.31404
0.369043	0.630957	1.7868	15.1049	5.00026	2.93772e-08	-8.96272e-06	0.837521	0.999786	3.02082	8.68262	1.31417
0.437659	0.562341	1.9583	17.9308	5.00027	9.99289e-08	-5.44387e-05	0.705529	0.998816	3.58596	8.68232	1.31426
0.498813	0.501187	2.0917	20.4896	5.00043	2.30261e-07	-0.000182534	0.617438	0.996245	4.09758	8.68142	1.31425
0.553316	0.446684	2.2003	22.8401	5.00043	4.22902e-07	-0.000434235	0.553897	0.991375	4.56763	8.67992	1.31411
0.601893	0.398107	2.292	25.0336	5.00007	6.70599e-07	-0.000831746	0.505328	0.983846	5.00665	8.67793	1.31387
0.645187	0.354813	2.3719	27.1159	5.0001	9.61402e-07	-0.0013776	0.466526	0.973634	5.42307	8.6749	1.31342
0.683772	0.316228	2.4432	29.1198	5.00044	1.28261e-06	-0.00206201	0.43445	0.960918	5.82345	8.66889	1.31248
0.718162	0.281838	2.508	31.0693	5.0004	1.62344e-06	-0.00287253	0.407187	0.945914	6.21335	8.65663	1.31056
0.748811	0.251189	2.5681	32.9938	5.00041	1.97816e-06	-0.00380168	0.383437	0.928755	6.59822	8.63418	1.30706
0.776128	0.223872	2.6249	34.9221	5.00015	2.3434e-06	-0.00485042	0.362246	0.909435	6.98421	8.59786	1.30145
0.800474	0.199526	2.6799	36.8966	5.00045	2.71958e-06	-0.0060278	0.342881	0.887821	7.37866	8.54513	1.29334
0.822172	0.177828	2.7341	38.9516	5.00006	3.10233e-06	-0.0073481	0.324766	0.863711	7.79022	8.475	1.28258
0.841511	0.158489	2.7889	41.1457	5.00017	3.49135e-06	-0.00882677	0.307455	0.836904	8.22886	8.38821	1.2693
0.858746	0.141254	2.8452	43.5286	5.00006	3.87928e-06	-0.0104763	0.290617	0.807273	8.70562	8.28697	1.25383
0.874107	0.125893	2.904	46.1649	5.00026	4.26045e-06	-0.0123026	0.274032	0.774821	9.23249	8.17458	1.23668
0.887798	0.112202	2.9659	49.1128	5.00023	4.62446e-06	-0.0143019	0.257582	0.739716	9.8221	8.05498	1.21844
0.9	0.1	3.0315	52.4426	5.00046	4.9649e-06	-0.0164598	0.241238	0.702301	10.4876	7.93223	1.19974
0.910875	0.0891251	3.1009	56.2114	5.00002	5.2709e-06	-0.0187505	0.225044	0.663074	11.2422	7.81015	1.18115
0.920567	0.0794328	3.1744	60.4985	5.00004	5.54283e-06	-0.0211389	0.209098	0.622644	12.0996	7.69202	1.16317
0.929205	0.0707946	3.2518	65.3671	5.00007	5.77691e-06	-0.0235834	0.193525	0.58168	13.0732	7.58042	1.14619
0.936904	0.0630957	3.3329	70.8893	5.00041	5.97538e-06	-0.0260393	0.178462	0.540849	14.1767	7.47718	1.13047
