tempv	cap*8.31	l	Kr/K0	F	
1e-08	2.22416e+18	14.4354	1.04424e-05	-0.0532385
1.49182e-08	1.0257e+18	14.1774	1.35152e-05	-0.0532385
2.22554e-08	4.68359e+17	13.9161	1.75526e-05	-0.0532385
3.32012e-08	2.12265e+17	13.6523	2.28499e-05	-0.0532385
4.95303e-08	9.57686e+16	13.387	2.97936e-05	-0.0532385
7.38906e-08	4.30531e+16	13.1205	3.88898e-05	-0.0532385
1.10232e-07	1.93199e+16	12.8534	5.08002e-05	-0.0532385
1.64446e-07	8.6541e+15	12.5857	6.63913e-05	-0.0532384
2.45325e-07	3.87301e+15	12.3177	8.67962e-05	-0.0532384
3.65982e-07	1.73227e+15	12.0495	0.000113498	-0.0532384
5.45982e-07	7.74319e+14	11.7811	0.000148436	-0.0532383
8.14509e-07	3.46015e+14	11.5126	0.000194149	-0.0532383
1.2151e-06	1.54621e+14	11.2441	0.000253956	-0.0532381
1.81272e-06	6.90734e+13	10.9755	0.000332203	-0.0532379
2.70426e-06	3.08569e+13	10.7069	0.00043457	-0.0532377
4.03429e-06	1.37845e+13	10.4383	0.000568494	-0.0532373
6.01845e-06	6.15597e+12	10.1696	0.0007437	-0.0532367
8.97847e-06	2.74997e+12	9.901	0.000972911	-0.0532358
1.33943e-05	1.22807e+12	9.6323	0.00127277	-0.0532344
1.9982e-05	5.48409e+11	9.3636	0.00166506	-0.0532324
2.98096e-05	2.44891e+11	9.0949	0.00217826	-0.0532294
4.44707e-05	1.09382e+11	8.8263	0.00284963	-0.0532249
6.63424e-05	4.88376e+10	8.5576	0.00372792	-0.0532183
9.89713e-05	2.18027e+10	8.2889	0.00487688	-0.0532083
0.000147648	9.73169e+09	8.0202	0.00637991	-0.0531935
0.000220265	4.34259e+09	7.7515	0.00834605	-0.0531715
0.000328596	1.93703e+09	7.4828	0.0109179	-0.0531386
0.000490208	8.63239e+08	7.214	0.0142819	-0.0530896
0.000731304	3.84359e+08	6.9452	0.0186815	-0.0530168
0.00109098	1.70907e+08	6.6764	0.0244349	-0.0529086
0.00162755	7.5819e+07	6.4075	0.031957	-0.0527481
0.00242802	3.3524e+07	6.1385	0.0417885	-0.0525104
0.00362217	1.47424e+07	5.8692	0.0546326	-0.0521595
0.00540365	6.43669e+06	5.5998	0.0714005	-0.0516434
0.0080613	2.77687e+06	5.3299	0.0932675	-0.0508884
