tempv	cap	l	Kr/K0	F	
1e-08	36.2979	6.3789	0.0288893	-0.0596852
1.49182e-08	36.4068	6.3789	0.0288894	-0.0596852
2.22554e-08	36.3388	6.3789	0.0288895	-0.0596852
3.32012e-08	36.222	6.3789	0.0288896	-0.0596852
4.95303e-08	36.3409	6.3789	0.0288898	-0.0596852
7.38906e-08	36.3316	6.3789	0.0288901	-0.0596852
1.10232e-07	36.3617	6.3789	0.0288905	-0.0596852
1.64446e-07	36.2693	6.3789	0.0288912	-0.0596852
2.45325e-07	36.3997	6.3788	0.0288922	-0.0596852
3.65982e-07	36.1017	6.3788	0.0288936	-0.0596851
5.45982e-07	36.255	6.3787	0.0288958	-0.0596851
8.14509e-07	36.4348	6.3786	0.0288991	-0.059685
1.2151e-06	36.0795	6.3784	0.0289039	-0.0596848
1.81272e-06	36.3059	6.3782	0.0289111	-0.0596847
2.70426e-06	36.1556	6.3778	0.0289219	-0.0596844
4.03429e-06	36.3484	6.3773	0.0289379	-0.0596839
6.01845e-06	36.1193	6.3764	0.0289619	-0.0596833
8.97847e-06	36.2241	6.3752	0.0289976	-0.0596823
1.33943e-05	36.117	6.3734	0.0290508	-0.0596809
1.9982e-05	35.9341	6.3706	0.0291301	-0.0596788
2.98096e-05	36.1232	6.3666	0.0292482	-0.0596756
4.44707e-05	35.766	6.3606	0.0294239	-0.0596708
6.63424e-05	35.8457	6.3517	0.0296852	-0.0596638
9.89713e-05	35.7685	6.3387	0.0300728	-0.0596532
0.000147648	35.8221	6.3198	0.0306466	-0.0596375
0.000220265	35.4511	6.2924	0.0314929	-0.059614
0.000328596	34.7421	6.2536	0.032735	-0.0595791
0.000490208	34.5138	6.1996	0.0345461	-0.059527
0.000731304	33.6618	6.1263	0.0371644	-0.0594495
0.00109098	32.4255	6.0299	0.0409102	-0.0593342
0.00162755	31.1648	5.9077	0.046204	-0.059163
0.00242802	29.9559	5.7587	0.053588	-0.0589093
0.00362217	28.2154	5.5838	0.0637524	-0.0585343
0.00540365	25.9423	5.3858	0.0775718	-0.0579822
0.0080613	23.7804	5.1684	0.0961548	-0.0571733
